"Title","Canadian trade balances"
"Products","Total for all products"
"Origin","Northwest Territories"
"Destination","All countries (detailed)"
"Period","Specific year(s): 2018"
"Units","Value in  canadian dollars"

"","","2018"
"Belgium","Total Exports","1124913840"
"","Total Imports",""
"","Trade Balance","1124913840"
"India","Total Exports","687340906"
"","Total Imports",""
"","Trade Balance","687340906"
"Botswana","Total Exports","281509499"
"","Total Imports",""
"","Trade Balance","281509499"
"Armenia","Total Exports","545564"
"","Total Imports",""
"","Trade Balance","545564"
"United States","Total Exports","892505"
"","Total Imports","364454"
"","Trade Balance","528051"
"China","Total Exports","363844"
"","Total Imports",""
"","Trade Balance","363844"
"France (incl. Monaco, French Antilles)","Total Exports","76195"
"","Total Imports",""
"","Trade Balance","76195"
"Iceland","Total Exports","71630"
"","Total Imports",""
"","Trade Balance","71630"
"Australia","Total Exports","13007"
"","Total Imports",""
"","Trade Balance","13007"
"Czech Republic","Total Exports","9600"
"","Total Imports",""
"","Trade Balance","9600"
"Austria","Total Exports","6900"
"","Total Imports",""
"","Trade Balance","6900"
"Germany","Total Exports","6000"
"","Total Imports",""
"","Trade Balance","6000"
"United Kingdom","Total Exports","5791"
"","Total Imports",""
"","Trade Balance","5791"
"Netherlands","Total Exports","1879"
"","Total Imports",""
"","Trade Balance","1879"
"Greece","Total Exports","1100"
"","Total Imports",""
"","Trade Balance","1100"
"Russia","Total Exports","200"
"","Total Imports",""
"","Trade Balance","200"
"South Africa","Total Exports","70"
"","Total Imports",""
"","Trade Balance","70"
"Japan","Total Exports",""
"","Total Imports","539"
"","Trade Balance","-539"
"Total All Countries","Total Exports","2095758530"
"","Total Imports","364993"
"","Trade Balance","2095393537"

"Source: Trade Data Online (accessed: April 21, 2025)"



