"Title","Canadian trade balances"
"Products","Total for all products"
"Origin","Northwest Territories"
"Destination","All countries (detailed)"
"Period","Specific year(s): 2020"
"Units","Value in  canadian dollars"

"","","2020"
"Belgium","Total Exports","560320529"
"","Total Imports",""
"","Trade Balance","560320529"
"India","Total Exports","347736110"
"","Total Imports",""
"","Trade Balance","347736110"
"Botswana","Total Exports","334317303"
"","Total Imports",""
"","Trade Balance","334317303"
"South Africa","Total Exports","144478"
"","Total Imports",""
"","Trade Balance","144478"
"Germany","Total Exports","53601"
"","Total Imports",""
"","Trade Balance","53601"
"Spain","Total Exports","36000"
"","Total Imports",""
"","Trade Balance","36000"
"China","Total Exports","35500"
"","Total Imports",""
"","Trade Balance","35500"
"Korea, South","Total Exports","34500"
"","Total Imports",""
"","Trade Balance","34500"
"United Kingdom","Total Exports","19644"
"","Total Imports",""
"","Trade Balance","19644"
"Australia","Total Exports","12000"
"","Total Imports",""
"","Trade Balance","12000"
"France (incl. Monaco, French Antilles)","Total Exports","10685"
"","Total Imports",""
"","Trade Balance","10685"
"Hong Kong","Total Exports","3500"
"","Total Imports",""
"","Trade Balance","3500"
"Netherlands","Total Exports","2063"
"","Total Imports",""
"","Trade Balance","2063"
"Trinidad and Tobago","Total Exports","119"
"","Total Imports",""
"","Trade Balance","119"
"Uruguay","Total Exports","119"
"","Total Imports",""
"","Trade Balance","119"
"Israel","Total Exports","26"
"","Total Imports",""
"","Trade Balance","26"
"United States","Total Exports","768863"
"","Total Imports","10378559"
"","Trade Balance","-9609696"
"Total All Countries","Total Exports","1243495040"
"","Total Imports","10378559"
"","Trade Balance","1233116481"

"Source: Trade Data Online (accessed: April 21, 2025)"



