"Title","Canadian trade balances"
"Products","Total for all products"
"Origin","Northwest Territories"
"Destination","All countries (detailed)"
"Period","Specific year(s): 2024"
"Units","Value in  canadian dollars"

"","","2024"
"Belgium","Total Exports","980064369"
"","Total Imports",""
"","Trade Balance","980064369"
"Botswana","Total Exports","266900288"
"","Total Imports",""
"","Trade Balance","266900288"
"India","Total Exports","141736339"
"","Total Imports","1428"
"","Trade Balance","141734911"
"Australia","Total Exports","1492715"
"","Total Imports",""
"","Trade Balance","1492715"
"China","Total Exports","279487"
"","Total Imports",""
"","Trade Balance","279487"
"Austria","Total Exports","32477"
"","Total Imports",""
"","Trade Balance","32477"
"Germany","Total Exports","12554"
"","Total Imports","16"
"","Trade Balance","12538"
"United Kingdom","Total Exports","11349"
"","Total Imports",""
"","Trade Balance","11349"
"New Zealand","Total Exports","7805"
"","Total Imports",""
"","Trade Balance","7805"
"Italy (incl. Vatican City State)","Total Exports","2425"
"","Total Imports",""
"","Trade Balance","2425"
"Mexico","Total Exports","2341"
"","Total Imports",""
"","Trade Balance","2341"
"Spain","Total Exports","2312"
"","Total Imports",""
"","Trade Balance","2312"
"France (incl. Monaco, French Antilles)","Total Exports","1730"
"","Total Imports",""
"","Trade Balance","1730"
"Cuba","Total Exports","1675"
"","Total Imports",""
"","Trade Balance","1675"
"Denmark","Total Exports","1107"
"","Total Imports",""
"","Trade Balance","1107"
"Switzerland","Total Exports","965"
"","Total Imports",""
"","Trade Balance","965"
"U.S. Minor Outlying Islands","Total Exports","200"
"","Total Imports",""
"","Trade Balance","200"
"Finland","Total Exports",""
"","Total Imports","11"
"","Trade Balance","-11"
"Sweden","Total Exports",""
"","Total Imports","319251"
"","Trade Balance","-319251"
"Korea, South","Total Exports",""
"","Total Imports","3129374"
"","Trade Balance","-3129374"
"United States","Total Exports","934467"
"","Total Imports","79267997"
"","Trade Balance","-78333530"
"Total All Countries","Total Exports","1391484605"
"","Total Imports","82718077"
"","Trade Balance","1308766528"

"Source: Trade Data Online (accessed: April 21, 2025)"



