"Title","Canadian trade balances"
"Products","Total for all products"
"Origin","Nunavut"
"Destination","All countries (detailed)"
"Period","Specific year(s): 2000"
"Units","Value in  canadian dollars"

"","","2000"
"Sweden","Total Exports","86706332"
"","Total Imports",""
"","Trade Balance","86706332"
"Finland","Total Exports","48963909"
"","Total Imports",""
"","Trade Balance","48963909"
"Germany","Total Exports","34509028"
"","Total Imports",""
"","Trade Balance","34509028"
"Belgium","Total Exports","24980120"
"","Total Imports",""
"","Trade Balance","24980120"
"Norway","Total Exports","21429187"
"","Total Imports",""
"","Trade Balance","21429187"
"Italy (incl. Vatican City State)","Total Exports","21260647"
"","Total Imports",""
"","Trade Balance","21260647"
"Spain","Total Exports","14490842"
"","Total Imports",""
"","Trade Balance","14490842"
"Switzerland","Total Exports","14109429"
"","Total Imports",""
"","Trade Balance","14109429"
"Netherlands","Total Exports","6314326"
"","Total Imports",""
"","Trade Balance","6314326"
"United States","Total Exports","793334"
"","Total Imports","142753"
"","Trade Balance","650581"
"France (incl. Monaco, French Antilles)","Total Exports","16444"
"","Total Imports",""
"","Trade Balance","16444"
"Japan","Total Exports","9555"
"","Total Imports",""
"","Trade Balance","9555"
"United Kingdom","Total Exports","2174"
"","Total Imports",""
"","Trade Balance","2174"
"Greenland","Total Exports","1734"
"","Total Imports",""
"","Trade Balance","1734"
"Estonia","Total Exports","1512"
"","Total Imports",""
"","Trade Balance","1512"
"Saint Kitts and Nevis","Total Exports","159"
"","Total Imports",""
"","Trade Balance","159"
"Australia","Total Exports","611"
"","Total Imports","5919"
"","Trade Balance","-5308"
"Denmark","Total Exports",""
"","Total Imports","5622"
"","Trade Balance","-5622"
"Total All Countries","Total Exports","273589343"
"","Total Imports","154294"
"","Trade Balance","273435049"

"Source: Trade Data Online (accessed: April 21, 2025)"



