"Title","Canadian trade balances"
"Products","Total for all products"
"Origin","Nunavut"
"Destination","All countries (detailed)"
"Period","Specific year(s): 2002"
"Units","Value in  canadian dollars"

"","","2002"
"Germany","Total Exports","71372957"
"","Total Imports",""
"","Trade Balance","71372957"
"Finland","Total Exports","29459140"
"","Total Imports",""
"","Trade Balance","29459140"
"Belgium","Total Exports","25185966"
"","Total Imports",""
"","Trade Balance","25185966"
"Spain","Total Exports","10830705"
"","Total Imports",""
"","Trade Balance","10830705"
"Italy (incl. Vatican City State)","Total Exports","7247533"
"","Total Imports",""
"","Trade Balance","7247533"
"Norway","Total Exports","6215135"
"","Total Imports",""
"","Trade Balance","6215135"
"United States","Total Exports","694988"
"","Total Imports","576770"
"","Trade Balance","118218"
"Japan","Total Exports","116946"
"","Total Imports",""
"","Trade Balance","116946"
"United Arab Emirates","Total Exports","99024"
"","Total Imports",""
"","Trade Balance","99024"
"Taiwan","Total Exports","72811"
"","Total Imports",""
"","Trade Balance","72811"
"Türkiye","Total Exports","47177"
"","Total Imports",""
"","Trade Balance","47177"
"Portugal","Total Exports","41327"
"","Total Imports",""
"","Trade Balance","41327"
"Kuwait","Total Exports","41051"
"","Total Imports",""
"","Trade Balance","41051"
"Grenada","Total Exports","34352"
"","Total Imports",""
"","Trade Balance","34352"
"Hong Kong","Total Exports","33669"
"","Total Imports",""
"","Trade Balance","33669"
"Saint Kitts and Nevis","Total Exports","27622"
"","Total Imports",""
"","Trade Balance","27622"
"Korea, South","Total Exports","20716"
"","Total Imports",""
"","Trade Balance","20716"
"Netherlands Antilles","Total Exports","19645"
"","Total Imports",""
"","Trade Balance","19645"
"Sierra Leone","Total Exports","18325"
"","Total Imports",""
"","Trade Balance","18325"
"American Samoa","Total Exports","13662"
"","Total Imports",""
"","Trade Balance","13662"
"United Kingdom","Total Exports","10501"
"","Total Imports",""
"","Trade Balance","10501"
"Bermuda","Total Exports","7500"
"","Total Imports",""
"","Trade Balance","7500"
"Mexico","Total Exports","6875"
"","Total Imports",""
"","Trade Balance","6875"
"Bahamas","Total Exports","5916"
"","Total Imports",""
"","Trade Balance","5916"
"Austria","Total Exports","5558"
"","Total Imports",""
"","Trade Balance","5558"
"France (incl. Monaco, French Antilles)","Total Exports","5354"
"","Total Imports",""
"","Trade Balance","5354"
"El Salvador","Total Exports","4401"
"","Total Imports",""
"","Trade Balance","4401"
"Singapore","Total Exports","3182"
"","Total Imports",""
"","Trade Balance","3182"
"Saint Lucia","Total Exports","1868"
"","Total Imports",""
"","Trade Balance","1868"
"Switzerland","Total Exports","738"
"","Total Imports",""
"","Trade Balance","738"
"Bahrain","Total Exports","659"
"","Total Imports",""
"","Trade Balance","659"
"Venezuela","Total Exports","172"
"","Total Imports",""
"","Trade Balance","172"
"Malta","Total Exports","1"
"","Total Imports",""
"","Trade Balance","1"
"Australia","Total Exports","7933"
"","Total Imports","18542"
"","Trade Balance","-10609"
"Total All Countries","Total Exports","151653409"
"","Total Imports","595312"
"","Trade Balance","151058097"

"Source: Trade Data Online (accessed: April 21, 2025)"



