"Title","Canadian trade balances"
"Products","Total for all products"
"Origin","Nunavut"
"Destination","All countries (detailed)"
"Period","Specific year(s): 2004"
"Units","Value in  canadian dollars"

"","","2004"
"United States","Total Exports","630866"
"","Total Imports","7195"
"","Trade Balance","623671"
"Greenland","Total Exports","541892"
"","Total Imports",""
"","Trade Balance","541892"
"Australia","Total Exports","253701"
"","Total Imports",""
"","Trade Balance","253701"
"China","Total Exports","184875"
"","Total Imports",""
"","Trade Balance","184875"
"Hong Kong","Total Exports","146305"
"","Total Imports",""
"","Trade Balance","146305"
"United Kingdom","Total Exports","122280"
"","Total Imports",""
"","Trade Balance","122280"
"Taiwan","Total Exports","106099"
"","Total Imports",""
"","Trade Balance","106099"
"Trinidad and Tobago","Total Exports","105278"
"","Total Imports",""
"","Trade Balance","105278"
"Netherlands","Total Exports","90799"
"","Total Imports",""
"","Trade Balance","90799"
"India","Total Exports","82116"
"","Total Imports",""
"","Trade Balance","82116"
"Singapore","Total Exports","66090"
"","Total Imports",""
"","Trade Balance","66090"
"Czech Republic","Total Exports","62162"
"","Total Imports",""
"","Trade Balance","62162"
"Japan","Total Exports","55596"
"","Total Imports",""
"","Trade Balance","55596"
"Hungary","Total Exports","54672"
"","Total Imports",""
"","Trade Balance","54672"
"Italy (incl. Vatican City State)","Total Exports","53163"
"","Total Imports",""
"","Trade Balance","53163"
"Brazil","Total Exports","48981"
"","Total Imports",""
"","Trade Balance","48981"
"Finland","Total Exports","47632"
"","Total Imports",""
"","Trade Balance","47632"
"Switzerland","Total Exports","43857"
"","Total Imports",""
"","Trade Balance","43857"
"Mexico","Total Exports","43614"
"","Total Imports",""
"","Trade Balance","43614"
"France (incl. Monaco, French Antilles)","Total Exports","49791"
"","Total Imports","6361"
"","Trade Balance","43430"
"Costa Rica","Total Exports","37819"
"","Total Imports",""
"","Trade Balance","37819"
"Denmark","Total Exports","30281"
"","Total Imports",""
"","Trade Balance","30281"
"Jamaica","Total Exports","28182"
"","Total Imports",""
"","Trade Balance","28182"
"Tajikistan","Total Exports","24257"
"","Total Imports",""
"","Trade Balance","24257"
"South Africa","Total Exports","21661"
"","Total Imports",""
"","Trade Balance","21661"
"Ukraine","Total Exports","20876"
"","Total Imports",""
"","Trade Balance","20876"
"Germany","Total Exports","19822"
"","Total Imports",""
"","Trade Balance","19822"
"Bangladesh","Total Exports","19614"
"","Total Imports",""
"","Trade Balance","19614"
"Tanzania","Total Exports","18868"
"","Total Imports",""
"","Trade Balance","18868"
"Haiti","Total Exports","17988"
"","Total Imports",""
"","Trade Balance","17988"
"Russia","Total Exports","16638"
"","Total Imports",""
"","Trade Balance","16638"
"Nicaragua","Total Exports","14197"
"","Total Imports",""
"","Trade Balance","14197"
"Thailand","Total Exports","13262"
"","Total Imports",""
"","Trade Balance","13262"
"Peru","Total Exports","12043"
"","Total Imports",""
"","Trade Balance","12043"
"Chile","Total Exports","9561"
"","Total Imports",""
"","Trade Balance","9561"
"Austria","Total Exports","9310"
