"Title","Canadian trade balances"
"Products","Total for all products"
"Origin","Nunavut"
"Destination","All countries (detailed)"
"Period","Specific year(s): 2005"
"Units","Value in  canadian dollars"

"","","2005"
"Australia","Total Exports","232933"
"","Total Imports",""
"","Trade Balance","232933"
"China","Total Exports","222758"
"","Total Imports",""
"","Trade Balance","222758"
"United Kingdom","Total Exports","206531"
"","Total Imports",""
"","Trade Balance","206531"
"Spain","Total Exports","187507"
"","Total Imports",""
"","Trade Balance","187507"
"United States","Total Exports","752012"
"","Total Imports","578700"
"","Trade Balance","173312"
"South Africa","Total Exports","114092"
"","Total Imports",""
"","Trade Balance","114092"
"Hong Kong","Total Exports","112864"
"","Total Imports",""
"","Trade Balance","112864"
"Saudi Arabia","Total Exports","106531"
"","Total Imports",""
"","Trade Balance","106531"
"Netherlands","Total Exports","94855"
"","Total Imports",""
"","Trade Balance","94855"
"Finland","Total Exports","90004"
"","Total Imports",""
"","Trade Balance","90004"
"Slovenia","Total Exports","86141"
"","Total Imports",""
"","Trade Balance","86141"
"Belgium","Total Exports","81010"
"","Total Imports",""
"","Trade Balance","81010"
"Germany","Total Exports","80162"
"","Total Imports",""
"","Trade Balance","80162"
"Mexico","Total Exports","74003"
"","Total Imports",""
"","Trade Balance","74003"
"Argentina","Total Exports","71130"
"","Total Imports",""
"","Trade Balance","71130"
"Pitcairn Island","Total Exports","67200"
"","Total Imports",""
"","Trade Balance","67200"
"Ukraine","Total Exports","66445"
"","Total Imports",""
"","Trade Balance","66445"
"Japan","Total Exports","57723"
"","Total Imports",""
"","Trade Balance","57723"
"Italy (incl. Vatican City State)","Total Exports","57564"
"","Total Imports",""
"","Trade Balance","57564"
"Korea, South","Total Exports","54434"
"","Total Imports",""
"","Trade Balance","54434"
"Hungary","Total Exports","52662"
"","Total Imports",""
"","Trade Balance","52662"
"Chile","Total Exports","51275"
"","Total Imports",""
"","Trade Balance","51275"
"Iceland","Total Exports","45985"
"","Total Imports",""
"","Trade Balance","45985"
"United Arab Emirates","Total Exports","43659"
"","Total Imports",""
"","Trade Balance","43659"
"Pakistan","Total Exports","37941"
"","Total Imports",""
"","Trade Balance","37941"
"Brazil","Total Exports","36198"
"","Total Imports",""
"","Trade Balance","36198"
"Bermuda","Total Exports","29992"
"","Total Imports",""
"","Trade Balance","29992"
"New Zealand","Total Exports","29224"
"","Total Imports",""
"","Trade Balance","29224"
"Switzerland","Total Exports","28120"
"","Total Imports",""
"","Trade Balance","28120"
"Bahamas","Total Exports","22750"
"","Total Imports",""
"","Trade Balance","22750"
"Taiwan","Total Exports","22584"
"","Total Imports",""
"","Trade Balance","22584"
"Czech Republic","Total Exports","21880"
"","Total Imports",""
"","Trade Balance","21880"
"Lebanon","Total Exports","19943"
"","Total Imports",""
"","Trade Balance","19943"
"Ireland","Total Exports","19744"
"","Total Imports",""
"","Trade Balance","19744"
"Anguilla","Total Exports","19199"
"","Total Imports",""
"","Trade Balance","19199"
"Singapore","Total Exports","19140"
"","Total Imports",""
"","Trade Balance","19140"
"Saint Kitts and Nevis","Total Exports","18493"
"","Total Imports",""
"","Trade Balance","18493"
"Ghana","Total Exports","17599"
"","Total Imports",""
"","Trade Balance","17599"
"Angola","Total Exports","13750"
"","Total Imports",""
"","Trade Balance","13750"
"Thailand","Total Exports","10055"
"","Total Imports",""
"","Trade Balance","10055"
"Liberia","Total Exports","10000"
"","Total Imports",""
"","Trade Balance","10000"
"Russia","Total Exports","9843"
"","Total Imports",""
"","Trade Balance","9843"
"Saint Vincent and the Grenadines","Total Exports","8262"
"","Total Imports",""
"","Trade Balance","8262"
"Bahrain","Total Exports","7944"
"","Total Imports",""
"","Trade Balance","7944"
"Tanzania","Total Exports","7507"
"","Total Imports",""
"","Trade Balance","7507"
"Bangladesh","Total Exports","7490"
"","Total Imports",""
"","Trade Balance","7490"
"Georgia","Total Exports","7485"
"","Total Imports",""
"","Trade Balance","7485"
"Sweden","Total Exports","7367"
"","Total Imports",""
"","Trade Balance","7367"
"Malaysia","Total Exports","6955"
"","Total Imports",""
"","Trade Balance","6955"
"India","Total Exports","6767"
"","Total Imports",""
"","Trade Balance","6767"
"Austria","Total Exports","6231"
"","Total Imports",""
"","Trade Balance","6231"
"Antigua and Barbuda","Total Exports","5596"
"","Total Imports",""
"","Trade Balance","5596"
"Nigeria","Total Exports","5000"
"","Total Imports",""
"","Trade Balance","5000"
"Cuba","Total Exports","3955"
"","Total Imports",""
"","Trade Balance","3955"
"Bulgaria","Total Exports","3528"
"","Total Imports",""
"","Trade Balance","3528"
"Turks and Caicos Islands","Total Exports","3000"
"","Total Imports",""
"","Trade Balance","3000"
"Cayman Islands","Total Exports","2883"
"","Total Imports",""
"","Trade Balance","2883"
"Afghanistan","Total Exports","2800"
"","Total Imports",""
"","Trade Balance","2800"
"Panama","Total Exports","2729"
"","Total Imports",""
