"Title","Canadian trade balances"
"Products","Total for all products"
"Origin","Nunavut"
"Destination","All countries (detailed)"
"Period","Specific year(s): 2007"
"Units","Value in  canadian dollars"

"","","2007"
"Japan","Total Exports","710799"
"","Total Imports",""
"","Trade Balance","710799"
"Finland","Total Exports","611572"
"","Total Imports",""
"","Trade Balance","611572"
"China","Total Exports","379466"
"","Total Imports","834"
"","Trade Balance","378632"
"Mexico","Total Exports","297028"
"","Total Imports",""
"","Trade Balance","297028"
"Germany","Total Exports","225756"
"","Total Imports",""
"","Trade Balance","225756"
"Russia","Total Exports","139366"
"","Total Imports",""
"","Trade Balance","139366"
"India","Total Exports","135442"
"","Total Imports",""
"","Trade Balance","135442"
"Italy (incl. Vatican City State)","Total Exports","109530"
"","Total Imports",""
"","Trade Balance","109530"
"United Kingdom","Total Exports","806541"
"","Total Imports","703170"
"","Trade Balance","103371"
"Cuba","Total Exports","96146"
"","Total Imports",""
"","Trade Balance","96146"
"Netherlands","Total Exports","93691"
"","Total Imports",""
"","Trade Balance","93691"
"Ireland","Total Exports","69347"
"","Total Imports",""
"","Trade Balance","69347"
"South Africa","Total Exports","65889"
"","Total Imports",""
"","Trade Balance","65889"
"Sweden","Total Exports","55813"
"","Total Imports",""
"","Trade Balance","55813"
"Brazil","Total Exports","54435"
"","Total Imports",""
"","Trade Balance","54435"
"Honduras","Total Exports","51857"
"","Total Imports",""
"","Trade Balance","51857"
"Hong Kong","Total Exports","45411"
"","Total Imports",""
"","Trade Balance","45411"
"Australia","Total Exports","45408"
"","Total Imports",""
"","Trade Balance","45408"
"Trinidad and Tobago","Total Exports","43825"
"","Total Imports",""
"","Trade Balance","43825"
"Spain","Total Exports","42938"
"","Total Imports",""
"","Trade Balance","42938"
"Singapore","Total Exports","36605"
"","Total Imports",""
"","Trade Balance","36605"
"Libya","Total Exports","29600"
"","Total Imports",""
"","Trade Balance","29600"
"Korea, South","Total Exports","29403"
"","Total Imports",""
"","Trade Balance","29403"
"Norway","Total Exports","22300"
"","Total Imports",""
"","Trade Balance","22300"
"Czech Republic","Total Exports","19718"
"","Total Imports",""
"","Trade Balance","19718"
"Barbados","Total Exports","18704"
"","Total Imports",""
"","Trade Balance","18704"
"Chile","Total Exports","17504"
"","Total Imports",""
"","Trade Balance","17504"
"United Arab Emirates","Total Exports","16994"
"","Total Imports",""
"","Trade Balance","16994"
"Pakistan","Total Exports","16424"
"","Total Imports",""
"","Trade Balance","16424"
"Belgium","Total Exports","16081"
"","Total Imports",""
"","Trade Balance","16081"
"Taiwan","Total Exports","14774"
"","Total Imports",""
"","Trade Balance","14774"
"Kenya","Total Exports","12000"
"","Total Imports",""
"","Trade Balance","12000"
"Denmark","Total Exports","11839"
"","Total Imports",""
"","Trade Balance","11839"
"Colombia","Total Exports","11245"
"","Total Imports",""
"","Trade Balance","11245"
"New Zealand","Total Exports","10218"
"","Total Imports",""
"","Trade Balance","10218"
"Israel","Total Exports","8522"
"","Total Imports",""
"","Trade Balance","8522"
"Cayman Islands","Total Exports","8025"
"","Total Imports",""
"","Trade Balance","8025"
"Guatemala","Total Exports","7402"
"","Total Imports",""
"","Trade Balance","7402"
"Iceland","Total Exports","6329"
"","Total Imports",""
"","Trade Balance","6329"
"Poland","Total Exports","5250"
"","Total Imports",""
"","Trade Balance","5250"
"Bahamas","Total Exports","5122"
"","Total Imports",""
"","Trade Balance","5122"
"Venezuela","Total Exports","5075"
"","Total Imports",""
"","Trade Balance","5075"
"Malaysia","Total Exports","4810"
"","Total Imports",""
"","Trade Balance","4810"
"Slovakia","Total Exports","4019"
"","Total Imports",""
"","Trade Balance","4019"
"Egypt","Total Exports","3727"
"","Total Imports",""
"","Trade Balance","3727"
"Austria","Total Exports","3455"
"","Total Imports",""
"","Trade Balance","3455"
"Peru","Total Exports","3440"
"","Total Imports",""
"","Trade Balance","3440"
"Türkiye","Total Exports","3137"
"","Total Imports",""
"","Trade Balance","3137"
"Saint Kitts and Nevis","Total Exports","3000"
"","Total Imports",""
"","Trade Balance","3000"
"Kuwait","Total Exports","2663"
"","Total Imports",""
"","Trade Balance","2663"
"Saint Lucia","Total Exports","2515"
"","Total Imports",""
"","Trade Balance","2515"
"Jamaica","Total Exports","2295"
"","Total Imports",""
"","Trade Balance","2295"
"Turks and Caicos Islands","Total Exports","2260"
"","Total Imports",""
"","Trade Balance","2260"
"Serbia","Total Exports","2219"
"","Total Imports",""
"","Trade Balance","2219"
"Andorra","Total Exports","1960"
"","Total Imports",""
"","Trade Balance","1960"
"Romania","Total Exports","1162"
"","Total Imports",""
"","Trade Balance","1162"
"Saint Pierre-Miquelon","Total Exports","868"
"","Total Imports",""
"","Trade Balance","868"
"Jordan","Total Exports","766"
"","Total Imports",""
"","Trade Balance","766"
"Antigua and Barbuda","Total Exports","649"
"","Total Imports",""
"","Trade Balance","649"
"Portugal","Total Exports","491"
"","Total Imports",""
"","Trade Balance","491"
"Korea, North","Total Exports","464"
"","Total Imports",""
"","Trade Balance","464"
"Philippines","Total Exports","204"
"","Total Imports",""
"","Trade Balance","204"
"Greenland","Total Exports","144"
"","Total Imports",""
"","Trade Balance","144"
"Lebanon","Total Exports","141"
"","Total Imports",""
"","Trade Balance","141"
"Bermuda","Total Exports","89"
"","Total Imports",""
"","Trade Balance","89"
"Guinea","Total Exports","88"
"","Total Imports",""
"","Trade Balance","88"
"Dominican Republic","Total Exports","47"
"","Total Imports",""
"","Trade Balance","47"
"Costa Rica","Total Exports","42"
"","Total Imports",""
"","Trade Balance","42"
"Argentina","Total Exports","25"
"","Total Imports",""
"","Trade Balance","25"
"France (incl. Monaco, French Antilles)","Total Exports","155567"
"","Total Imports","620550"
"","Trade Balance","-464983"
"United States","Total Exports","744584"
"","Total Imports","1938971"
"","Trade Balance","-1194387"
"Switzerland","Total Exports","199943"
"","Total Imports","7152945"
"","Trade Balance","-6953002"
"Re-Imports (Canada)","Total Exports",""
"","Total Imports","7217811"
"","Trade Balance","-7217811"
"Total All Countries","Total Exports","5554168"
"","Total Imports","17634281"
"","Trade Balance","-12080113"

"Source: Trade Data Online (accessed: April 21, 2025)"



