"Title","Canadian trade balances"
"Products","Total for all products"
"Origin","Nunavut"
"Destination","All countries (detailed)"
"Period","Specific year(s): 2009"
"Units","Value in  canadian dollars"

"","","2009"
"Hong Kong","Total Exports","314726"
"","Total Imports","21"
"","Trade Balance","314705"
"Australia","Total Exports","291090"
"","Total Imports",""
"","Trade Balance","291090"
"Taiwan","Total Exports","279101"
"","Total Imports","228"
"","Trade Balance","278873"
"United Kingdom","Total Exports","270355"
"","Total Imports","16"
"","Trade Balance","270339"
"China","Total Exports","277037"
"","Total Imports","9253"
"","Trade Balance","267784"
"Mexico","Total Exports","166215"
"","Total Imports","357"
"","Trade Balance","165858"
"Korea, South","Total Exports","165315"
"","Total Imports",""
"","Trade Balance","165315"
"Armenia","Total Exports","86127"
"","Total Imports",""
"","Trade Balance","86127"
"Japan","Total Exports","82636"
"","Total Imports","1"
"","Trade Balance","82635"
"Argentina","Total Exports","73809"
"","Total Imports",""
"","Trade Balance","73809"
"Lebanon","Total Exports","72104"
"","Total Imports",""
"","Trade Balance","72104"
"Netherlands","Total Exports","68302"
"","Total Imports","14"
"","Trade Balance","68288"
"Germany","Total Exports","56292"
"","Total Imports","320"
"","Trade Balance","55972"
"Latvia","Total Exports","55902"
"","Total Imports",""
"","Trade Balance","55902"
"Brazil","Total Exports","51966"
"","Total Imports",""
"","Trade Balance","51966"
"Hungary","Total Exports","44924"
"","Total Imports",""
"","Trade Balance","44924"
"Poland","Total Exports","42276"
"","Total Imports",""
"","Trade Balance","42276"
"Ireland","Total Exports","40009"
"","Total Imports",""
"","Trade Balance","40009"
"Bermuda","Total Exports","38169"
"","Total Imports",""
"","Trade Balance","38169"
"Nigeria","Total Exports","30444"
"","Total Imports",""
"","Trade Balance","30444"
"United Arab Emirates","Total Exports","27465"
"","Total Imports",""
"","Trade Balance","27465"
"Afghanistan","Total Exports","22200"
"","Total Imports",""
"","Trade Balance","22200"
"Russia","Total Exports","20519"
"","Total Imports",""
"","Trade Balance","20519"
"Singapore","Total Exports","20073"
"","Total Imports",""
"","Trade Balance","20073"
"Libya","Total Exports","19850"
"","Total Imports",""
"","Trade Balance","19850"
"Angola","Total Exports","19753"
"","Total Imports",""
"","Trade Balance","19753"
"Pakistan","Total Exports","19600"
"","Total Imports",""
"","Trade Balance","19600"
"Sweden","Total Exports","19267"
"","Total Imports",""
"","Trade Balance","19267"
"Egypt","Total Exports","17672"
"","Total Imports",""
"","Trade Balance","17672"
"Austria","Total Exports","17182"
"","Total Imports",""
"","Trade Balance","17182"
"Italy (incl. Vatican City State)","Total Exports","15113"
"","Total Imports",""
"","Trade Balance","15113"
"Philippines","Total Exports","15000"
"","Total Imports","27"
"","Trade Balance","14973"
"Ukraine","Total Exports","14648"
"","Total Imports",""
"","Trade Balance","14648"
"Ghana","Total Exports","14268"
"","Total Imports",""
"","Trade Balance","14268"
"Türkiye","Total Exports","13977"
"","Total Imports",""
"","Trade Balance","13977"
"Cuba","Total Exports","13358"
"","Total Imports",""
"","Trade Balance","13358"
"India","Total Exports","12797"
"","Total Imports","102"
"","Trade Balance","12695"
"Papua New Guinea","Total Exports","12546"
"","Total Imports",""
"","Trade Balance","12546"
"Lithuania","Total Exports","12000"
"","Total Imports",""
"","Trade Balance","12000"
"Israel","Total Exports","11777"
"","Total Imports",""
"","Trade Balance","11777"
"Kuwait","Total Exports","10861"
"","Total Imports",""
"","Trade Balance","10861"
"Kenya","Total Exports","10728"
"","Total Imports",""
"","Trade Balance","10728"
"Spain","Total Exports","10385"
"","Total Imports",""
"","Trade Balance","10385"
"Norway","Total Exports","9945"
"","Total Imports",""
"","Trade Balance","9945"
"Iran","Total Exports","9700"
"","Total Imports",""
"","Trade Balance","9700"
"New Zealand","Total Exports","9602"
"","Total Imports","697"
"","Trade Balance","8905"
"Portugal","Total Exports","7633"
"","Total Imports",""
"","Trade Balance","7633"
"South Africa","Total Exports","7289"
"","Total Imports",""
"","Trade Balance","7289"
"Saudi Arabia","Total Exports","6974"
"","Total Imports",""
"","Trade Balance","6974"
"Belgium","Total Exports","6955"
"","Total Imports",""
"","Trade Balance","6955"
"Serbia","Total Exports","6615"
"","Total Imports",""
"","Trade Balance","6615"
"Dominica","Total Exports","4586"
"","Total Imports",""
"","Trade Balance","4586"
"Bahrain","Total Exports","4500"
"","Total Imports",""
"","Trade Balance","4500"
"Panama","Total Exports","4463"
"","Total Imports",""
"","Trade Balance","4463"
"Venezuela","Total Exports","4000"
"","Total Imports",""
"","Trade Balance","4000"
"Slovenia","Total Exports","3733"
"","Total Imports",""
"","Trade Balance","3733"
"Bulgaria","Total Exports","3240"
"","Total Imports",""
"","Trade Balance","3240"
"Ethiopia","Total Exports","2998"
"","Total Imports",""
"","Trade Balance","2998"
"Trinidad and Tobago","Total Exports","2816"
"","Total Imports",""
"","Trade Balance","2816"
"Paraguay","Total Exports","2080"
"","Total Imports",""
"","Trade Balance","2080"
"Chile","Total Exports","1825"
"","Total Imports",""
"","Trade Balance","1825"
"Slovakia","Total Exports","1796"
"","Total Imports",""
"","Trade Balance","1796"
"Mali","Total Exports","2596"
"","Total Imports","874"
"","Trade Balance","1722"
"Jamaica","Total Exports","1590"
"","Total Imports",""
"","Trade Balance","1590"
"Czech Republic","Total Exports","1200"
"","Total Imports",""
"","Trade Balance","1200"
"Costa Rica","Total Exports","844"
"","Total Imports",""
"","Trade Balance","844"
"Finland","Total Exports","658"
"","Total Imports",""
"","Trade Balance","658"
"Malaysia","Total Exports","590"
"","Total Imports","13"
"","Trade Balance","577"
"Guinea","Total Exports","513"
"","Total Imports",""
"","Trade Balance","513"
"Uruguay","Total Exports","300"
"","Total Imports",""
