"Title","Canadian trade balances"
"Products","Total for all products"
"Origin","Nunavut"
"Destination","All countries (detailed)"
"Period","Specific year(s): 2010"
"Units","Value in  canadian dollars"

"","","2010"
"Germany","Total Exports","1175867"
"","Total Imports","53833"
"","Trade Balance","1122034"
"China","Total Exports","681604"
"","Total Imports",""
"","Trade Balance","681604"
"Japan","Total Exports","351227"
"","Total Imports","5945"
"","Trade Balance","345282"
"Egypt","Total Exports","294157"
"","Total Imports",""
"","Trade Balance","294157"
"Argentina","Total Exports","279590"
"","Total Imports",""
"","Trade Balance","279590"
"Cuba","Total Exports","229109"
"","Total Imports",""
"","Trade Balance","229109"
"Mexico","Total Exports","224124"
"","Total Imports",""
"","Trade Balance","224124"
"India","Total Exports","221769"
"","Total Imports",""
"","Trade Balance","221769"
"South Africa","Total Exports","196738"
"","Total Imports",""
"","Trade Balance","196738"
"United Kingdom","Total Exports","203552"
"","Total Imports","16178"
"","Trade Balance","187374"
"Switzerland","Total Exports","167513"
"","Total Imports",""
"","Trade Balance","167513"
"United Arab Emirates","Total Exports","163713"
"","Total Imports",""
"","Trade Balance","163713"
"Australia","Total Exports","160800"
"","Total Imports",""
"","Trade Balance","160800"
"Taiwan","Total Exports","84072"
"","Total Imports",""
"","Trade Balance","84072"
"Ghana","Total Exports","82860"
"","Total Imports",""
"","Trade Balance","82860"
"Netherlands","Total Exports","93353"
"","Total Imports","15962"
"","Trade Balance","77391"
"Poland","Total Exports","43352"
"","Total Imports",""
"","Trade Balance","43352"
"Korea, South","Total Exports","42312"
"","Total Imports",""
"","Trade Balance","42312"
"Italy (incl. Vatican City State)","Total Exports","35063"
"","Total Imports",""
"","Trade Balance","35063"
"Dominican Republic","Total Exports","34450"
"","Total Imports",""
"","Trade Balance","34450"
"U.S. Minor Outlying Islands","Total Exports","29988"
"","Total Imports",""
"","Trade Balance","29988"
"Singapore","Total Exports","29778"
"","Total Imports",""
"","Trade Balance","29778"
"Jamaica","Total Exports","28290"
"","Total Imports",""
"","Trade Balance","28290"
"Indonesia","Total Exports","25250"
"","Total Imports",""
"","Trade Balance","25250"
"Norway","Total Exports","24468"
"","Total Imports",""
"","Trade Balance","24468"
"Philippines","Total Exports","22932"
"","Total Imports",""
"","Trade Balance","22932"
"Slovakia","Total Exports","20374"
"","Total Imports",""
"","Trade Balance","20374"
"Morocco","Total Exports","18000"
"","Total Imports",""
"","Trade Balance","18000"
"Brazil","Total Exports","17739"
"","Total Imports",""
"","Trade Balance","17739"
"Bahamas","Total Exports","17493"
"","Total Imports",""
"","Trade Balance","17493"
"Spain","Total Exports","16436"
"","Total Imports",""
"","Trade Balance","16436"
"Ukraine","Total Exports","15701"
"","Total Imports",""
"","Trade Balance","15701"
"Oman (formerly Muscat and Oman)","Total Exports","15625"
"","Total Imports",""
"","Trade Balance","15625"
"Hong Kong","Total Exports","13535"
"","Total Imports",""
"","Trade Balance","13535"
"Andorra","Total Exports","10260"
"","Total Imports",""
"","Trade Balance","10260"
"Antarctica","Total Exports","9162"
"","Total Imports",""
"","Trade Balance","9162"
"Tanzania","Total Exports","8343"
"","Total Imports",""
"","Trade Balance","8343"
"Sweden","Total Exports","7879"
"","Total Imports",""
"","Trade Balance","7879"
"Venezuela","Total Exports","7849"
"","Total Imports",""
"","Trade Balance","7849"
"Peru","Total Exports","7379"
"","Total Imports",""
"","Trade Balance","7379"
"Barbados","Total Exports","7048"
"","Total Imports",""
"","Trade Balance","7048"
"Austria","Total Exports","6588"
"","Total Imports",""
"","Trade Balance","6588"
"Saudi Arabia","Total Exports","6276"
"","Total Imports",""
"","Trade Balance","6276"
"Israel","Total Exports","6204"
"","Total Imports",""
"","Trade Balance","6204"
"Afghanistan","Total Exports","4900"
"","Total Imports",""
"","Trade Balance","4900"
"Greece","Total Exports","4800"
"","Total Imports",""
"","Trade Balance","4800"
"Colombia","Total Exports","4546"
"","Total Imports",""
"","Trade Balance","4546"
"Trinidad and Tobago","Total Exports","4441"
"","Total Imports",""
"","Trade Balance","4441"
"Antigua and Barbuda","Total Exports","4378"
"","Total Imports",""
