"Title","Canadian trade balances"
"Products","Total for all products"
"Origin","Nunavut"
"Destination","All countries (detailed)"
"Period","Specific year(s): 2016"
"Units","Value in  canadian dollars"

"","","2016"
"United States","Total Exports","651801"
"","Total Imports",""
"","Trade Balance","651801"
"China","Total Exports","624760"
"","Total Imports","14202"
"","Trade Balance","610558"
"Mexico","Total Exports","186384"
"","Total Imports",""
"","Trade Balance","186384"
"France (incl. Monaco, French Antilles)","Total Exports","180467"
"","Total Imports",""
"","Trade Balance","180467"
"Germany","Total Exports","116571"
"","Total Imports",""
"","Trade Balance","116571"
"Switzerland","Total Exports","104374"
"","Total Imports",""
"","Trade Balance","104374"
"Thailand","Total Exports","40757"
"","Total Imports",""
"","Trade Balance","40757"
"Taiwan","Total Exports","34000"
"","Total Imports","148"
"","Trade Balance","33852"
"Belgium","Total Exports","33040"
"","Total Imports",""
"","Trade Balance","33040"
"Kenya","Total Exports","32258"
"","Total Imports",""
"","Trade Balance","32258"
"Hong Kong","Total Exports","31173"
"","Total Imports",""
"","Trade Balance","31173"
"Australia","Total Exports","27134"
"","Total Imports",""
"","Trade Balance","27134"
"Philippines","Total Exports","26400"
"","Total Imports",""
"","Trade Balance","26400"
"Italy (incl. Vatican City State)","Total Exports","25837"
"","Total Imports",""
"","Trade Balance","25837"
"Pakistan","Total Exports","20000"
"","Total Imports","164"
"","Trade Balance","19836"
"Austria","Total Exports","19685"
"","Total Imports",""
"","Trade Balance","19685"
"Bahamas","Total Exports","19500"
"","Total Imports",""
"","Trade Balance","19500"
"Brazil","Total Exports","11442"
"","Total Imports",""
"","Trade Balance","11442"
"Ghana","Total Exports","11362"
"","Total Imports",""
"","Trade Balance","11362"
"Saudi Arabia","Total Exports","10979"
"","Total Imports",""
"","Trade Balance","10979"
"Japan","Total Exports","10817"
"","Total Imports",""
"","Trade Balance","10817"
"Netherlands","Total Exports","9576"
"","Total Imports",""
"","Trade Balance","9576"
"Luxembourg","Total Exports","8000"
"","Total Imports",""
"","Trade Balance","8000"
"Bulgaria","Total Exports","6398"
"","Total Imports",""
"","Trade Balance","6398"
"Spain","Total Exports","5725"
"","Total Imports",""
"","Trade Balance","5725"
"Norway","Total Exports","5000"
"","Total Imports",""
"","Trade Balance","5000"
"Singapore","Total Exports","4918"
"","Total Imports",""
"","Trade Balance","4918"
"Poland","Total Exports","4225"
"","Total Imports",""
"","Trade Balance","4225"
"New Zealand","Total Exports","3500"
"","Total Imports",""
"","Trade Balance","3500"
"Finland","Total Exports","3100"
"","Total Imports",""
"","Trade Balance","3100"
"Cayman Islands","Total Exports","3000"
"","Total Imports",""
"","Trade Balance","3000"
"Grenada","Total Exports","2916"
"","Total Imports",""
"","Trade Balance","2916"
"Jamaica","Total Exports","2069"
"","Total Imports",""
"","Trade Balance","2069"
"Trinidad and Tobago","Total Exports","998"
"","Total Imports",""
"","Trade Balance","998"
"Ireland","Total Exports","927"
"","Total Imports",""
"","Trade Balance","927"
"Dominican Republic","Total Exports","679"
"","Total Imports",""
"","Trade Balance","679"
"South Africa","Total Exports","631"
"","Total Imports",""
"","Trade Balance","631"
"Saint Lucia","Total Exports","500"
"","Total Imports",""
"","Trade Balance","500"
"Israel","Total Exports","473"
"","Total Imports",""
"","Trade Balance","473"
"Chile","Total Exports","426"
"","Total Imports",""
"","Trade Balance","426"
"Congo (formerly Zaire)","Total Exports","99"
"","Total Imports",""
"","Trade Balance","99"
"Cuba","Total Exports","1"
"","Total Imports",""
"","Trade Balance","1"
"Denmark","Total Exports",""
"","Total Imports","1533"
"","Trade Balance","-1533"
"Greenland","Total Exports","1499"
"","Total Imports","21680"
"","Trade Balance","-20181"
"United Kingdom","Total Exports","16700"
"","Total Imports","598940"
"","Trade Balance","-582240"
"Total All Countries","Total Exports","2300101"
"","Total Imports","636667"
"","Trade Balance","1663434"

"Source: Trade Data Online (accessed: April 21, 2025)"



