"Title","Canadian trade balances"
"Products","Total for all products"
"Origin","Nunavut"
"Destination","All countries (detailed)"
"Period","Specific year(s): 2017"
"Units","Value in  canadian dollars"

"","","2017"
"Switzerland","Total Exports","319531498"
"","Total Imports","1053"
"","Trade Balance","319530445"
"United States","Total Exports","1061584"
"","Total Imports","728349"
"","Trade Balance","333235"
"France (incl. Monaco, French Antilles)","Total Exports","149722"
"","Total Imports",""
"","Trade Balance","149722"
"Mexico","Total Exports","85025"
"","Total Imports",""
"","Trade Balance","85025"
"Netherlands","Total Exports","78370"
"","Total Imports",""
"","Trade Balance","78370"
"Philippines","Total Exports","50362"
"","Total Imports",""
"","Trade Balance","50362"
"Korea, South","Total Exports","46517"
"","Total Imports",""
"","Trade Balance","46517"
"India","Total Exports","42079"
"","Total Imports",""
"","Trade Balance","42079"
"United Arab Emirates","Total Exports","40843"
"","Total Imports",""
"","Trade Balance","40843"
"Belgium","Total Exports","33472"
"","Total Imports",""
"","Trade Balance","33472"
"Norway","Total Exports","28500"
"","Total Imports",""
"","Trade Balance","28500"
"Germany","Total Exports","66811"
"","Total Imports","38980"
"","Trade Balance","27831"
"Ukraine","Total Exports","16424"
"","Total Imports",""
"","Trade Balance","16424"
"Ghana","Total Exports","13800"
"","Total Imports",""
"","Trade Balance","13800"
"Italy (incl. Vatican City State)","Total Exports","13534"
"","Total Imports",""
"","Trade Balance","13534"
"Hong Kong","Total Exports","13284"
"","Total Imports",""
"","Trade Balance","13284"
"Sweden","Total Exports","12058"
"","Total Imports",""
"","Trade Balance","12058"
"Namibia","Total Exports","11570"
"","Total Imports",""
"","Trade Balance","11570"
"Singapore","Total Exports","9850"
"","Total Imports",""
"","Trade Balance","9850"
"Austria","Total Exports","9400"
"","Total Imports",""
"","Trade Balance","9400"
"Finland","Total Exports","8642"
"","Total Imports",""
"","Trade Balance","8642"
"Türkiye","Total Exports","6964"
"","Total Imports",""
"","Trade Balance","6964"
"Cuba","Total Exports","6556"
"","Total Imports",""
"","Trade Balance","6556"
"Japan","Total Exports","6334"
"","Total Imports","28"
"","Trade Balance","6306"
"Cambodia (Kampuchea)","Total Exports","6000"
"","Total Imports",""
"","Trade Balance","6000"
"Bahrain","Total Exports","4996"
"","Total Imports",""
"","Trade Balance","4996"
"Argentina","Total Exports","4681"
"","Total Imports",""
"","Trade Balance","4681"
"Taiwan","Total Exports","3629"
"","Total Imports",""
"","Trade Balance","3629"
"French Polynesia","Total Exports","2641"
"","Total Imports",""
"","Trade Balance","2641"
"Malaysia","Total Exports","2036"
"","Total Imports",""
"","Trade Balance","2036"
"Georgia","Total Exports","800"
"","Total Imports",""
"","Trade Balance","800"
"Lebanon","Total Exports","625"
"","Total Imports",""
"","Trade Balance","625"
"Spain","Total Exports","393"
"","Total Imports",""
"","Trade Balance","393"
"Czech Republic","Total Exports","150"
"","Total Imports",""
"","Trade Balance","150"
"Poland","Total Exports","142"
"","Total Imports",""
"","Trade Balance","142"
"Swaziland","Total Exports","91"
"","Total Imports",""
"","Trade Balance","91"
"Israel","Total Exports","9"
"","Total Imports",""
"","Trade Balance","9"
"Denmark","Total Exports",""
"","Total Imports","59"
"","Trade Balance","-59"
"Greenland","Total Exports","3173"
"","Total Imports","25464"
"","Trade Balance","-22291"
"South Africa","Total Exports","59"
"","Total Imports","25623"
"","Trade Balance","-25564"
"Iceland","Total Exports",""
"","Total Imports","69600"
"","Trade Balance","-69600"
"United Kingdom","Total Exports","31890"
"","Total Imports","185822"
"","Trade Balance","-153932"
"Bulgaria","Total Exports","2100"
"","Total Imports","763356"
"","Trade Balance","-761256"
"Ireland","Total Exports",""
"","Total Imports","3148377"
"","Trade Balance","-3148377"
"Australia","Total Exports","49143"
"","Total Imports","10760856"
"","Trade Balance","-10711713"
"China","Total Exports","458046"
"","Total Imports","16916649"
"","Trade Balance","-16458603"
"Brazil","Total Exports","64525"
"","Total Imports","48302050"
"","Trade Balance","-48237525"
"Total All Countries","Total Exports","321978328"
"","Total Imports","80966266"
"","Trade Balance","241012062"

"Source: Trade Data Online (accessed: April 21, 2025)"



