"Title","Canadian trade balances"
"Products","Total for all products"
"Origin","Nunavut"
"Destination","All countries (detailed)"
"Period","Specific year(s): 2019"
"Units","Value in  canadian dollars"

"","","2019"
"Switzerland","Total Exports","514635676"
"","Total Imports",""
"","Trade Balance","514635676"
"Netherlands","Total Exports","311094890"
"","Total Imports",""
"","Trade Balance","311094890"
"Germany","Total Exports","142052679"
"","Total Imports",""
"","Trade Balance","142052679"
"France (incl. Monaco, French Antilles)","Total Exports","99924696"
"","Total Imports",""
"","Trade Balance","99924696"
"Belgium","Total Exports","24653621"
"","Total Imports",""
"","Trade Balance","24653621"
"United Kingdom","Total Exports","22990376"
"","Total Imports","2792580"
"","Trade Balance","20197796"
"Italy (incl. Vatican City State)","Total Exports","18619722"
"","Total Imports",""
"","Trade Balance","18619722"
"China","Total Exports","22699368"
"","Total Imports","4208774"
"","Trade Balance","18490594"
"Spain","Total Exports","17688899"
"","Total Imports",""
"","Trade Balance","17688899"
"Japan","Total Exports","9973293"
"","Total Imports",""
"","Trade Balance","9973293"
"Slovenia","Total Exports","5784142"
"","Total Imports",""
"","Trade Balance","5784142"
"United States","Total Exports","484466"
"","Total Imports","941"
"","Trade Balance","483525"
"Thailand","Total Exports","88024"
"","Total Imports",""
"","Trade Balance","88024"
"Malaysia","Total Exports","35855"
"","Total Imports",""
"","Trade Balance","35855"
"Luxembourg","Total Exports","24995"
"","Total Imports",""
"","Trade Balance","24995"
"Singapore","Total Exports","20029"
"","Total Imports",""
"","Trade Balance","20029"
"Hong Kong","Total Exports","12019"
"","Total Imports",""
"","Trade Balance","12019"
"Taiwan","Total Exports","11000"
"","Total Imports",""
"","Trade Balance","11000"
"Mexico","Total Exports","8225"
"","Total Imports",""
"","Trade Balance","8225"
"Ukraine","Total Exports","6780"
"","Total Imports",""
"","Trade Balance","6780"
"Saudi Arabia","Total Exports","6187"
"","Total Imports",""
"","Trade Balance","6187"
"Ghana","Total Exports","4500"
"","Total Imports",""
"","Trade Balance","4500"
"Poland","Total Exports","4075"
"","Total Imports",""
"","Trade Balance","4075"
"Korea, South","Total Exports","2983"
"","Total Imports",""
"","Trade Balance","2983"
"Jamaica","Total Exports","1650"
"","Total Imports",""
"","Trade Balance","1650"
"Guyana","Total Exports","500"
"","Total Imports",""
"","Trade Balance","500"
"Cameroon","Total Exports","400"
"","Total Imports",""
"","Trade Balance","400"
"Australia","Total Exports",""
"","Total Imports","38072"
"","Trade Balance","-38072"
"New Zealand","Total Exports",""
"","Total Imports","228440"
"","Trade Balance","-228440"
"Türkiye","Total Exports",""
"","Total Imports","742431"
"","Trade Balance","-742431"
"Sweden","Total Exports",""
"","Total Imports","785737"
"","Trade Balance","-785737"
"Vietnam","Total Exports",""
"","Total Imports","10271005"
"","Trade Balance","-10271005"
"Total All Countries","Total Exports","1190829050"
"","Total Imports","19067980"
"","Trade Balance","1171761070"

"Source: Trade Data Online (accessed: April 21, 2025)"



