"Title","Canadian trade balances"
"Products","Total for all products"
"Origin","Nunavut"
"Destination","All countries (detailed)"
"Period","Specific year(s): 2020"
"Units","Value in  canadian dollars"

"","","2020"
"Switzerland","Total Exports","539710806"
"","Total Imports",""
"","Trade Balance","539710806"
"Germany","Total Exports","296551522"
"","Total Imports","77953"
"","Trade Balance","296473569"
"France (incl. Monaco, French Antilles)","Total Exports","116249910"
"","Total Imports",""
"","Trade Balance","116249910"
"China","Total Exports","105527918"
"","Total Imports","2399"
"","Trade Balance","105525519"
"United Kingdom","Total Exports","69181066"
"","Total Imports","1553091"
"","Trade Balance","67627975"
"Romania","Total Exports","44323209"
"","Total Imports",""
"","Trade Balance","44323209"
"Belgium","Total Exports","35238306"
"","Total Imports",""
"","Trade Balance","35238306"
"Slovenia","Total Exports","18271074"
"","Total Imports",""
"","Trade Balance","18271074"
"United States","Total Exports","346455"
"","Total Imports","4467"
"","Trade Balance","341988"
"Malaysia","Total Exports","19496"
"","Total Imports",""
"","Trade Balance","19496"
"Ghana","Total Exports","8000"
"","Total Imports",""
"","Trade Balance","8000"
"Italy (incl. Vatican City State)","Total Exports","5843"
"","Total Imports",""
"","Trade Balance","5843"
"Netherlands","Total Exports","5325"
"","Total Imports",""
"","Trade Balance","5325"
"Jamaica","Total Exports","4800"
"","Total Imports",""
"","Trade Balance","4800"
"Mexico","Total Exports","4791"
"","Total Imports",""
"","Trade Balance","4791"
"Australia","Total Exports","4300"
"","Total Imports",""
"","Trade Balance","4300"
"Norway","Total Exports","4150"
"","Total Imports",""
"","Trade Balance","4150"
"Japan","Total Exports","2401"
"","Total Imports",""
"","Trade Balance","2401"
"Luxembourg","Total Exports","2000"
"","Total Imports",""
"","Trade Balance","2000"
"Singapore","Total Exports","664"
"","Total Imports",""
"","Trade Balance","664"
"Re-Imports (Canada)","Total Exports",""
"","Total Imports","22"
"","Trade Balance","-22"
"Total All Countries","Total Exports","1225462036"
"","Total Imports","1637932"
"","Trade Balance","1223824104"

"Source: Trade Data Online (accessed: April 21, 2025)"



