"Title","Canadian trade balances"
"Products","Total for all products"
"Origin","Nunavut"
"Destination","All countries (detailed)"
"Period","Specific year(s): 2022"
"Units","Value in  canadian dollars"

"","","2022"
"Switzerland","Total Exports","845570241"
"","Total Imports",""
"","Trade Balance","845570241"
"Germany","Total Exports","400224604"
"","Total Imports","2015041"
"","Trade Balance","398209563"
"France (incl. Monaco, French Antilles)","Total Exports","106384268"
"","Total Imports","4458300"
"","Trade Balance","101925968"
"Spain","Total Exports","45640053"
"","Total Imports","191070"
"","Trade Balance","45448983"
"Belgium","Total Exports","39388029"
"","Total Imports",""
"","Trade Balance","39388029"
"United Kingdom","Total Exports","19798454"
"","Total Imports","1226710"
"","Trade Balance","18571744"
"Netherlands","Total Exports","7838623"
"","Total Imports",""
"","Trade Balance","7838623"
"Slovenia","Total Exports","10667021"
"","Total Imports","3415873"
"","Trade Balance","7251148"
"Mexico","Total Exports","28875"
"","Total Imports",""
"","Trade Balance","28875"
"Australia","Total Exports","23000"
"","Total Imports",""
"","Trade Balance","23000"
"Luxembourg","Total Exports","9800"
"","Total Imports",""
"","Trade Balance","9800"
"Italy (incl. Vatican City State)","Total Exports","8982"
"","Total Imports",""
"","Trade Balance","8982"
"China","Total Exports","6800"
"","Total Imports",""
"","Trade Balance","6800"
"Denmark","Total Exports","6722"
"","Total Imports",""
"","Trade Balance","6722"
"South Africa","Total Exports","6144"
"","Total Imports",""
"","Trade Balance","6144"
"Philippines","Total Exports","4715"
"","Total Imports",""
"","Trade Balance","4715"
"United Arab Emirates","Total Exports","3901"
"","Total Imports",""
"","Trade Balance","3901"
"Austria","Total Exports","3000"
"","Total Imports",""
"","Trade Balance","3000"
"Hong Kong","Total Exports","2800"
"","Total Imports",""
"","Trade Balance","2800"
"Panama","Total Exports","2032"
"","Total Imports",""
"","Trade Balance","2032"
"Sint Maarten","Total Exports","1644"
"","Total Imports",""
"","Trade Balance","1644"
"Singapore","Total Exports","1034"
"","Total Imports",""
"","Trade Balance","1034"
"Afghanistan","Total Exports","650"
"","Total Imports",""
"","Trade Balance","650"
"Greenland","Total Exports",""
"","Total Imports","62510"
"","Trade Balance","-62510"
"Re-Imports (Canada)","Total Exports",""
"","Total Imports","1732846"
"","Trade Balance","-1732846"
"United States","Total Exports","356774"
"","Total Imports","15402831"
"","Trade Balance","-15046057"
"Total All Countries","Total Exports","1475978166"
"","Total Imports","28505181"
"","Trade Balance","1447472985"

"Source: Trade Data Online (accessed: April 21, 2025)"



