"Title","Canadian trade balances"
"Products","Total for all products"
"Origin","Nunavut"
"Destination","All countries (detailed)"
"Period","Specific year(s): 2023"
"Units","Value in  canadian dollars"

"","","2023"
"Switzerland","Total Exports","1153301852"
"","Total Imports",""
"","Trade Balance","1153301852"
"Netherlands","Total Exports","333578626"
"","Total Imports","1385328"
"","Trade Balance","332193298"
"Germany","Total Exports","198610626"
"","Total Imports","2116266"
"","Trade Balance","196494360"
"France (incl. Monaco, French Antilles)","Total Exports","115514882"
"","Total Imports","17621956"
"","Trade Balance","97892926"
"Spain","Total Exports","95194540"
"","Total Imports",""
"","Trade Balance","95194540"
"Belgium","Total Exports","51634604"
"","Total Imports",""
"","Trade Balance","51634604"
"Romania","Total Exports","22993317"
"","Total Imports",""
"","Trade Balance","22993317"
"United Kingdom","Total Exports","19439142"
"","Total Imports","300071"
"","Trade Balance","19139071"
"China","Total Exports","11903580"
"","Total Imports","6100"
"","Trade Balance","11897480"
"Slovenia","Total Exports","10550076"
"","Total Imports",""
"","Trade Balance","10550076"
"Malaysia","Total Exports","28000"
"","Total Imports",""
"","Trade Balance","28000"
"Australia","Total Exports","13309"
"","Total Imports","224"
"","Trade Balance","13085"
"","Total Exports","9300"
"","Total Imports",""
"","Trade Balance","9300"
"Korea, South","Total Exports","8000"
"","Total Imports",""
"","Trade Balance","8000"
"New Zealand","Total Exports","7300"
"","Total Imports",""
"","Trade Balance","7300"
"Kenya","Total Exports","3024"
"","Total Imports",""
"","Trade Balance","3024"
"Czech Republic","Total Exports","3019"
"","Total Imports","13"
"","Trade Balance","3006"
"Mexico","Total Exports","4678"
"","Total Imports","1846"
"","Trade Balance","2832"
"Libya","Total Exports","2300"
"","Total Imports",""
"","Trade Balance","2300"
"Saudi Arabia","Total Exports","447"
"","Total Imports",""
"","Trade Balance","447"
"Ukraine","Total Exports","20"
"","Total Imports",""
"","Trade Balance","20"
"Mozambique","Total Exports","10"
"","Total Imports",""
"","Trade Balance","10"
"Indonesia","Total Exports",""
"","Total Imports","5"
"","Trade Balance","-5"
"Taiwan","Total Exports",""
"","Total Imports","264"
"","Trade Balance","-264"
"India","Total Exports","701"
"","Total Imports","1431"
"","Trade Balance","-730"
"Italy (incl. Vatican City State)","Total Exports",""
"","Total Imports","1104"
"","Trade Balance","-1104"
"Finland","Total Exports",""
"","Total Imports","30170"
"","Trade Balance","-30170"
"Estonia","Total Exports",""
"","Total Imports","38199"
"","Trade Balance","-38199"
"Sweden","Total Exports",""
"","Total Imports","956240"
"","Trade Balance","-956240"
"Japan","Total Exports","8537"
"","Total Imports","1131399"
"","Trade Balance","-1122862"
"Türkiye","Total Exports",""
"","Total Imports","1700213"
"","Trade Balance","-1700213"
"Slovakia","Total Exports",""
"","Total Imports","1914121"
"","Trade Balance","-1914121"
"Austria","Total Exports","7100"
"","Total Imports","2834644"
"","Trade Balance","-2827544"
"Re-Imports (Canada)","Total Exports",""
"","Total Imports","11264274"
"","Trade Balance","-11264274"
"United States","Total Exports","304359"
"","Total Imports","50453411"
"","Trade Balance","-50149052"
"Kuwait","Total Exports",""
"","Total Imports","166246405"
"","Trade Balance","-166246405"
"Total All Countries","Total Exports","2013121349"
"","Total Imports","258003684"
"","Trade Balance","1755117665"

"Source: Trade Data Online (accessed: April 21, 2025)"



