"Title","Canadian trade balances"
"Products","Total for all products"
"Origin","Ontario"
"Destination","All countries (detailed)"
"Period","Specific year(s): 1991"
"Units","Value in  canadian dollars"

"","","1991"
"United States","Total Exports","62179513191"
"","Total Imports","59559412845"
"","Trade Balance","2620100346"
"Norway","Total Exports","563108587"
"","Total Imports","35734268"
"","Trade Balance","527374319"
"Venezuela","Total Exports","203849448"
"","Total Imports","18849106"
"","Trade Balance","185000342"
"Netherlands","Total Exports","397282198"
"","Total Imports","274752353"
"","Trade Balance","122529845"
"Australia","Total Exports","214165824"
"","Total Imports","134129197"
"","Trade Balance","80036627"
"Belgium","Total Exports","294033760"
"","Total Imports","215278857"
"","Trade Balance","78754903"
"Saudi Arabia","Total Exports","54311771"
"","Total Imports","111946"
"","Trade Balance","54199825"
"Morocco","Total Exports","57879908"
"","Total Imports","18676218"
"","Trade Balance","39203690"
"Iran","Total Exports","50828065"
"","Total Imports","18445680"
"","Trade Balance","32382385"
"Libya","Total Exports","21984526"
"","Total Imports",""
"","Trade Balance","21984526"
"Egypt","Total Exports","21891884"
"","Total Imports","678507"
"","Trade Balance","21213377"
"Trinidad and Tobago","Total Exports","24239223"
"","Total Imports","4541555"
"","Trade Balance","19697668"
"Bermuda","Total Exports","20931133"
"","Total Imports","3178573"
"","Trade Balance","17752560"
"United Arab Emirates","Total Exports","13415738"
"","Total Imports","1583779"
"","Trade Balance","11831959"
"Barbados","Total Exports","14298959"
"","Total Imports","2689315"
"","Trade Balance","11609644"
"Kuwait","Total Exports","9905591"
"","Total Imports","2780"
"","Trade Balance","9902811"
"Cameroon","Total Exports","8307597"
"","Total Imports","387911"
"","Trade Balance","7919686"
"Nigeria","Total Exports","8087355"
"","Total Imports","591368"
"","Trade Balance","7495987"
"U.S.S.R.","Total Exports","99930396"
"","Total Imports","92882483"
"","Trade Balance","7047913"
"Bahamas","Total Exports","37038430"
"","Total Imports","30101199"
"","Trade Balance","6937231"
"Algeria","Total Exports","6276423"
"","Total Imports",""
"","Trade Balance","6276423"
"Ghana","Total Exports","8855953"
"","Total Imports","2645633"
"","Trade Balance","6210320"
"Ethiopia","Total Exports","8707911"
"","Total Imports","3325128"
"","Trade Balance","5382783"
"Pakistan","Total Exports","23491442"
"","Total Imports","18145081"
"","Trade Balance","5346361"
"Tanzania","Total Exports","5733453"
"","Total Imports","593951"
"","Trade Balance","5139502"
"Zimbabwe","Total Exports","6987820"
"","Total Imports","2333659"
"","Trade Balance","4654161"
"Romania","Total Exports","10122171"
"","Total Imports","5558937"
"","Trade Balance","4563234"
"Türkiye","Total Exports","23112390"
"","Total Imports","19089313"
"","Trade Balance","4023077"
"Netherlands Antilles","Total Exports","4065425"
"","Total Imports","175816"
"","Trade Balance","3889609"
"Jamaica","Total Exports","18750438"
"","Total Imports","15273748"
"","Trade Balance","3476690"
"Zambia (Zambi)","Total Exports","3422121"
"","Total Imports","2645"
"","Trade Balance","3419476"
"Panama","Total Exports","5814075"
"","Total Imports","2456815"
"","Trade Balance","3357260"
"Grenada","Total Exports","3206692"
"","Total Imports","45664"
"","Trade Balance","3161028"
"Congo (formerly Zaire)","Total Exports","3096497"
"","Total Imports","290532"
"","Trade Balance","2805965"
"Syria","Total Exports","2665533"
"","Total Imports","12255"
"","Trade Balance","2653278"
"Guam","Total Exports","2592741"
"","Total Imports","87967"
"","Trade Balance","2504774"
"Saint Lucia","Total Exports","2707410"
"","Total Imports","222462"
"","Trade Balance","2484948"
"Antigua and Barbuda","Total Exports","2649642"
"","Total Imports","207329"
"","Trade Balance","2442313"
"Angola","Total Exports","2437312"
"","Total Imports","545"
"","Trade Balance","2436767"
"Uganda","Total Exports","2246964"
"","Total Imports","198581"
"","Trade Balance","2048383"
"Suriname","Total Exports","2105517"
"","Total Imports","249021"
"","Trade Balance","1856496"
"Jordan","Total Exports","1764397"
"","Total Imports","57469"
"","Trade Balance","1706928"
"Sudan","Total Exports","1731093"
"","Total Imports","54988"
"","Trade Balance","1676105"
"Botswana","Total Exports","1707014"
"","Total Imports","36995"
"","Trade Balance","1670019"
"Tunisia","Total Exports","2410322"
"","Total Imports","765811"
"","Trade Balance","1644511"
"Cayman Islands","Total Exports","1843390"
"","Total Imports","219105"
"","Trade Balance","1624285"
"Mozambique","Total Exports","2521688"
"","Total Imports","938396"
"","Trade Balance","1583292"
"Burkina Faso","Total Exports","1585036"
"","Total Imports","13517"
"","Trade Balance","1571519"
"Saint Pierre-Miquelon","Total Exports","1482195"
"","Total Imports","30807"
"","Trade Balance","1451388"
"Afghanistan","Total Exports","1492506"
"","Total Imports","146198"
"","Trade Balance","1346308"
"Lebanon","Total Exports","1695443"
"","Total Imports","474599"
"","Trade Balance","1220844"
"Saint Vincent and the Grenadines","Total Exports","1583197"
"","Total Imports","487721"
"","Trade Balance","1095476"
"Senegal","Total Exports","1127754"
"","Total Imports","147346"
"","Trade Balance","980408"
"Cyprus","Total Exports","1546524"
"","Total Imports","570473"
"","Trade Balance","976051"
"Oman (formerly Muscat and Oman)","Total Exports","1293673"
"","Total Imports","323050"
"","Trade Balance","970623"
"Papua New Guinea","Total Exports","1010674"
"","Total Imports","84595"
"","Trade Balance","926079"
"Greenland","Total Exports","944374"
"","Total Imports","56091"
"","Trade Balance","888283"
"Mali","Total Exports","980520"
"","Total Imports","114989"
"","Trade Balance","865531"
"Yemen","Total Exports","862180"
"","Total Imports","1752"
"","Trade Balance","860428"
"Benin","Total Exports","810894"
"","Total Imports",""
"","Trade Balance","810894"
"Togo","Total Exports","775505"
"","Total Imports","2451"
"","Trade Balance","773054"
"Paraguay","Total Exports","760476"
"","Total Imports","37553"
"","Trade Balance","722923"
"Saint Kitts and Nevis","Total Exports","738266"
"","Total Imports","85460"
"","Trade Balance","652806"
"Dominica","Total Exports","763725"
"","Total Imports","113602"
"","Trade Balance","650123"
"Gabon","Total Exports","678777"
"","Total Imports","30687"
"","Trade Balance","648090"
"British Virgin Islands","Total Exports","567133"
"","Total Imports","17458"
"","Trade Balance","549675"
"Djibouti","Total Exports","439164"
"","Total Imports",""
"","Trade Balance","439164"
"Vietnam","Total Exports","5265436"
"","Total Imports","4853309"
"","Trade Balance","412127"
"Bahrain","Total Exports","1235699"
"","Total Imports","859984"
"","Trade Balance","375715"
"Chad","Total Exports","285065"
"","Total Imports",""
"","Trade Balance","285065"
"Congo (formerly Brazzaville)","Total Exports","299195"
"","Total Imports","21269"
"","Trade Balance","277926"
"Montserrat","Total Exports","260917"
"","Total Imports","16449"
"","Trade Balance","244468"
"Rwanda","Total Exports","240259"
"","Total Imports",""
"","Trade Balance","240259"
"Guadeloupe","Total Exports","248986"
"","Total Imports","11154"
"","Trade Balance","237832"
"Anguilla","Total Exports","173833"
"","Total Imports",""
"","Trade Balance","173833"
"French Polynesia","Total Exports","326273"
"","Total Imports","164884"
"","Trade Balance","161389"
"Nepal","Total Exports","1281939"
"","Total Imports","1128865"
"","Trade Balance","153074"
"Korea, North","Total Exports","131151"
"","Total Imports","445"
"","Trade Balance","130706"
