"Title","Canadian trade balances"
"Products","Total for all products"
"Origin","Ontario"
"Destination","All countries (detailed)"
"Period","Specific year(s): 1993"
"Units","Value in  canadian dollars"

"","","1993"
"United States","Total Exports","84800941879"
"","Total Imports","81182016738"
"","Trade Balance","3618925141"
"Norway","Total Exports","503060498"
"","Total Imports","41907970"
"","Trade Balance","461152528"
"Venezuela","Total Exports","371312580"
"","Total Imports","23449957"
"","Trade Balance","347862623"
"Saudi Arabia","Total Exports","278755519"
"","Total Imports","308206"
"","Trade Balance","278447313"
"Switzerland","Total Exports","655112068"
"","Total Imports","380026409"
"","Trade Balance","275085659"
"Australia","Total Exports","364531847"
"","Total Imports","215517049"
"","Trade Balance","149014798"
"Türkiye","Total Exports","84632089"
"","Total Imports","20608244"
"","Trade Balance","64023845"
"Egypt","Total Exports","56637443"
"","Total Imports","2824360"
"","Trade Balance","53813083"
"Zambia (Zambi)","Total Exports","39972608"
"","Total Imports","29"
"","Trade Balance","39972579"
"United Arab Emirates","Total Exports","29662620"
"","Total Imports","540090"
"","Trade Balance","29122530"
"Belgium","Total Exports","272987988"
"","Total Imports","247786853"
"","Trade Balance","25201135"
"Ukraine","Total Exports","27722071"
"","Total Imports","3021423"
"","Trade Balance","24700648"
"Romania","Total Exports","34462482"
"","Total Imports","10065437"
"","Trade Balance","24397045"
"Nigeria","Total Exports","23100147"
"","Total Imports","141300"
"","Trade Balance","22958847"
"Algeria","Total Exports","22481546"
"","Total Imports","33"
"","Trade Balance","22481513"
"U.S.S.R.","Total Exports","46917682"
"","Total Imports","24831636"
"","Trade Balance","22086046"
"Libya","Total Exports","21367289"
"","Total Imports",""
"","Trade Balance","21367289"
"Argentina","Total Exports","77685537"
"","Total Imports","56348072"
"","Trade Balance","21337465"
"Russia","Total Exports","104661912"
"","Total Imports","83874727"
"","Trade Balance","20787185"
"Mozambique","Total Exports","21349879"
"","Total Imports","835868"
"","Trade Balance","20514011"
"Trinidad and Tobago","Total Exports","26377876"
"","Total Imports","6760996"
"","Trade Balance","19616880"
"Jamaica","Total Exports","34363705"
"","Total Imports","16943233"
"","Trade Balance","17420472"
"Mauritania","Total Exports","15186311"
"","Total Imports","352"
"","Trade Balance","15185959"
"Bermuda","Total Exports","16688842"
"","Total Imports","3500112"
"","Trade Balance","13188730"
"Netherlands Antilles","Total Exports","13360276"
"","Total Imports","253925"
"","Trade Balance","13106351"
"Kazakhstan","Total Exports","13321861"
"","Total Imports","248785"
"","Trade Balance","13073076"
"Cuba","Total Exports","55088755"
"","Total Imports","43654700"
"","Trade Balance","11434055"
"Cameroon","Total Exports","11093704"
"","Total Imports","52329"
"","Trade Balance","11041375"
"Ghana","Total Exports","14099646"
"","Total Imports","3095057"
"","Trade Balance","11004589"
"Kuwait","Total Exports","11777228"
"","Total Imports","1360071"
"","Trade Balance","10417157"
"Oman (formerly Muscat and Oman)","Total Exports","8431718"
"","Total Imports",""
"","Trade Balance","8431718"
