"Title","Canadian trade balances"
"Products","Total for all products"
"Origin","Ontario"
"Destination","All countries (detailed)"
"Period","Specific year(s): 1994"
"Units","Value in  canadian dollars"

"","","1994"
"United States","Total Exports","103886511239"
"","Total Imports","98839297616"
"","Trade Balance","5047213623"
"Norway","Total Exports","549934430"
"","Total Imports","71968719"
"","Trade Balance","477965711"
"Saudi Arabia","Total Exports","405094742"
"","Total Imports","985056"
"","Trade Balance","404109686"
"Venezuela","Total Exports","424866262"
"","Total Imports","36775835"
"","Trade Balance","388090427"
"Australia","Total Exports","420335674"
"","Total Imports","252397471"
"","Trade Balance","167938203"
"Romania","Total Exports","115786543"
"","Total Imports","19766166"
"","Trade Balance","96020377"
"Switzerland","Total Exports","565613949"
"","Total Imports","474098667"
"","Trade Balance","91515282"
"Colombia","Total Exports","168743367"
"","Total Imports","103490876"
"","Trade Balance","65252491"
"Argentina","Total Exports","108171947"
"","Total Imports","52160875"
"","Trade Balance","56011072"
"United Arab Emirates","Total Exports","44604601"
"","Total Imports","774176"
"","Trade Balance","43830425"
"Algeria","Total Exports","38616906"
"","Total Imports","6765"
"","Trade Balance","38610141"
"South Africa","Total Exports","177687489"
"","Total Imports","146776210"
"","Trade Balance","30911279"
"Jamaica","Total Exports","49566828"
"","Total Imports","19856198"
"","Trade Balance","29710630"
"Trinidad and Tobago","Total Exports","32806820"
"","Total Imports","6743343"
"","Trade Balance","26063477"
"Libya","Total Exports","18398876"
"","Total Imports",""
"","Trade Balance","18398876"
"Egypt","Total Exports","25589395"
"","Total Imports","7224320"
"","Trade Balance","18365075"
"Cuba","Total Exports","57012840"
"","Total Imports","39698280"
"","Trade Balance","17314560"
"Yemen","Total Exports","15629387"
"","Total Imports","18226"
"","Trade Balance","15611161"
"Peru","Total Exports","32956202"
"","Total Imports","18107543"
"","Trade Balance","14848659"
"Paraguay","Total Exports","14233739"
"","Total Imports","943676"
"","Trade Balance","13290063"
"Cameroon","Total Exports","13377745"
"","Total Imports","106002"
"","Trade Balance","13271743"
"Netherlands Antilles","Total Exports","12934373"
"","Total Imports","437181"
"","Trade Balance","12497192"
"Barbados","Total Exports","17129885"
"","Total Imports","6752533"
"","Trade Balance","10377352"
"Lebanon","Total Exports","10232070"
"","Total Imports","585779"
"","Trade Balance","9646291"
"Kuwait","Total Exports","10001975"
"","Total Imports","672813"
"","Trade Balance","9329162"
"Ghana","Total Exports","11219470"
"","Total Imports","3036435"
"","Trade Balance","8183035"
"Saint Lucia","Total Exports","6167801"
"","Total Imports","315987"
"","Trade Balance","5851814"
"Panama","Total Exports","10751964"
"","Total Imports","5034826"
"","Trade Balance","5717138"
"Bermuda","Total Exports","15757006"
"","Total Imports","10294063"
"","Trade Balance","5462943"
"Congo (formerly Zaire)","Total Exports","6823851"
"","Total Imports","1477700"
"","Trade Balance","5346151"
"Nigeria","Total Exports","6430263"
"","Total Imports","1260514"
"","Trade Balance","5169749"
"Antigua and Barbuda","Total Exports","5424150"
"","Total Imports","345662"
"","Trade Balance","5078488"
"Zambia (Zambi)","Total Exports","5165627"
"","Total Imports","297147"
"","Trade Balance","4868480"
"Syria","Total Exports","4867017"
"","Total Imports","56794"
"","Trade Balance","4810223"
"Cyprus","Total Exports","5138428"
"","Total Imports","569420"
"","Trade Balance","4569008"
"Uganda","Total Exports","6301530"
"","Total Imports","2216236"
"","Trade Balance","4085294"
"Tunisia","Total Exports","3411081"
"","Total Imports","279642"
"","Trade Balance","3131439"
"Qatar","Total Exports","3120176"
"","Total Imports","176294"
"","Trade Balance","2943882"
"Jordan","Total Exports","3276442"
"","Total Imports","372712"
"","Trade Balance","2903730"
"Suriname","Total Exports","3077576"
"","Total Imports","267490"
"","Trade Balance","2810086"
"Martinique","Total Exports","2841439"
"","Total Imports","37918"
"","Trade Balance","2803521"
"Oman (formerly Muscat and Oman)","Total Exports","2540521"
"","Total Imports","5559"
"","Trade Balance","2534962"
"Cayman Islands","Total Exports","2723142"
"","Total Imports","343431"
"","Trade Balance","2379711"
"Saint Kitts and Nevis","Total Exports","3512876"
"","Total Imports","1425838"
"","Trade Balance","2087038"
"Chile","Total Exports","78843670"
"","Total Imports","76780103"
"","Trade Balance","2063567"
"Tanzania","Total Exports","2464112"
"","Total Imports","415032"
"","Trade Balance","2049080"
"Ethiopia","Total Exports","6449219"
"","Total Imports","4440148"
"","Trade Balance","2009071"
"Ukraine","Total Exports","6752810"
"","Total Imports","4783264"
"","Trade Balance","1969546"
"Kazakhstan","Total Exports","1994958"
"","Total Imports","84991"
"","Trade Balance","1909967"
"Gabon","Total Exports","1809800"
"","Total Imports","19671"
"","Trade Balance","1790129"
"Uzbekistan","Total Exports","1784417"
"","Total Imports",""
"","Trade Balance","1784417"
"Angola","Total Exports","1661033"
"","Total Imports","14"
"","Trade Balance","1661019"
"Saint Vincent and the Grenadines","Total Exports","1806298"
"","Total Imports","192144"
"","Trade Balance","1614154"
"Latvia","Total Exports","1681233"
"","Total Imports","143696"
"","Trade Balance","1537537"
"Botswana","Total Exports","1538453"
"","Total Imports","7180"
"","Trade Balance","1531273"
"Haiti","Total Exports","1637095"
"","Total Imports","223750"
"","Trade Balance","1413345"
"Bahrain","Total Exports","1934657"
"","Total Imports","549012"
"","Trade Balance","1385645"
"Saint Pierre-Miquelon","Total Exports","1372805"
"","Total Imports","13770"
"","Trade Balance","1359035"
"Guam","Total Exports","1357368"
"","Total Imports","145788"
"","Trade Balance","1211580"
"Nepal","Total Exports","3338740"
"","Total Imports","2131347"
"","Trade Balance","1207393"
"Senegal","Total Exports","1274337"
"","Total Imports","136193"
"","Trade Balance","1138144"
"Mozambique","Total Exports","1166178"
"","Total Imports","34477"
"","Trade Balance","1131701"
"Greenland","Total Exports","1026524"
"","Total Imports","3775"
"","Trade Balance","1022749"
"Benin","Total Exports","939926"
"","Total Imports",""
"","Trade Balance","939926"
"Grenada","Total Exports","1115119"
"","Total Imports","245042"
"","Trade Balance","870077"
"Mali","Total Exports","1501457"
"","Total Imports","648333"
"","Trade Balance","853124"
"Belarus (formerly Byelorussia)","Total Exports","1402782"
"","Total Imports","593851"
"","Trade Balance","808931"
"Sudan","Total Exports","1227500"
"","Total Imports","440971"
"","Trade Balance","786529"
"Dominica","Total Exports","1028439"
"","Total Imports","271080"
"","Trade Balance","757359"
"Cambodia (Kampuchea)","Total Exports","753114"
"","Total Imports","52565"
"","Trade Balance","700549"
"Estonia","Total Exports","1704135"
"","Total Imports","1059332"
"","Trade Balance","644803"
"Brunei Darussalam","Total Exports","810356"
"","Total Imports","181993"
"","Trade Balance","628363"
"Guadeloupe","Total Exports","793219"
"","Total Imports","176811"
"","Trade Balance","616408"
"British Virgin Islands","Total Exports","608860"
"","Total Imports","12959"
"","Trade Balance","595901"
"Turkmenistan","Total Exports","403427"
"","Total Imports","2965"
"","Trade Balance","400462"
"Rwanda","Total Exports","400556"
"","Total Imports","712"
"","Trade Balance","399844"
"Turks and Caicos Islands","Total Exports","355830"
"","Total Imports","9245"
"","Trade Balance","346585"
"Mauritania","Total Exports","622779"
"","Total Imports","351212"
"","Trade Balance","271567"
"French Polynesia","Total Exports","300590"
"","Total Imports","87915"
"","Trade Balance","212675"
"Montserrat","Total Exports","188354"
"","Total Imports","31617"
"","Trade Balance","156737"
"Burkina Faso","Total Exports","189983"
"","Total Imports","38999"
"","Trade Balance","150984"
"Togo","Total Exports","140864"
"","Total Imports","3449"
"","Trade Balance","137415"
"Djibouti","Total Exports","136416"
"","Total Imports","15"
"","Trade Balance","136401"
"Burundi","Total Exports","128360"
"","Total Imports",""
"","Trade Balance","128360"
"Anguilla","Total Exports","104677"
"","Total Imports","5522"
"","Trade Balance","99155"
"Somalia","Total Exports","125057"
"","Total Imports","27165"
"","Trade Balance","97892"
"Lesotho","Total Exports","95303"
"","Total Imports","7193"
"","Trade Balance","88110"
"Kyrgyzstan","Total Exports","87793"
"","Total Imports","9020"
"","Trade Balance","78773"
"Gibraltar","Total Exports","80200"
"","Total Imports","2114"
"","Trade Balance","78086"
"Congo (formerly Brazzaville)","Total Exports","149976"
"","Total Imports","72898"
"","Trade Balance","77078"
"Korea, North","Total Exports","79366"
"","Total Imports","3458"
"","Trade Balance","75908"
"Tajikistan","Total Exports","96431"
"","Total Imports","21714"
"","Trade Balance","74717"
"Vanuatu (New Hebrides)","Total Exports","59489"
"","Total Imports",""
"","Trade Balance","59489"
"Liberia","Total Exports","34562"
"","Total Imports","1452"
"","Trade Balance","33110"
"French Guiana","Total Exports","25448"
"","Total Imports","3823"
"","Trade Balance","21625"
"Azerbaijan","Total Exports","21456"
"","Total Imports",""
"","Trade Balance","21456"
"Comoros","Total Exports","14520"
"","Total Imports","186"
"","Trade Balance","14334"
