"Title","Canadian trade balances"
"Products","Total for all products"
"Origin","Ontario"
"Destination","All countries (detailed)"
"Period","Specific year(s): 1998"
"Units","Value in  canadian dollars"

"","","1998"
"United States","Total Exports","158454336554"
"","Total Imports","148235517374"
"","Trade Balance","10218819180"
"Norway","Total Exports","707766381"
"","Total Imports","82076793"
"","Trade Balance","625689588"
"Venezuela","Total Exports","365641390"
"","Total Imports","48914179"
"","Trade Balance","316727211"
"Cuba","Total Exports","164382214"
"","Total Imports","23105201"
"","Trade Balance","141277013"
"Saudi Arabia","Total Exports","118834230"
"","Total Imports","6412416"
"","Trade Balance","112421814"
"Argentina","Total Exports","197499899"
"","Total Imports","95102474"
"","Trade Balance","102397425"
"Luxembourg","Total Exports","126851596"
"","Total Imports","37310799"
"","Trade Balance","89540797"
"Trinidad and Tobago","Total Exports","86352557"
"","Total Imports","11541212"
"","Trade Balance","74811345"
"United Arab Emirates","Total Exports","60461488"
"","Total Imports","7126709"
"","Trade Balance","53334779"
"Ethiopia","Total Exports","38386113"
"","Total Imports","5791569"
"","Trade Balance","32594544"
"Australia","Total Exports","367231709"
"","Total Imports","335170958"
"","Trade Balance","32060751"
"Bermuda","Total Exports","27078915"
"","Total Imports","4972126"
"","Trade Balance","22106789"
"Papua New Guinea","Total Exports","19580632"
"","Total Imports","172466"
"","Trade Balance","19408166"
"Kuwait","Total Exports","19886755"
"","Total Imports","892373"
"","Trade Balance","18994382"
"Ghana","Total Exports","20588697"
"","Total Imports","3155481"
"","Trade Balance","17433216"
"Jamaica","Total Exports","41003717"
"","Total Imports","24081556"
"","Trade Balance","16922161"
"Algeria","Total Exports","16563604"
"","Total Imports","557602"
"","Trade Balance","16006002"
"Libya","Total Exports","13423112"
"","Total Imports",""
"","Trade Balance","13423112"
"Georgia","Total Exports","13691582"
"","Total Imports","886644"
"","Trade Balance","12804938"
"Egypt","Total Exports","26902207"
"","Total Imports","14364046"
"","Trade Balance","12538161"
"Barbados","Total Exports","16086886"
"","Total Imports","4260336"
"","Trade Balance","11826550"
"Netherlands Antilles","Total Exports","11615586"
"","Total Imports","196667"
"","Trade Balance","11418919"
"Greece","Total Exports","45361355"
"","Total Imports","34514367"
"","Trade Balance","10846988"
"Chile","Total Exports","129265303"
"","Total Imports","119939846"
"","Trade Balance","9325457"
"Tanzania","Total Exports","9678094"
"","Total Imports","816135"
"","Trade Balance","8861959"
"Lebanon","Total Exports","10842812"
"","Total Imports","2145565"
"","Trade Balance","8697247"
"Latvia","Total Exports","10225894"
"","Total Imports","1961724"
"","Trade Balance","8264170"
"Botswana","Total Exports","8235285"
"","Total Imports","5509"
"","Trade Balance","8229776"
"Saint Lucia","Total Exports","7415877"
"","Total Imports","166737"
"","Trade Balance","7249140"
"Haiti","Total Exports","8278639"
"","Total Imports","1088813"
"","Trade Balance","7189826"
"Jordan","Total Exports","7260315"
"","Total Imports","473444"
"","Trade Balance","6786871"
"Congo (formerly Zaire)","Total Exports","5943084"
"","Total Imports",""
"","Trade Balance","5943084"
"Qatar","Total Exports","5330549"
"","Total Imports","86968"
"","Trade Balance","5243581"
"Azerbaijan","Total Exports","5339838"
"","Total Imports","181655"
"","Trade Balance","5158183"
"Croatia","Total Exports","9778603"
"","Total Imports","4904137"
"","Trade Balance","4874466"
"Mozambique","Total Exports","5738187"
"","Total Imports","951511"
"","Trade Balance","4786676"
"Cayman Islands","Total Exports","4891608"
"","Total Imports","194721"
"","Trade Balance","4696887"
"Yugoslavia  - Serbia and Montenegro","Total Exports","7641369"
"","Total Imports","3418971"
"","Trade Balance","4222398"
"Angola","Total Exports","4187269"
"","Total Imports","26147"
"","Trade Balance","4161122"
"Tunisia","Total Exports","7645462"
"","Total Imports","3627655"
"","Trade Balance","4017807"
"Uganda","Total Exports","4592911"
"","Total Imports","1028703"
"","Trade Balance","3564208"
"Syria","Total Exports","3690408"
"","Total Imports","308374"
"","Trade Balance","3382034"
"Kenya","Total Exports","12804663"
"","Total Imports","9558258"
"","Trade Balance","3246405"
"Congo (formerly Brazzaville)","Total Exports","3451328"
"","Total Imports","317847"
"","Trade Balance","3133481"
"Greenland","Total Exports","3802694"
"","Total Imports","881052"
"","Trade Balance","2921642"
"Zimbabwe","Total Exports","7478995"
"","Total Imports","4572303"
"","Trade Balance","2906692"
"Oman (formerly Muscat and Oman)","Total Exports","3174349"
"","Total Imports","318586"
"","Trade Balance","2855763"
"Kazakhstan","Total Exports","3282507"
"","Total Imports","476669"
"","Trade Balance","2805838"
"Sudan","Total Exports","3110712"
"","Total Imports","581580"
"","Trade Balance","2529132"
"Iraq","Total Exports","2338139"
"","Total Imports","73517"
"","Trade Balance","2264622"
"Saint Pierre-Miquelon","Total Exports","2348806"
"","Total Imports","88379"
"","Trade Balance","2260427"
"Kyrgyzstan","Total Exports","2214428"
"","Total Imports","18554"
"","Trade Balance","2195874"
"Bosnia and Herzegovina","Total Exports","2388196"
"","Total Imports","203346"
"","Trade Balance","2184850"
"Uzbekistan","Total Exports","1924897"
"","Total Imports","37791"
"","Trade Balance","1887106"
"Gabon","Total Exports","2024866"
"","Total Imports","154122"
"","Trade Balance","1870744"
"Liberia","Total Exports","1881185"
"","Total Imports","24495"
"","Trade Balance","1856690"
"Nigeria","Total Exports","9876678"
"","Total Imports","8041563"
"","Trade Balance","1835115"
