"Title","Canadian trade balances"
"Products","Total for all products"
"Origin","Ontario"
"Destination","All countries (detailed)"
"Period","Specific year(s): 2001"
"Units","Value in  canadian dollars"

"","","2001"
"United States","Total Exports","187879200565"
"","Total Imports","156685643089"
"","Trade Balance","31193557476"
"Norway","Total Exports","819749394"
"","Total Imports","129986677"
"","Trade Balance","689762717"
"Venezuela","Total Exports","368452891"
"","Total Imports","29521777"
"","Trade Balance","338931114"
"Cuba","Total Exports","141758886"
"","Total Imports","20407853"
"","Trade Balance","121351033"
"Saudi Arabia","Total Exports","101990280"
"","Total Imports","7192528"
"","Trade Balance","94797752"
"Australia","Total Exports","414151906"
"","Total Imports","357495810"
"","Trade Balance","56656096"
"Luxembourg","Total Exports","75385335"
"","Total Imports","25516345"
"","Trade Balance","49868990"
"Denmark","Total Exports","345655545"
"","Total Imports","300368876"
"","Trade Balance","45286669"
"Trinidad and Tobago","Total Exports","55051630"
"","Total Imports","17690407"
"","Trade Balance","37361223"
"United Arab Emirates","Total Exports","59915481"
"","Total Imports","26454110"
"","Trade Balance","33461371"
"Senegal","Total Exports","26092996"
"","Total Imports","132724"
"","Trade Balance","25960272"
"Algeria","Total Exports","21877212"
"","Total Imports","531404"
"","Trade Balance","21345808"
"Bermuda","Total Exports","20148008"
"","Total Imports","740576"
"","Trade Balance","19407432"
"Nigeria","Total Exports","18471554"
"","Total Imports","224126"
"","Trade Balance","18247428"
"Kuwait","Total Exports","21667184"
"","Total Imports","4511414"
"","Trade Balance","17155770"
"Jamaica","Total Exports","39818220"
"","Total Imports","23353996"
"","Trade Balance","16464224"
"Ghana","Total Exports","16968482"
"","Total Imports","4301087"
"","Trade Balance","12667395"
"Jordan","Total Exports","14391922"
"","Total Imports","2281942"
"","Trade Balance","12109980"
"Saint Kitts and Nevis","Total Exports","14169153"
"","Total Imports","5617689"
"","Trade Balance","8551464"
"Kenya","Total Exports","12674324"
"","Total Imports","5502361"
"","Trade Balance","7171963"
"Netherlands Antilles","Total Exports","6796092"
"","Total Imports","120639"
"","Trade Balance","6675453"
"Lebanon","Total Exports","8373642"
"","Total Imports","1848942"
"","Trade Balance","6524700"
"Syria","Total Exports","6876399"
"","Total Imports","697268"
"","Trade Balance","6179131"
"Panama","Total Exports","13763750"
"","Total Imports","7695030"
"","Trade Balance","6068720"
"Qatar","Total Exports","6383271"
"","Total Imports","337026"
"","Trade Balance","6046245"
"Tanzania","Total Exports","6865941"
"","Total Imports","848711"
"","Trade Balance","6017230"
"Saint Lucia","Total Exports","5912671"
"","Total Imports","172375"
"","Trade Balance","5740296"
"Mozambique","Total Exports","5784166"
"","Total Imports","403781"
"","Trade Balance","5380385"
"Cayman Islands","Total Exports","5462149"
"","Total Imports","211410"
"","Trade Balance","5250739"
"Georgia","Total Exports","5095703"
"","Total Imports","193269"
"","Trade Balance","4902434"
"Barbados","Total Exports","11954836"
"","Total Imports","7379850"
"","Trade Balance","4574986"
"Congo (formerly Brazzaville)","Total Exports","5822221"
"","Total Imports","1619088"
"","Trade Balance","4203133"
"Zambia (Zambi)","Total Exports","4017879"
"","Total Imports","293225"
"","Trade Balance","3724654"
"Benin","Total Exports","3645248"
"","Total Imports","8630"
"","Trade Balance","3636618"
"Yemen","Total Exports","3651702"
"","Total Imports","35376"
"","Trade Balance","3616326"
"Congo (formerly Zaire)","Total Exports","3402679"
"","Total Imports",""
"","Trade Balance","3402679"
"Egypt","Total Exports","20009603"
"","Total Imports","16997986"
"","Trade Balance","3011617"
"Oman (formerly Muscat and Oman)","Total Exports","4762140"
"","Total Imports","1847283"
"","Trade Balance","2914857"
"Uzbekistan","Total Exports","2693898"
"","Total Imports","76001"
"","Trade Balance","2617897"
"Angola","Total Exports","2593642"
"","Total Imports","3707"
"","Trade Balance","2589935"
"Malawi","Total Exports","3727290"
"","Total Imports","1282306"
"","Trade Balance","2444984"
"Togo","Total Exports","2538027"
"","Total Imports","96658"
"","Trade Balance","2441369"
"Libya","Total Exports","2220324"
"","Total Imports",""
"","Trade Balance","2220324"
"Latvia","Total Exports","6243713"
"","Total Imports","4038404"
"","Trade Balance","2205309"
"Cyprus","Total Exports","3220944"
"","Total Imports","1058154"
"","Trade Balance","2162790"
"Antigua and Barbuda","Total Exports","2273231"
"","Total Imports","284566"
"","Trade Balance","1988665"
"Korea, North","Total Exports","1920492"
"","Total Imports","27798"
"","Trade Balance","1892694"
"Russia","Total Exports","108526402"
"","Total Imports","106713030"
"","Trade Balance","1813372"
"Saint Vincent and the Grenadines","Total Exports","2027335"
"","Total Imports","252464"
"","Trade Balance","1774871"
"Sudan","Total Exports","1747397"
"","Total Imports","79188"
"","Trade Balance","1668209"
"Greenland","Total Exports","2256831"
"","Total Imports","597301"
"","Trade Balance","1659530"
"Azerbaijan","Total Exports","1828051"
"","Total Imports","276548"
"","Trade Balance","1551503"
"Uganda","Total Exports","2160778"
"","Total Imports","611211"
"","Trade Balance","1549567"
"Saint Pierre-Miquelon","Total Exports","1345660"
"","Total Imports","23343"
"","Trade Balance","1322317"
"Guinea","Total Exports","1409996"
"","Total Imports","135445"
"","Trade Balance","1274551"
"Kazakhstan","Total Exports","4559374"
"","Total Imports","3331605"
"","Trade Balance","1227769"
"Grenada","Total Exports","1183265"
"","Total Imports","201064"
"","Trade Balance","982201"
"Gabon","Total Exports","1877893"
"","Total Imports","972729"
"","Trade Balance","905164"
"Armenia","Total Exports","1558734"
"","Total Imports","697944"
"","Trade Balance","860790"
"French Polynesia","Total Exports","969362"
"","Total Imports","178088"
"","Trade Balance","791274"
"Rwanda","Total Exports","784613"
"","Total Imports","1867"
"","Trade Balance","782746"
"Mali","Total Exports","1057205"
"","Total Imports","297699"
"","Trade Balance","759506"
"Paraguay","Total Exports","972982"
"","Total Imports","222982"
"","Trade Balance","750000"
"Mauritania","Total Exports","581059"
"","Total Imports","23326"
"","Trade Balance","557733"
"British Virgin Islands","Total Exports","1362888"
"","Total Imports","806752"
"","Trade Balance","556136"
"Suriname","Total Exports","1144800"
"","Total Imports","595746"
"","Trade Balance","549054"
"Niger","Total Exports","1685205"
"","Total Imports","1147768"
"","Trade Balance","537437"
"Botswana","Total Exports","489987"
"","Total Imports","20133"
"","Trade Balance","469854"
"Cameroon","Total Exports","1516850"
"","Total Imports","1047646"
"","Trade Balance","469204"
"Tajikistan","Total Exports","446237"
"","Total Imports","1032"
"","Trade Balance","445205"
"Bahrain","Total Exports","3117453"
"","Total Imports","2697979"
"","Trade Balance","419474"
"Anguilla","Total Exports","370771"
"","Total Imports","4540"
"","Trade Balance","366231"
"New Caledonia","Total Exports","489722"
"","Total Imports","124469"
"","Trade Balance","365253"
