"Title","Canadian trade balances"
"Products","Total for all products"
"Origin","Ontario"
"Destination","All countries (detailed)"
"Period","Specific year(s): 2002"
"Units","Value in  canadian dollars"

"","","2002"
"United States","Total Exports","192759929920"
"","Total Imports","162992268405"
"","Trade Balance","29767661515"
"Norway","Total Exports","823015975"
"","Total Imports","164049247"
"","Trade Balance","658966728"
"Venezuela","Total Exports","202170848"
"","Total Imports","47006451"
"","Trade Balance","155164397"
"Saudi Arabia","Total Exports","136930799"
"","Total Imports","4293804"
"","Trade Balance","132636995"
"Australia","Total Exports","541018704"
"","Total Imports","442207678"
"","Trade Balance","98811026"
"Cuba","Total Exports","91409633"
"","Total Imports","18542942"
"","Trade Balance","72866691"
"United Arab Emirates","Total Exports","78176320"
"","Total Imports","14558822"
"","Trade Balance","63617498"
"Egypt","Total Exports","65952160"
"","Total Imports","22411509"
"","Trade Balance","43540651"
"Luxembourg","Total Exports","74142435"
"","Total Imports","30833594"
"","Trade Balance","43308841"
"Kuwait","Total Exports","30232146"
"","Total Imports","143146"
"","Trade Balance","30089000"
"Jamaica","Total Exports","55883728"
"","Total Imports","25916064"
"","Trade Balance","29967664"
"Trinidad and Tobago","Total Exports","40186543"
"","Total Imports","12037847"
"","Trade Balance","28148696"
"Bermuda","Total Exports","25728005"
"","Total Imports","956261"
"","Trade Balance","24771744"
"Saint Kitts and Nevis","Total Exports","25195615"
"","Total Imports","6922193"
"","Trade Balance","18273422"
"Panama","Total Exports","17048439"
"","Total Imports","5444877"
"","Trade Balance","11603562"
"Netherlands Antilles","Total Exports","11827782"
"","Total Imports","487373"
"","Trade Balance","11340409"
"Nigeria","Total Exports","11847691"
"","Total Imports","523791"
"","Trade Balance","11323900"
"Barbados","Total Exports","15774431"
"","Total Imports","5084180"
"","Trade Balance","10690251"
"Congo (formerly Zaire)","Total Exports","8705575"
"","Total Imports","35974"
"","Trade Balance","8669601"
"Ghana","Total Exports","17101285"
"","Total Imports","8895154"
"","Trade Balance","8206131"
"Qatar","Total Exports","8605408"
"","Total Imports","410501"
"","Trade Balance","8194907"
"Lebanon","Total Exports","9019827"
"","Total Imports","914935"
"","Trade Balance","8104892"
"Jordan","Total Exports","11319540"
"","Total Imports","3420323"
"","Trade Balance","7899217"
"Tanzania","Total Exports","8743839"
"","Total Imports","1449360"
"","Trade Balance","7294479"
"Algeria","Total Exports","7346614"
"","Total Imports","497791"
"","Trade Balance","6848823"
"Kenya","Total Exports","12494513"
"","Total Imports","6988039"
"","Trade Balance","5506474"
"Saint Lucia","Total Exports","5462078"
"","Total Imports","391171"
"","Trade Balance","5070907"
"Paraguay","Total Exports","6198078"
"","Total Imports","1236010"
"","Trade Balance","4962068"
"Latvia","Total Exports","9009799"
"","Total Imports","4729823"
"","Trade Balance","4279976"
"Oman (formerly Muscat and Oman)","Total Exports","6535897"
"","Total Imports","2295824"
"","Trade Balance","4240073"
"Libya","Total Exports","4034034"
"","Total Imports",""
"","Trade Balance","4034034"
"Sudan","Total Exports","3935147"
"","Total Imports","44996"
"","Trade Balance","3890151"
"Bahamas","Total Exports","17895183"
"","Total Imports","14061161"
"","Trade Balance","3834022"
"Mozambique","Total Exports","3694886"
"","Total Imports","163872"
"","Trade Balance","3531014"
"Kazakhstan","Total Exports","7570356"
"","Total Imports","4046113"
"","Trade Balance","3524243"
"Benin","Total Exports","3446570"
"","Total Imports","852"
"","Trade Balance","3445718"
"Cayman Islands","Total Exports","6847761"
"","Total Imports","3674208"
"","Trade Balance","3173553"
"Uganda","Total Exports","3499535"
"","Total Imports","341334"
"","Trade Balance","3158201"
"Antigua and Barbuda","Total Exports","3229740"
"","Total Imports","93668"
"","Trade Balance","3136072"
"Syria","Total Exports","4287918"
"","Total Imports","1185932"
"","Trade Balance","3101986"
"Zambia (Zambi)","Total Exports","3959329"
"","Total Imports","1035928"
"","Trade Balance","2923401"
"Togo","Total Exports","2875618"
"","Total Imports","42701"
"","Trade Balance","2832917"
"Aruba","Total Exports","2736877"
"","Total Imports","326145"
"","Trade Balance","2410732"
"Angola","Total Exports","2391156"
