"Title","Canadian trade balances"
"Products","Total for all products"
"Origin","Ontario"
"Destination","All countries (detailed)"
"Period","Specific year(s): 2004"
"Units","Value in  canadian dollars"

"","","2004"
"United States","Total Exports","180061827321"
"","Total Imports","152306510500"
"","Trade Balance","27755316821"
"Norway","Total Exports","1259740475"
"","Total Imports","151209015"
"","Trade Balance","1108531460"
"United Kingdom","Total Exports","3920796173"
"","Total Imports","3061062382"
"","Trade Balance","859733791"
"Saudi Arabia","Total Exports","355843725"
"","Total Imports","9016268"
"","Trade Balance","346827457"
"Australia","Total Exports","626711919"
"","Total Imports","406659047"
"","Trade Balance","220052872"
"Hong Kong","Total Exports","529559918"
"","Total Imports","354728936"
"","Trade Balance","174830982"
"United Arab Emirates","Total Exports","167376622"
"","Total Imports","16042223"
"","Trade Balance","151334399"
"Cuba","Total Exports","124398351"
"","Total Imports","17003591"
"","Trade Balance","107394760"
"Luxembourg","Total Exports","107813652"
"","Total Imports","31722446"
"","Trade Balance","76091206"
"Iran","Total Exports","80105983"
"","Total Imports","23855774"
"","Trade Balance","56250209"
"Trinidad and Tobago","Total Exports","48955410"
"","Total Imports","6768917"
"","Trade Balance","42186493"
"Bermuda","Total Exports","41785360"
"","Total Imports","1478951"
"","Trade Balance","40306409"
"Jamaica","Total Exports","57976377"
"","Total Imports","19132226"
"","Trade Balance","38844151"
"Iraq","Total Exports","26798022"
"","Total Imports","5919"
"","Trade Balance","26792103"
"Kuwait","Total Exports","24203620"
"","Total Imports","97982"
"","Trade Balance","24105638"
"Syria","Total Exports","23584423"
"","Total Imports","1843478"
"","Trade Balance","21740945"
"Lebanon","Total Exports","21840256"
"","Total Imports","1623564"
"","Trade Balance","20216692"
"Panama","Total Exports","24014605"
"","Total Imports","4083379"
"","Trade Balance","19931226"
"Barbados","Total Exports","22890016"
"","Total Imports","6623808"
"","Trade Balance","16266208"
"Zambia (Zambi)","Total Exports","15044479"
"","Total Imports","111587"
"","Trade Balance","14932892"
"Botswana","Total Exports","13986435"
"","Total Imports","775297"
"","Trade Balance","13211138"
"Jordan","Total Exports","17387615"
"","Total Imports","5516565"
"","Trade Balance","11871050"
"Libya","Total Exports","10959430"
"","Total Imports","580"
"","Trade Balance","10958850"
"Nigeria","Total Exports","10087696"
"","Total Imports","368343"
"","Trade Balance","9719353"
"Suriname","Total Exports","9782174"
"","Total Imports","354969"
"","Trade Balance","9427205"
"Cayman Islands","Total Exports","9888687"
"","Total Imports","663310"
"","Trade Balance","9225377"
"Netherlands Antilles","Total Exports","9229308"
"","Total Imports","899539"
"","Trade Balance","8329769"
"Qatar","Total Exports","8596172"
"","Total Imports","569854"
"","Trade Balance","8026318"
"Bahamas","Total Exports","18236676"
"","Total Imports","10743144"
"","Trade Balance","7493532"
"Greece","Total Exports","55049683"
"","Total Imports","47702212"
"","Trade Balance","7347471"
"Tanzania","Total Exports","18832532"
"","Total Imports","11924546"
"","Trade Balance","6907986"
"Angola","Total Exports","6745271"
"","Total Imports","23330"
"","Trade Balance","6721941"
"Ghana","Total Exports","13949754"
"","Total Imports","7390115"
"","Trade Balance","6559639"
"Congo (formerly Zaire)","Total Exports","6514147"
"","Total Imports","170770"
"","Trade Balance","6343377"
"Latvia","Total Exports","10588501"
"","Total Imports","4303136"
"","Trade Balance","6285365"
"Korea, North","Total Exports","5813348"
"","Total Imports","20554"
"","Trade Balance","5792794"
"Algeria","Total Exports","6121544"
"","Total Imports","895621"
"","Trade Balance","5225923"
"Mali","Total Exports","4672622"
"","Total Imports","234666"
"","Trade Balance","4437956"
"Iceland","Total Exports","5546704"
"","Total Imports","1152078"
"","Trade Balance","4394626"
"Mauritania","Total Exports","4487901"
"","Total Imports","210947"
"","Trade Balance","4276954"
"Afghanistan","Total Exports","4469286"
"","Total Imports","227822"
"","Trade Balance","4241464"
"Saint Lucia","Total Exports","4272057"
"","Total Imports","209646"
"","Trade Balance","4062411"
"Cyprus","Total Exports","4952094"
"","Total Imports","902636"
"","Trade Balance","4049458"
"Kenya","Total Exports","14072433"
