"Title","Canadian trade balances"
"Products","Total for all products"
"Origin","Ontario"
"Destination","All countries (detailed)"
"Period","Specific year(s): 2006"
"Units","Value in  canadian dollars"

"","","2006"
"United States","Total Exports","171714112624"
"","Total Imports","152515807024"
"","Trade Balance","19198305600"
"United Kingdom","Total Exports","6302013746"
"","Total Imports","3373655206"
"","Trade Balance","2928358540"
"Norway","Total Exports","1693921933"
"","Total Imports","141070696"
"","Trade Balance","1552851237"
"Australia","Total Exports","805276833"
"","Total Imports","428252869"
"","Trade Balance","377023964"
"Hong Kong","Total Exports","696759357"
"","Total Imports","348646676"
"","Trade Balance","348112681"
"Venezuela","Total Exports","304267633"
"","Total Imports","36121645"
"","Trade Balance","268145988"
"Netherlands","Total Exports","930984710"
"","Total Imports","678086713"
"","Trade Balance","252897997"
"United Arab Emirates","Total Exports","223909382"
"","Total Imports","21754257"
"","Trade Balance","202155125"
"Saudi Arabia","Total Exports","199524066"
"","Total Imports","10284998"
"","Trade Balance","189239068"
"Cuba","Total Exports","171023746"
"","Total Imports","13520072"
"","Trade Balance","157503674"
"Luxembourg","Total Exports","101980960"
"","Total Imports","32976745"
"","Trade Balance","69004215"
"Trinidad and Tobago","Total Exports","68692507"
"","Total Imports","8615225"
"","Trade Balance","60077282"
"Bermuda","Total Exports","49223203"
"","Total Imports","868566"
"","Trade Balance","48354637"
"Ghana","Total Exports","52887038"
"","Total Imports","4864640"
"","Trade Balance","48022398"
"Jamaica","Total Exports","60526955"
"","Total Imports","22336400"
"","Trade Balance","38190555"
"Kuwait","Total Exports","37316766"
"","Total Imports","54083"
"","Trade Balance","37262683"
"Zambia (Zambi)","Total Exports","33691139"
"","Total Imports","55837"
"","Trade Balance","33635302"
"Panama","Total Exports","35563280"
"","Total Imports","4810900"
"","Trade Balance","30752380"
"Antigua and Barbuda","Total Exports","30804840"
"","Total Imports","84482"
"","Trade Balance","30720358"
"Qatar","Total Exports","31057590"
"","Total Imports","416012"
"","Trade Balance","30641578"
"Angola","Total Exports","27823101"
"","Total Imports","1078041"
"","Trade Balance","26745060"
"Bahamas","Total Exports","37680033"
"","Total Imports","11538170"
"","Trade Balance","26141863"
"Egypt","Total Exports","53889745"
"","Total Imports","28542246"
"","Trade Balance","25347499"
"Barbados","Total Exports","34509337"
"","Total Imports","11052212"
"","Trade Balance","23457125"
"Nigeria","Total Exports","29867531"
"","Total Imports","7154927"
"","Trade Balance","22712604"
"Iceland","Total Exports","24183486"
"","Total Imports","4988239"
"","Trade Balance","19195247"
"Iran","Total Exports","43054521"
"","Total Imports","24367097"
"","Trade Balance","18687424"
"Kazakhstan","Total Exports","18235935"
"","Total Imports","1233641"
"","Trade Balance","17002294"
"Kenya","Total Exports","23162018"
"","Total Imports","8744289"
"","Trade Balance","14417729"
"Algeria","Total Exports","15066251"
"","Total Imports","869048"
"","Trade Balance","14197203"
"Libya","Total Exports","13578704"
"","Total Imports","963"
"","Trade Balance","13577741"
"Syria","Total Exports","14826979"
"","Total Imports","2006397"
"","Trade Balance","12820582"
"Cayman Islands","Total Exports","12269362"
"","Total Imports","155464"
"","Trade Balance","12113898"
"Congo (formerly Zaire)","Total Exports","12534799"
"","Total Imports","496474"
"","Trade Balance","12038325"
"Botswana","Total Exports","11499222"
"","Total Imports","389361"
"","Trade Balance","11109861"
"Lebanon","Total Exports","11596229"
"","Total Imports","2592717"
"","Trade Balance","9003512"
"Iraq","Total Exports","8844883"
"","Total Imports","21547"
"","Trade Balance","8823336"
"Latvia","Total Exports","13896023"
"","Total Imports","5319638"
"","Trade Balance","8576385"
"Saint Lucia","Total Exports","8611303"
"","Total Imports","111346"
"","Trade Balance","8499957"
"Netherlands Antilles","Total Exports","8620183"
"","Total Imports","180859"
"","Trade Balance","8439324"
"Korea, North","Total Exports","7733772"
"","Total Imports","55566"
"","Trade Balance","7678206"
"Oman (formerly Muscat and Oman)","Total Exports","9728914"
"","Total Imports","2141342"
"","Trade Balance","7587572"
"Saint Vincent and the Grenadines","Total Exports","7454499"
"","Total Imports","99906"
"","Trade Balance","7354593"
"Congo (formerly Brazzaville)","Total Exports","8501448"
"","Total Imports","1416191"
"","Trade Balance","7085257"
"Jordan","Total Exports","14643887"
"","Total Imports","8050350"
"","Trade Balance","6593537"
"Yemen","Total Exports","5880761"
"","Total Imports","100558"
"","Trade Balance","5780203"
"Kyrgyzstan","Total Exports","6057069"
"","Total Imports","898148"
"","Trade Balance","5158921"
"Uganda","Total Exports","5318716"
"","Total Imports","389513"
"","Trade Balance","4929203"
"Greenland","Total Exports","4713615"
"","Total Imports","249566"
"","Trade Balance","4464049"
"Lithuania","Total Exports","11016873"
"","Total Imports","7003301"
"","Trade Balance","4013572"
"Malawi","Total Exports","4390801"
"","Total Imports","659474"
"","Trade Balance","3731327"
"Benin","Total Exports","3567893"
"","Total Imports","4077"
"","Trade Balance","3563816"
"Mozambique","Total Exports","4240252"
"","Total Imports","705460"
"","Trade Balance","3534792"
"Mali","Total Exports","3776424"
"","Total Imports","328505"
"","Trade Balance","3447919"
"Mauritania","Total Exports","3558633"
"","Total Imports","139132"
"","Trade Balance","3419501"
"Togo","Total Exports","3467226"
"","Total Imports","107507"
"","Trade Balance","3359719"
"Guinea","Total Exports","3428683"
"","Total Imports","137018"
"","Trade Balance","3291665"
"Gabon","Total Exports","3650461"
"","Total Imports","658517"
"","Trade Balance","2991944"
"Sierra Leone","Total Exports","3579773"
"","Total Imports","598423"
"","Trade Balance","2981350"
"Senegal","Total Exports","3087900"
"","Total Imports","147077"
"","Trade Balance","2940823"
"Aruba","Total Exports","3238969"
"","Total Imports","303705"
"","Trade Balance","2935264"
"Guam","Total Exports","2682596"
"","Total Imports","50109"
"","Trade Balance","2632487"
"Afghanistan","Total Exports","2782361"
"","Total Imports","316550"
"","Trade Balance","2465811"
"Grenada","Total Exports","2978769"
"","Total Imports","550937"
"","Trade Balance","2427832"
"Cyprus","Total Exports","5514070"
"","Total Imports","3308682"
"","Trade Balance","2205388"
"Niger","Total Exports","3736004"
"","Total Imports","1545244"
"","Trade Balance","2190760"
"Dominica","Total Exports","2252912"
"","Total Imports","166084"
"","Trade Balance","2086828"
"Suriname","Total Exports","5123170"
"","Total Imports","3163326"
"","Trade Balance","1959844"
"Uzbekistan","Total Exports","1857675"
"","Total Imports","102209"
"","Trade Balance","1755466"
"Armenia","Total Exports","2888238"
"","Total Imports","1184223"
"","Trade Balance","1704015"
"Djibouti","Total Exports","1577488"
"","Total Imports","97423"
"","Trade Balance","1480065"
"Chad","Total Exports","1202639"
"","Total Imports","8172"
"","Trade Balance","1194467"
"Faeroe Islands","Total Exports","1193493"
"","Total Imports","49778"
"","Trade Balance","1143715"
"Croatia","Total Exports","14305877"
"","Total Imports","13222377"
"","Trade Balance","1083500"
"Tajikistan","Total Exports","1069479"
"","Total Imports","17071"
"","Trade Balance","1052408"
"French Polynesia","Total Exports","1580798"
"","Total Imports","538817"
"","Trade Balance","1041981"
"Papua New Guinea","Total Exports","1105577"
"","Total Imports","67513"
"","Trade Balance","1038064"
"Saint Pierre-Miquelon","Total Exports","1032929"
"","Total Imports","1205"
"","Trade Balance","1031724"
"Eritrea","Total Exports","1022846"
"","Total Imports","103655"
"","Trade Balance","919191"
"Equatorial Guinea","Total Exports","877826"
"","Total Imports","16442"
"","Trade Balance","861384"
