"Title","Canadian trade balances"
"Products","Total for all products"
"Origin","Ontario"
"Destination","All countries (detailed)"
"Period","Specific year(s): 2007"
"Units","Value in  canadian dollars"

"","","2007"
"United States","Total Exports","169257324062"
"","Total Imports","151857634464"
"","Trade Balance","17399689598"
"United Kingdom","Total Exports","8067024325"
"","Total Imports","3545993432"
"","Trade Balance","4521030893"
"Norway","Total Exports","3437102353"
"","Total Imports","144094183"
"","Trade Balance","3293008170"
"Netherlands","Total Exports","1282282958"
"","Total Imports","728336220"
"","Trade Balance","553946738"
"United Arab Emirates","Total Exports","360913011"
"","Total Imports","16823758"
"","Trade Balance","344089253"
"Hong Kong","Total Exports","639269169"
"","Total Imports","360127627"
"","Trade Balance","279141542"
"Venezuela","Total Exports","269562725"
"","Total Imports","27882430"
"","Trade Balance","241680295"
"Saudi Arabia","Total Exports","207347843"
"","Total Imports","2995968"
"","Trade Balance","204351875"
"Cuba","Total Exports","206820667"
"","Total Imports","18099259"
"","Trade Balance","188721408"
"Algeria","Total Exports","159117097"
"","Total Imports","597965"
"","Trade Balance","158519132"
"Luxembourg","Total Exports","161777400"
"","Total Imports","38899944"
"","Trade Balance","122877456"
"Russia","Total Exports","353777720"
"","Total Imports","270739558"
"","Trade Balance","83038162"
"Australia","Total Exports","688625138"
"","Total Imports","614575846"
"","Trade Balance","74049292"
"Ghana","Total Exports","70804561"
"","Total Imports","5161240"
"","Trade Balance","65643321"
"Zambia (Zambi)","Total Exports","64208070"
"","Total Imports","257388"
"","Trade Balance","63950682"
"Trinidad and Tobago","Total Exports","67864109"
"","Total Imports","10564831"
"","Trade Balance","57299278"
"Iran","Total Exports","76696575"
"","Total Imports","21019397"
"","Trade Balance","55677178"
"Nigeria","Total Exports","52435401"
"","Total Imports","8534370"
"","Trade Balance","43901031"
"Kuwait","Total Exports","40190267"
"","Total Imports","41970"
"","Trade Balance","40148297"
"Bermuda","Total Exports","40047027"
"","Total Imports","863410"
"","Trade Balance","39183617"
"Jamaica","Total Exports","56881137"
"","Total Imports","24737414"
"","Trade Balance","32143723"
"Angola","Total Exports","29954620"
"","Total Imports","39272"
"","Trade Balance","29915348"
"Panama","Total Exports","33418281"
"","Total Imports","3958394"
"","Trade Balance","29459887"
"Oman (formerly Muscat and Oman)","Total Exports","29942701"
"","Total Imports","2019154"
"","Trade Balance","27923547"
"Qatar","Total Exports","27462789"
"","Total Imports","215789"
"","Trade Balance","27247000"
"Netherlands Antilles","Total Exports","24506844"
"","Total Imports","191611"
"","Trade Balance","24315233"
"Lebanon","Total Exports","26429040"
"","Total Imports","2140385"
"","Trade Balance","24288655"
"Congo (formerly Zaire)","Total Exports","22803228"
"","Total Imports","514797"
"","Trade Balance","22288431"
"Tanzania","Total Exports","23080574"
"","Total Imports","907129"
"","Trade Balance","22173445"
"Barbados","Total Exports","28468825"
"","Total Imports","6317888"
"","Trade Balance","22150937"
"Kazakhstan","Total Exports","21909116"
"","Total Imports","847763"
"","Trade Balance","21061353"
"Syria","Total Exports","23198765"
"","Total Imports","2476099"
"","Trade Balance","20722666"
"Kenya","Total Exports","30866404"
"","Total Imports","10394082"
"","Trade Balance","20472322"
"Iraq","Total Exports","18179094"
"","Total Imports","14299"
"","Trade Balance","18164795"
"Colombia","Total Exports","233511145"
"","Total Imports","215596307"
"","Trade Balance","17914838"
"Libya","Total Exports","17698000"
"","Total Imports",""
"","Trade Balance","17698000"
"Jordan","Total Exports","20480808"
"","Total Imports","6370594"
"","Trade Balance","14110214"
"Latvia","Total Exports","16721352"
"","Total Imports","4949586"
"","Trade Balance","11771766"
"Cayman Islands","Total Exports","11337626"
"","Total Imports","116732"
"","Trade Balance","11220894"
"Saint Lucia","Total Exports","10881044"
"","Total Imports","243931"
"","Trade Balance","10637113"
"Iceland","Total Exports","14204379"
"","Total Imports","3762504"
"","Trade Balance","10441875"
"Korea, North","Total Exports","9870604"
"","Total Imports","127546"
"","Trade Balance","9743058"
