"Title","Canadian trade balances"
"Products","Total for all products"
"Origin","Ontario"
"Destination","All countries (detailed)"
"Period","Specific year(s): 2008"
"Units","Value in  canadian dollars"

"","","2008"
"United States","Total Exports","155856712170"
"","Total Imports","147562208422"
"","Trade Balance","8294503748"
"United Kingdom","Total Exports","7953439751"
"","Total Imports","3657355915"
"","Trade Balance","4296083836"
"Norway","Total Exports","2575596399"
"","Total Imports","372885674"
"","Trade Balance","2202710725"
"United Arab Emirates","Total Exports","548044299"
"","Total Imports","21163367"
"","Trade Balance","526880932"
"Hong Kong","Total Exports","821392885"
"","Total Imports","299374538"
"","Trade Balance","522018347"
"Australia","Total Exports","755318098"
"","Total Imports","457959443"
"","Trade Balance","297358655"
"Saudi Arabia","Total Exports","250231068"
"","Total Imports","18399180"
"","Trade Balance","231831888"
"Cuba","Total Exports","215053924"
"","Total Imports","15332511"
"","Trade Balance","199721413"
"Russia","Total Exports","460830455"
"","Total Imports","290178524"
"","Trade Balance","170651931"
"Venezuela","Total Exports","194535960"
"","Total Imports","112140419"
"","Trade Balance","82395541"
"Egypt","Total Exports","98827917"
"","Total Imports","30163116"
"","Trade Balance","68664801"
"Ghana","Total Exports","65145544"
"","Total Imports","7060248"
"","Trade Balance","58085296"
"Luxembourg","Total Exports","77574789"
"","Total Imports","21305147"
"","Trade Balance","56269642"
"Nigeria","Total Exports","65742972"
"","Total Imports","16046991"
"","Trade Balance","49695981"
"Iran","Total Exports","69950561"
"","Total Imports","23131680"
"","Trade Balance","46818881"
"Bermuda","Total Exports","47017493"
"","Total Imports","973971"
"","Trade Balance","46043522"
"Lebanon","Total Exports","41296567"
"","Total Imports","2777388"
"","Trade Balance","38519179"
"Panama","Total Exports","42266499"
"","Total Imports","4062049"
"","Trade Balance","38204450"
"Trinidad and Tobago","Total Exports","62030361"
"","Total Imports","26362679"
"","Trade Balance","35667682"
"Angola","Total Exports","34685831"
"","Total Imports","67056"
"","Trade Balance","34618775"
"Croatia","Total Exports","58290347"
"","Total Imports","25363183"
"","Trade Balance","32927164"
"Kuwait","Total Exports","32204936"
"","Total Imports","31065"
"","Trade Balance","32173871"
"Jamaica","Total Exports","54225999"
"","Total Imports","23727318"
"","Trade Balance","30498681"
"Bahamas","Total Exports","52717598"
"","Total Imports","22453407"
"","Trade Balance","30264191"
"Qatar","Total Exports","28690670"
"","Total Imports","281697"
"","Trade Balance","28408973"
"Zambia (Zambi)","Total Exports","23727377"
"","Total Imports","284613"
"","Trade Balance","23442764"
"Tanzania","Total Exports","22319450"
"","Total Imports","1066530"
"","Trade Balance","21252920"
"Libya","Total Exports","20815171"
"","Total Imports","182"
"","Trade Balance","20814989"
"Kenya","Total Exports","26865232"
"","Total Imports","6847024"
"","Trade Balance","20018208"
"Latvia","Total Exports","24263715"
"","Total Imports","4997653"
"","Trade Balance","19266062"
"Iraq","Total Exports","17054563"
"","Total Imports","214780"
"","Trade Balance","16839783"
"Kazakhstan","Total Exports","16850412"
"","Total Imports","629180"
"","Trade Balance","16221232"
"Barbados","Total Exports","21137645"
"","Total Imports","6629458"
"","Trade Balance","14508187"
"Afghanistan","Total Exports","15006630"
"","Total Imports","749976"
"","Trade Balance","14256654"
"Congo (formerly Zaire)","Total Exports","14163520"
"","Total Imports","300712"
"","Trade Balance","13862808"
"Jordan","Total Exports","20617653"
"","Total Imports","8315329"
"","Trade Balance","12302324"
"Syria","Total Exports","15006093"
"","Total Imports","2753120"
"","Trade Balance","12252973"
"Equatorial Guinea","Total Exports","10970965"
"","Total Imports","3236"
"","Trade Balance","10967729"
