"Title","Canadian trade balances"
"Products","Total for all products"
"Origin","Ontario"
"Destination","All countries (detailed)"
"Period","Specific year(s): 2014"
"Units","Value in  canadian dollars"

"","","2014"
"United Kingdom","Total Exports","11749394200"
"","Total Imports","3841399798"
"","Trade Balance","7907994402"
"Hong Kong","Total Exports","3464765295"
"","Total Imports","146551521"
"","Trade Balance","3318213774"
"Norway","Total Exports","1830833927"
"","Total Imports","213266161"
"","Trade Balance","1617567766"
"Saudi Arabia","Total Exports","578222176"
"","Total Imports","7907693"
"","Trade Balance","570314483"
"United States","Total Exports","168376038822"
"","Total Imports","167836418770"
"","Trade Balance","539620052"
"United Arab Emirates","Total Exports","558995465"
"","Total Imports","40993280"
"","Trade Balance","518002185"
"Botswana","Total Exports","428922999"
"","Total Imports","61656"
"","Trade Balance","428861343"
"Nigeria","Total Exports","162503168"
"","Total Imports","7466662"
"","Trade Balance","155036506"
"Cuba","Total Exports","109713174"
"","Total Imports","27029942"
"","Trade Balance","82683232"
"Kuwait","Total Exports","76192159"
"","Total Imports","89762"
"","Trade Balance","76102397"
"Ethiopia","Total Exports","78660714"
"","Total Imports","14049626"
"","Trade Balance","64611088"
"Ghana","Total Exports","54500638"
"","Total Imports","6477402"
"","Trade Balance","48023236"
"Iraq","Total Exports","42622295"
"","Total Imports","279786"
"","Trade Balance","42342509"
"Venezuela","Total Exports","48364413"
"","Total Imports","8367891"
"","Trade Balance","39996522"
"Singapore","Total Exports","558153680"
"","Total Imports","520266531"
"","Trade Balance","37887149"
"Libya","Total Exports","33009550"
"","Total Imports","214918"
"","Trade Balance","32794632"
"Lebanon","Total Exports","33848922"
"","Total Imports","6621043"
"","Trade Balance","27227879"
"Rwanda","Total Exports","25232586"
"","Total Imports","350664"
"","Trade Balance","24881922"
"Angola","Total Exports","23872811"
"","Total Imports","192351"
"","Trade Balance","23680460"
"Bermuda","Total Exports","23821106"
"","Total Imports","408901"
"","Trade Balance","23412205"
"Kenya","Total Exports","38211126"
"","Total Imports","14861308"
"","Trade Balance","23349818"
"Panama","Total Exports","31378396"
"","Total Imports","8249618"
"","Trade Balance","23128778"
"Qatar","Total Exports","52957329"
"","Total Imports","29956374"
"","Trade Balance","23000955"
"Kazakhstan","Total Exports","25366321"
"","Total Imports","2541328"
"","Trade Balance","22824993"
"Jamaica","Total Exports","49179250"
"","Total Imports","26493654"
"","Trade Balance","22685596"
"Tanzania","Total Exports","30118035"
"","Total Imports","10286347"
"","Trade Balance","19831688"
"Oman (formerly Muscat and Oman)","Total Exports","34328863"
"","Total Imports","14869051"
"","Trade Balance","19459812"
"Luxembourg","Total Exports","60822279"
"","Total Imports","42228044"
"","Trade Balance","18594235"
"Benin","Total Exports","18021231"
"","Total Imports","2628"
"","Trade Balance","18018603"
"Zambia (Zambi)","Total Exports","15356479"
"","Total Imports","2100479"
"","Trade Balance","13256000"
"Algeria","Total Exports","13143691"
"","Total Imports","1158378"
"","Trade Balance","11985313"
"Barbados","Total Exports","18669750"
"","Total Imports","7448915"
"","Trade Balance","11220835"
"Kyrgyzstan","Total Exports","10527557"
"","Total Imports","49761"
"","Trade Balance","10477796"
"Saint Vincent and the Grenadines","Total Exports","8973432"
"","Total Imports","107135"
"","Trade Balance","8866297"
"Mozambique","Total Exports","11810478"
"","Total Imports","3053079"
"","Trade Balance","8757399"
"Uganda","Total Exports","9769043"
"","Total Imports","1161132"
"","Trade Balance","8607911"
"Macau (Macao)","Total Exports","12943664"
"","Total Imports","4379777"
"","Trade Balance","8563887"
"Seychelles","Total Exports","9310161"
"","Total Imports","1018465"
"","Trade Balance","8291696"
"Congo (formerly Brazzaville)","Total Exports","9080962"
"","Total Imports","982705"
"","Trade Balance","8098257"
"Mauritania","Total Exports","7839970"
"","Total Imports","83570"
"","Trade Balance","7756400"
"Gabon","Total Exports","8432116"
"","Total Imports","940786"
"","Trade Balance","7491330"
"New Caledonia","Total Exports","7284894"
"","Total Imports","77838"
"","Trade Balance","7207056"
"Azerbaijan","Total Exports","6836754"
"","Total Imports","96702"
"","Trade Balance","6740052"
"Cayman Islands","Total Exports","6790197"
"","Total Imports","155047"
"","Trade Balance","6635150"
"Afghanistan","Total Exports","7360419"
"","Total Imports","1019875"
"","Trade Balance","6340544"
"Tajikistan","Total Exports","6028994"
"","Total Imports","9945"
"","Trade Balance","6019049"
"Saint Lucia","Total Exports","5401084"
"","Total Imports","159755"
"","Trade Balance","5241329"
"Mali","Total Exports","5075253"
"","Total Imports","179745"
"","Trade Balance","4895508"
"Namibia","Total Exports","4611151"
"","Total Imports","205467"
"","Trade Balance","4405684"
"Senegal","Total Exports","5369903"
"","Total Imports","1161859"
"","Trade Balance","4208044"
"Burkina Faso","Total Exports","4242691"
"","Total Imports","110051"
"","Trade Balance","4132640"
"Bahrain","Total Exports","12366725"
"","Total Imports","8344549"
"","Trade Balance","4022176"
"Sierra Leone","Total Exports","4455087"
"","Total Imports","555063"
"","Trade Balance","3900024"
"Dominica","Total Exports","3857380"
"","Total Imports","278308"
"","Trade Balance","3579072"
"Yemen","Total Exports","3572612"
"","Total Imports","77288"
