"Title","Canadian trade balances"
"Products","Total for all products"
"Origin","Ontario"
"Destination","All countries (detailed)"
"Period","Specific year(s): 2015"
"Units","Value in  canadian dollars"

"","","2015"
"United States","Total Exports","194157538322"
"","Total Imports","182267394373"
"","Trade Balance","11890143949"
"United Kingdom","Total Exports","12814810225"
"","Total Imports","4346382906"
"","Trade Balance","8468427319"
"Hong Kong","Total Exports","2732218559"
"","Total Imports","173663447"
"","Trade Balance","2558555112"
"Norway","Total Exports","1483087087"
"","Total Imports","201021068"
"","Trade Balance","1282066019"
"United Arab Emirates","Total Exports","670631294"
"","Total Imports","51496418"
"","Trade Balance","619134876"
"Saudi Arabia","Total Exports","609631678"
"","Total Imports","15150328"
"","Trade Balance","594481350"
"Botswana","Total Exports","409245746"
"","Total Imports","1938526"
"","Trade Balance","407307220"
"Singapore","Total Exports","654173330"
"","Total Imports","467629098"
"","Trade Balance","186544232"
"Cuba","Total Exports","147130733"
"","Total Imports","25753165"
"","Trade Balance","121377568"
"Nigeria","Total Exports","102801352"
"","Total Imports","5863739"
"","Trade Balance","96937613"
"Netherlands","Total Exports","966329243"
"","Total Imports","888502942"
"","Trade Balance","77826301"
"Kuwait","Total Exports","66517176"
"","Total Imports","627834"
"","Trade Balance","65889342"
"Ghana","Total Exports","63708920"
"","Total Imports","6929457"
"","Trade Balance","56779463"
"Algeria","Total Exports","54081273"
"","Total Imports","1207137"
"","Trade Balance","52874136"
"Luxembourg","Total Exports","103596317"
"","Total Imports","59206223"
"","Trade Balance","44390094"
"Qatar","Total Exports","72141016"
"","Total Imports","27791424"
"","Trade Balance","44349592"
"Venezuela","Total Exports","46849371"
"","Total Imports","3936421"
"","Trade Balance","42912950"
"Iraq","Total Exports","39221082"
"","Total Imports","251778"
"","Trade Balance","38969304"
"Panama","Total Exports","38949051"
"","Total Imports","8429163"
"","Trade Balance","30519888"
"Lebanon","Total Exports","40303120"
"","Total Imports","10513097"
"","Trade Balance","29790023"
"Rwanda","Total Exports","28717205"
"","Total Imports","367028"
"","Trade Balance","28350177"
"Zambia (Zambi)","Total Exports","29148371"
"","Total Imports","1080538"
"","Trade Balance","28067833"
"New Caledonia","Total Exports","25573672"
"","Total Imports","305833"
"","Trade Balance","25267839"
"Trinidad and Tobago","Total Exports","49686934"
"","Total Imports","25721723"
"","Trade Balance","23965211"
"Benin","Total Exports","23714507"
"","Total Imports","11010"
"","Trade Balance","23703497"
"Jamaica","Total Exports","51621852"
"","Total Imports","29441391"
"","Trade Balance","22180461"
"Bermuda","Total Exports","20116235"
"","Total Imports","692105"
"","Trade Balance","19424130"
"Libya","Total Exports","15406485"
"","Total Imports","172809"
"","Trade Balance","15233676"
"Gabon","Total Exports","15080085"
"","Total Imports","1037076"
"","Trade Balance","14043009"
"Tanzania","Total Exports","20647522"
"","Total Imports","6777643"
"","Trade Balance","13869879"
"Macau (Macao)","Total Exports","16039370"
"","Total Imports","3019604"
"","Trade Balance","13019766"
"Kenya","Total Exports","32394708"
"","Total Imports","19860208"
"","Trade Balance","12534500"
"Mali","Total Exports","12497785"
"","Total Imports","80198"
"","Trade Balance","12417587"
"Angola","Total Exports","13440107"
"","Total Imports","1149886"
"","Trade Balance","12290221"
"Kyrgyzstan","Total Exports","10598232"
"","Total Imports","188093"
"","Trade Balance","10410139"
"Oman (formerly Muscat and Oman)","Total Exports","35617283"
"","Total Imports","25209325"
"","Trade Balance","10407958"
"Barbados","Total Exports","18044167"
"","Total Imports","8023669"
"","Trade Balance","10020498"
"Senegal","Total Exports","8298325"
"","Total Imports","1110001"
"","Trade Balance","7188324"
"Greenland","Total Exports","7331204"
"","Total Imports","170707"
"","Trade Balance","7160497"
"Uganda","Total Exports","9847477"
"","Total Imports","2872328"
"","Trade Balance","6975149"
"Congo (formerly Brazzaville)","Total Exports","8394212"
"","Total Imports","1768232"
"","Trade Balance","6625980"
"Burkina Faso","Total Exports","6433782"
"","Total Imports","52817"
"","Trade Balance","6380965"
"Mozambique","Total Exports","6732688"
"","Total Imports","521628"
"","Trade Balance","6211060"
"Saint Vincent and the Grenadines","Total Exports","6238407"
"","Total Imports","50489"
"","Trade Balance","6187918"
"Tajikistan","Total Exports","5972584"
"","Total Imports","3329"
"","Trade Balance","5969255"
"Cayman Islands","Total Exports","5849639"
"","Total Imports","212526"
"","Trade Balance","5637113"
"U.S. Minor Outlying Islands","Total Exports","7261164"
"","Total Imports","1738483"
"","Trade Balance","5522681"
"Sierra Leone","Total Exports","5619502"
"","Total Imports","985837"
"","Trade Balance","4633665"
"Azerbaijan","Total Exports","4683227"
"","Total Imports","267802"
"","Trade Balance","4415425"
"Guinea","Total Exports","4528336"
"","Total Imports","128547"
"","Trade Balance","4399789"
"Paraguay","Total Exports","8684144"
"","Total Imports","4516112"
"","Trade Balance","4168032"
"Turkmenistan","Total Exports","5084872"
"","Total Imports","1057286"
"","Trade Balance","4027586"
"American Samoa","Total Exports","4024853"
"","Total Imports","89747"
"","Trade Balance","3935106"
"Liberia","Total Exports","6708586"
"","Total Imports","2878630"
"","Trade Balance","3829956"
"Togo","Total Exports","3859116"
"","Total Imports","45341"
"","Trade Balance","3813775"
"Saint Lucia","Total Exports","3749829"
"","Total Imports","124257"
"","Trade Balance","3625572"
"Cameroon","Total Exports","5841849"
"","Total Imports","2296223"
"","Trade Balance","3545626"
"Aruba","Total Exports","3434389"
"","Total Imports","102359"
"","Trade Balance","3332030"
"Curacao","Total Exports","3953441"
"","Total Imports","788571"
"","Trade Balance","3164870"
"Maldives","Total Exports","3447534"
"","Total Imports","502447"
"","Trade Balance","2945087"
"Fiji","Total Exports","6253147"
"","Total Imports","3348624"
"","Trade Balance","2904523"
"Saint Kitts and Nevis","Total Exports","4236526"
"","Total Imports","1561019"
"","Trade Balance","2675507"
"Papua New Guinea","Total Exports","2979077"
"","Total Imports","469131"
"","Trade Balance","2509946"
"Sint Maarten","Total Exports","2239569"
"","Total Imports","24287"
"","Trade Balance","2215282"
"Antigua and Barbuda","Total Exports","2261554"
