"Title","Canadian trade balances"
"Products","Total for all products"
"Origin","Ontario"
"Destination","All countries (detailed)"
"Period","Specific year(s): 2016"
"Units","Value in  canadian dollars"

"","","2016"
"United States","Total Exports","206355497707"
"","Total Imports","189050198967"
"","Trade Balance","17305298740"
"United Kingdom","Total Exports","14004066268"
"","Total Imports","2782292351"
"","Trade Balance","11221773917"
"Hong Kong","Total Exports","1232192304"
"","Total Imports","151594877"
"","Trade Balance","1080597427"
"Norway","Total Exports","1135165759"
"","Total Imports","212546761"
"","Trade Balance","922618998"
"Saudi Arabia","Total Exports","820076669"
"","Total Imports","21230661"
"","Trade Balance","798846008"
"United Arab Emirates","Total Exports","493217346"
"","Total Imports","55983401"
"","Trade Balance","437233945"
"Botswana","Total Exports","371293348"
"","Total Imports","1917928"
"","Trade Balance","369375420"
"Cuba","Total Exports","132334447"
"","Total Imports","21845683"
"","Trade Balance","110488764"
"Australia","Total Exports","656246329"
"","Total Imports","548821925"
"","Trade Balance","107424404"
"Ghana","Total Exports","95956919"
"","Total Imports","7820524"
"","Trade Balance","88136395"
"Singapore","Total Exports","549351797"
"","Total Imports","464779226"
"","Trade Balance","84572571"
"Nigeria","Total Exports","82413542"
"","Total Imports","5638098"
"","Trade Balance","76775444"
"Lebanon","Total Exports","61981956"
"","Total Imports","8691419"
"","Trade Balance","53290537"
"Kuwait","Total Exports","53909195"
"","Total Imports","691380"
"","Trade Balance","53217815"
"Iraq","Total Exports","47723708"
"","Total Imports","598996"
"","Trade Balance","47124712"
"Tanzania","Total Exports","53006993"
"","Total Imports","8470875"
"","Trade Balance","44536118"
"Panama","Total Exports","39439107"
"","Total Imports","4906973"
"","Trade Balance","34532134"
"Algeria","Total Exports","32751688"
"","Total Imports","1339074"
"","Trade Balance","31412614"
"Qatar","Total Exports","62709826"
"","Total Imports","32787910"
"","Trade Balance","29921916"
"Venezuela","Total Exports","32972273"
"","Total Imports","3419563"
"","Trade Balance","29552710"
"Bulgaria","Total Exports","100097140"
"","Total Imports","70780138"
"","Trade Balance","29317002"
"Jamaica","Total Exports","58585433"
"","Total Imports","29984123"
"","Trade Balance","28601310"
"Bermuda","Total Exports","28205250"
"","Total Imports","3252439"
"","Trade Balance","24952811"
"Luxembourg","Total Exports","89531652"
"","Total Imports","68184563"
"","Trade Balance","21347089"
"New Caledonia","Total Exports","20947490"
"","Total Imports","158027"
"","Trade Balance","20789463"
"Trinidad and Tobago","Total Exports","50940062"
"","Total Imports","33086854"
"","Trade Balance","17853208"
"Ethiopia","Total Exports","35401115"
"","Total Imports","18383696"
"","Trade Balance","17017419"
"Oman (formerly Muscat and Oman)","Total Exports","35054276"
"","Total Imports","19748502"
"","Trade Balance","15305774"
"Libya","Total Exports","12773237"
"","Total Imports","43968"
"","Trade Balance","12729269"
"Benin","Total Exports","11668736"
"","Total Imports","182054"
"","Trade Balance","11486682"
"Zambia (Zambi)","Total Exports","11714837"
"","Total Imports","838880"
"","Trade Balance","10875957"
"Mali","Total Exports","11267065"
"","Total Imports","411139"
"","Trade Balance","10855926"
"Barbados","Total Exports","18163333"
"","Total Imports","8149161"
"","Trade Balance","10014172"
"Kyrgyzstan","Total Exports","9821917"
"","Total Imports","79965"
"","Trade Balance","9741952"
"Angola","Total Exports","12100019"
"","Total Imports","3636336"
"","Trade Balance","8463683"
"Uganda","Total Exports","10778961"
"","Total Imports","2872749"
"","Trade Balance","7906212"
"Cayman Islands","Total Exports","7469493"
"","Total Imports","173976"
"","Trade Balance","7295517"
"Aruba","Total Exports","7264814"
"","Total Imports","44489"
"","Trade Balance","7220325"
"Azerbaijan","Total Exports","7105429"
"","Total Imports","159649"
"","Trade Balance","6945780"
"Kenya","Total Exports","25321499"
"","Total Imports","18417382"
"","Trade Balance","6904117"
"Iran","Total Exports","24344657"
"","Total Imports","17733660"
"","Trade Balance","6610997"
"Mozambique","Total Exports","8860562"
"","Total Imports","2342714"
"","Trade Balance","6517848"
"Liberia","Total Exports","7088541"
"","Total Imports","1110296"
"","Trade Balance","5978245"
"Macau (Macao)","Total Exports","8911777"
"","Total Imports","3010453"
"","Trade Balance","5901324"
"Burkina Faso","Total Exports","5632926"
"","Total Imports","38558"
"","Trade Balance","5594368"
"Mauritania","Total Exports","5631766"
"","Total Imports","414381"
"","Trade Balance","5217385"
"Sudan","Total Exports","5265258"
"","Total Imports","106086"
"","Trade Balance","5159172"
"Bahamas","Total Exports","17630142"
"","Total Imports","12986431"
"","Trade Balance","4643711"
"U.S. Minor Outlying Islands","Total Exports","6153534"
"","Total Imports","1572279"
"","Trade Balance","4581255"
"Papua New Guinea","Total Exports","5191616"
"","Total Imports","1013432"
"","Trade Balance","4178184"
"Senegal","Total Exports","4842327"
"","Total Imports","785013"
"","Trade Balance","4057314"
"Mongolia","Total Exports","3955326"
"","Total Imports","235878"
"","Trade Balance","3719448"
"Saint Lucia","Total Exports","3887064"
"","Total Imports","272382"
"","Trade Balance","3614682"
"Greenland","Total Exports","3527683"
"","Total Imports","11582"
"","Trade Balance","3516101"
"Bahrain","Total Exports","10614611"
"","Total Imports","7206623"
"","Trade Balance","3407988"
"Congo (formerly Brazzaville)","Total Exports","4342873"
"","Total Imports","1040615"
"","Trade Balance","3302258"
"Guinea","Total Exports","3431857"
"","Total Imports","143677"
"","Trade Balance","3288180"
"Togo","Total Exports","3227241"
"","Total Imports","172414"
"","Trade Balance","3054827"
"Antigua and Barbuda","Total Exports","3133367"
"","Total Imports","119510"
"","Trade Balance","3013857"
"Fiji","Total Exports","5943548"
"","Total Imports","2980401"
"","Trade Balance","2963147"
"Saint Vincent and the Grenadines","Total Exports","2788824"
"","Total Imports","87762"
"","Trade Balance","2701062"
"Sierra Leone","Total Exports","4685625"
"","Total Imports","1990325"
"","Trade Balance","2695300"
"Uzbekistan","Total Exports","2603697"
"","Total Imports","96741"
"","Trade Balance","2506956"
"Saint Kitts and Nevis","Total Exports","3407176"
"","Total Imports","1168861"
"","Trade Balance","2238315"
"Sint Maarten","Total Exports","2189529"
"","Total Imports","13693"
"","Trade Balance","2175836"
"Zimbabwe","Total Exports","2731942"
"","Total Imports","711361"
"","Trade Balance","2020581"
"Somalia","Total Exports","2110483"
"","Total Imports","109699"
"","Trade Balance","2000784"
"Brunei Darussalam","Total Exports","2129838"
"","Total Imports","151672"
"","Trade Balance","1978166"
"Curacao","Total Exports","5080032"
"","Total Imports","3133383"
"","Trade Balance","1946649"
"Tajikistan","Total Exports","1917719"
"","Total Imports","3015"
"","Trade Balance","1914704"
"Grenada","Total Exports","3225563"
"","Total Imports","1456045"
"","Trade Balance","1769518"
"Cyprus","Total Exports","4538174"
"","Total Imports","2770064"
"","Trade Balance","1768110"
"Equatorial Guinea","Total Exports","1739610"
"","Total Imports","559"
"","Trade Balance","1739051"
"Gabon","Total Exports","2079863"
"","Total Imports","359818"
"","Trade Balance","1720045"
"Turks and Caicos Islands","Total Exports","1727899"
"","Total Imports","10229"
"","Trade Balance","1717670"
"Swaziland","Total Exports","2682837"
"","Total Imports","988552"
"","Trade Balance","1694285"
"Djibouti","Total Exports","1678888"
"","Total Imports","8711"
"","Trade Balance","1670177"
"Maldives","Total Exports","2735154"
"","Total Imports","1084975"
"","Trade Balance","1650179"
"Dominica","Total Exports","1698418"
"","Total Imports","91171"
"","Trade Balance","1607247"
"Cameroon","Total Exports","4486608"
"","Total Imports","2935987"
"","Trade Balance","1550621"
"Belize","Total Exports","2347540"
"","Total Imports","989155"
"","Trade Balance","1358385"
"Niger","Total Exports","1778023"
"","Total Imports","485702"
"","Trade Balance","1292321"
"Congo (formerly Zaire)","Total Exports","10100334"
"","Total Imports","8828673"
"","Trade Balance","1271661"
"Albania","Total Exports","3684293"
"","Total Imports","2536343"
"","Trade Balance","1147950"
"Christmas Island","Total Exports","1088129"
"","Total Imports","18716"
"","Trade Balance","1069413"
"Anguilla","Total Exports","1056620"
"","Total Imports","9834"
"","Trade Balance","1046786"
"South Sudan","Total Exports","1032145"
