"Title","Canadian trade balances"
"Products","Total for all products"
"Origin","Ontario"
"Destination","All countries (detailed)"
"Period","Specific year(s): 2018"
"Units","Value in  canadian dollars"

"","","2018"
"United Kingdom","Total Exports","12582766028"
"","Total Imports","3083510661"
"","Trade Balance","9499255367"
"United States","Total Exports","197378876354"
"","Total Imports","193532900811"
"","Trade Balance","3845975543"
"Hong Kong","Total Exports","2810532815"
"","Total Imports","167611997"
"","Trade Balance","2642920818"
"Norway","Total Exports","2097232429"
"","Total Imports","217549264"
"","Trade Balance","1879683165"
"Saudi Arabia","Total Exports","1507810822"
"","Total Imports","74695541"
"","Trade Balance","1433115281"
"Botswana","Total Exports","485814374"
"","Total Imports","451975"
"","Trade Balance","485362399"
"United Arab Emirates","Total Exports","371461220"
"","Total Imports","67344128"
"","Trade Balance","304117092"
"Nigeria","Total Exports","123636881"
"","Total Imports","6341256"
"","Trade Balance","117295625"
"Cuba","Total Exports","118078646"
"","Total Imports","31028016"
"","Trade Balance","87050630"
"Ghana","Total Exports","111116719"
"","Total Imports","25031789"
"","Trade Balance","86084930"
"Ethiopia","Total Exports","98564128"
"","Total Imports","21923632"
"","Trade Balance","76640496"
"Panama","Total Exports","74027579"
"","Total Imports","4151449"
"","Trade Balance","69876130"
"Kuwait","Total Exports","64210770"
"","Total Imports","55474"
"","Trade Balance","64155296"
"Iraq","Total Exports","57991664"
"","Total Imports","425799"
"","Trade Balance","57565865"
"Australia","Total Exports","676284969"
"","Total Imports","623495591"
"","Trade Balance","52789378"
"Jamaica","Total Exports","67701293"
"","Total Imports","32769287"
"","Trade Balance","34932006"
"Bermuda","Total Exports","34973608"
"","Total Imports","435421"
"","Trade Balance","34538187"
"Kenya","Total Exports","51750497"
"","Total Imports","22181467"
"","Trade Balance","29569030"
"Lebanon","Total Exports","37603797"
"","Total Imports","10141707"
"","Trade Balance","27462090"
"Libya","Total Exports","24851096"
"","Total Imports","141654"
"","Trade Balance","24709442"
"Bulgaria","Total Exports","106467952"
"","Total Imports","87773011"
"","Trade Balance","18694941"
"Benin","Total Exports","18865584"
"","Total Imports","666387"
"","Trade Balance","18199197"
"New Caledonia","Total Exports","18962314"
"","Total Imports","1847341"
"","Trade Balance","17114973"
"Bahamas","Total Exports","19348482"
"","Total Imports","3057408"
"","Trade Balance","16291074"
"Mongolia","Total Exports","16051258"
"","Total Imports","441060"
"","Trade Balance","15610198"
"Angola","Total Exports","13504173"
"","Total Imports","164456"
"","Trade Balance","13339717"
"Trinidad and Tobago","Total Exports","40647010"
"","Total Imports","28233039"
"","Trade Balance","12413971"
"Paraguay","Total Exports","17162975"
"","Total Imports","5435764"
"","Trade Balance","11727211"
"Mali","Total Exports","11742958"
"","Total Imports","200922"
"","Trade Balance","11542036"
"Papua New Guinea","Total Exports","12325260"
"","Total Imports","1024742"
"","Trade Balance","11300518"
"Algeria","Total Exports","13699462"
"","Total Imports","2762004"
"","Trade Balance","10937458"
"Congo (formerly Zaire)","Total Exports","10732539"
"","Total Imports","477809"
"","Trade Balance","10254730"
"Mauritania","Total Exports","10440719"
"","Total Imports","201050"
"","Trade Balance","10239669"
"Uganda","Total Exports","12996504"
"","Total Imports","3020874"
"","Trade Balance","9975630"
"South Sudan","Total Exports","9275524"
"","Total Imports","22613"
"","Trade Balance","9252911"
"Aruba","Total Exports","9253156"
"","Total Imports","138987"
"","Trade Balance","9114169"
"Congo (formerly Brazzaville)","Total Exports","9692325"
"","Total Imports","1058952"
"","Trade Balance","8633373"
"Barbados","Total Exports","15092388"
"","Total Imports","7055554"
"","Trade Balance","8036834"
"Albania","Total Exports","12677083"
"","Total Imports","4724975"
"","Trade Balance","7952108"
"Zambia (Zambi)","Total Exports","8598639"
"","Total Imports","1187420"
"","Trade Balance","7411219"
"Kyrgyzstan","Total Exports","7362442"
"","Total Imports","95545"
"","Trade Balance","7266897"
"Cayman Islands","Total Exports","6838785"
"","Total Imports","103096"
"","Trade Balance","6735689"
"Venezuela","Total Exports","12712168"
"","Total Imports","6064026"
"","Trade Balance","6648142"
"Togo","Total Exports","6548320"
"","Total Imports","163637"
"","Trade Balance","6384683"
"Somalia","Total Exports","6518572"
"","Total Imports","187042"
"","Trade Balance","6331530"
"U.S. Minor Outlying Islands","Total Exports","7491557"
"","Total Imports","1521944"
"","Trade Balance","5969613"
"Macau (Macao)","Total Exports","8744519"
"","Total Imports","3107524"
"","Trade Balance","5636995"
"Syria","Total Exports","5633449"
"","Total Imports","737576"
"","Trade Balance","4895873"
"Senegal","Total Exports","5950651"
"","Total Imports","1522369"
"","Trade Balance","4428282"
"Azerbaijan","Total Exports","4956007"
"","Total Imports","730791"
"","Trade Balance","4225216"
"Burkina Faso","Total Exports","4289536"
"","Total Imports","210174"
"","Trade Balance","4079362"
"Tajikistan","Total Exports","3705536"
"","Total Imports","21506"
"","Trade Balance","3684030"
"Maldives","Total Exports","4200618"
"","Total Imports","596800"
"","Trade Balance","3603818"
"Greenland","Total Exports","3666683"
"","Total Imports","78377"
"","Trade Balance","3588306"
"Tanzania","Total Exports","13931862"
"","Total Imports","10544946"
"","Trade Balance","3386916"
"Suriname","Total Exports","3544170"
"","Total Imports","272647"
"","Trade Balance","3271523"
"Uzbekistan","Total Exports","3346073"
"","Total Imports","300458"
"","Trade Balance","3045615"
"Guinea","Total Exports","3098100"
"","Total Imports","120657"
"","Trade Balance","2977443"
"Sudan","Total Exports","3386821"
"","Total Imports","427505"
"","Trade Balance","2959316"
"Dominica","Total Exports","2853885"
"","Total Imports","114546"
"","Trade Balance","2739339"
"Antigua and Barbuda","Total Exports","2742745"
"","Total Imports","59031"
"","Trade Balance","2683714"
"Curacao","Total Exports","2577060"
"","Total Imports","15998"
"","Trade Balance","2561062"
"British Virgin Islands","Total Exports","2764527"
"","Total Imports","306235"
"","Trade Balance","2458292"
"Gabon","Total Exports","2712810"
"","Total Imports","372529"
"","Trade Balance","2340281"
"Namibia","Total Exports","4699736"
"","Total Imports","2360265"
"","Trade Balance","2339471"
"Brunei Darussalam","Total Exports","2349852"
"","Total Imports","21178"
"","Trade Balance","2328674"
"Saint Lucia","Total Exports","2367185"
"","Total Imports","115811"
"","Trade Balance","2251374"
"Saint Kitts and Nevis","Total Exports","3319583"
"","Total Imports","1215960"
"","Trade Balance","2103623"
"Cyprus","Total Exports","4271191"
"","Total Imports","2191898"
"","Trade Balance","2079293"
"Sint Maarten","Total Exports","2014437"
"","Total Imports","8288"
"","Trade Balance","2006149"
"Malawi","Total Exports","2334219"
"","Total Imports","417350"
"","Trade Balance","1916869"
"Zimbabwe","Total Exports","2482902"
"","Total Imports","649584"
"","Trade Balance","1833318"
"French Polynesia","Total Exports","1957383"
"","Total Imports","204138"
"","Trade Balance","1753245"
"Grenada","Total Exports","2795915"
"","Total Imports","1209665"
"","Trade Balance","1586250"
"Saint Vincent and the Grenadines","Total Exports","1461197"
"","Total Imports","80279"
"","Trade Balance","1380918"
"Kiribati","Total Exports","1229738"
"","Total Imports","12265"
"","Trade Balance","1217473"
"Burundi","Total Exports","1408503"
"","Total Imports","211920"
"","Trade Balance","1196583"
"Djibouti","Total Exports","1179398"
"","Total Imports","29418"
"","Trade Balance","1149980"
"Equatorial Guinea","Total Exports","1124773"
"","Total Imports","250"
"","Trade Balance","1124523"
"Turks and Caicos Islands","Total Exports","1107180"
"","Total Imports","4143"
"","Trade Balance","1103037"
"Belize","Total Exports","2287919"
"","Total Imports","1197178"
"","Trade Balance","1090741"
