"Title","Canadian trade balances"
"Products","Total for all products"
"Origin","Ontario"
"Destination","All countries (detailed)"
"Period","Specific year(s): 2020"
"Units","Value in  canadian dollars"

"","","2020"
"United Kingdom","Total Exports","16600267094"
"","Total Imports","3117025331"
"","Trade Balance","13483241763"
"United States","Total Exports","180429318253"
"","Total Imports","176876853083"
"","Trade Balance","3552465170"
"Norway","Total Exports","2113285116"
"","Total Imports","204564526"
"","Trade Balance","1908720590"
"Saudi Arabia","Total Exports","1340293468"
"","Total Imports","85663889"
"","Trade Balance","1254629579"
"Hong Kong","Total Exports","950614884"
"","Total Imports","333601792"
"","Trade Balance","617013092"
"United Arab Emirates","Total Exports","343089942"
"","Total Imports","95489926"
"","Trade Balance","247600016"
"Netherlands","Total Exports","1383600463"
"","Total Imports","1251825346"
"","Trade Balance","131775117"
"Nigeria","Total Exports","130645370"
"","Total Imports","9404653"
"","Trade Balance","121240717"
"Ethiopia","Total Exports","148088510"
"","Total Imports","27125186"
"","Trade Balance","120963324"
"Angola","Total Exports","110873746"
"","Total Imports","34268"
"","Trade Balance","110839478"
"Bulgaria","Total Exports","202683500"
"","Total Imports","113795173"
"","Trade Balance","88888327"
"Bermuda","Total Exports","56349430"
"","Total Imports","194621"
"","Trade Balance","56154809"
"Cuba","Total Exports","69244866"
"","Total Imports","17629872"
"","Trade Balance","51614994"
"Bahamas","Total Exports","54598220"
"","Total Imports","5824982"
"","Trade Balance","48773238"
"Iraq","Total Exports","41252331"
"","Total Imports","471311"
"","Trade Balance","40781020"
"Ghana","Total Exports","92097222"
"","Total Imports","51663302"
"","Trade Balance","40433920"
"Kenya","Total Exports","49792856"
"","Total Imports","20363090"
"","Trade Balance","29429766"
"Albania","Total Exports","33926633"
"","Total Imports","4521484"
"","Trade Balance","29405149"
"Panama","Total Exports","31398321"
"","Total Imports","4106397"
"","Trade Balance","27291924"
"Jamaica","Total Exports","64415479"
"","Total Imports","41818540"
"","Trade Balance","22596939"
"Libya","Total Exports","22557965"
"","Total Imports","49771"
"","Trade Balance","22508194"
"Kuwait","Total Exports","20817175"
"","Total Imports","224318"
"","Trade Balance","20592857"
"Mali","Total Exports","20034329"
"","Total Imports","402860"
"","Trade Balance","19631469"
"Iran","Total Exports","36730059"
"","Total Imports","18791716"
"","Trade Balance","17938343"
"Uganda","Total Exports","19511355"
"","Total Imports","5426593"
"","Trade Balance","14084762"
"Benin","Total Exports","12431709"
"","Total Imports","320617"
"","Trade Balance","12111092"
"Congo (formerly Zaire)","Total Exports","11817283"
"","Total Imports","748279"
"","Trade Balance","11069004"
"Mongolia","Total Exports","11095186"
"","Total Imports","578290"
"","Trade Balance","10516896"
"Senegal","Total Exports","12978417"
"","Total Imports","3251126"
"","Trade Balance","9727291"
"Trinidad and Tobago","Total Exports","35906618"
"","Total Imports","26923402"
"","Trade Balance","8983216"
"Lebanon","Total Exports","21773918"
"","Total Imports","12871792"
