"Title","Canadian trade balances"
"Products","Total for all products"
"Origin","Ontario"
"Destination","All countries (detailed)"
"Period","Specific year(s): 2021"
"Units","Value in  canadian dollars"

"","","2021"
"United Kingdom","Total Exports","13551483209"
"","Total Imports","2993253403"
"","Trade Balance","10558229806"
"Norway","Total Exports","2812587899"
"","Total Imports","289982989"
"","Trade Balance","2522604910"
"Hong Kong","Total Exports","2495523610"
"","Total Imports","209403026"
"","Trade Balance","2286120584"
"Saudi Arabia","Total Exports","1956592912"
"","Total Imports","150221777"
"","Trade Balance","1806371135"
"United Arab Emirates","Total Exports","434772569"
"","Total Imports","203714797"
"","Trade Balance","231057772"
"Nigeria","Total Exports","153171351"
"","Total Imports","7573113"
"","Trade Balance","145598238"
"Bahamas","Total Exports","135428865"
"","Total Imports","7739299"
"","Trade Balance","127689566"
"Ghana","Total Exports","125270260"
"","Total Imports","51123798"
"","Trade Balance","74146462"
"Cuba","Total Exports","77769233"
"","Total Imports","25371617"
"","Trade Balance","52397616"
"Bulgaria","Total Exports","148777313"
"","Total Imports","97531344"
"","Trade Balance","51245969"
"Albania","Total Exports","51606011"
"","Total Imports","5276433"
"","Trade Balance","46329578"
"Cayman Islands","Total Exports","41106184"
"","Total Imports","186633"
"","Trade Balance","40919551"
"Angola","Total Exports","40971964"
"","Total Imports","80276"
"","Trade Balance","40891688"
"Panama","Total Exports","45910103"
"","Total Imports","5824133"
"","Trade Balance","40085970"
"Ethiopia","Total Exports","69722802"
"","Total Imports","30508777"
"","Trade Balance","39214025"
"Lebanon","Total Exports","49679187"
"","Total Imports","11217098"
"","Trade Balance","38462089"
"Iraq","Total Exports","37783537"
"","Total Imports","1018397"
"","Trade Balance","36765140"
"Kuwait","Total Exports","36989221"
"","Total Imports","1177428"
"","Trade Balance","35811793"
"Tanzania","Total Exports","47365222"
"","Total Imports","20057685"
"","Trade Balance","27307537"
"Libya","Total Exports","25946928"
"","Total Imports","7985"
"","Trade Balance","25938943"
"Mali","Total Exports","23387522"
"","Total Imports","87827"
"","Trade Balance","23299695"
"U.S. Minor Outlying Islands","Total Exports","24143260"
"","Total Imports","1217199"
"","Trade Balance","22926061"
"Jamaica","Total Exports","71736422"
"","Total Imports","49048634"
"","Trade Balance","22687788"
"Bermuda","Total Exports","20540773"
"","Total Imports","253878"
"","Trade Balance","20286895"
"Saint Vincent and the Grenadines","Total Exports","18555811"
"","Total Imports","33885"
"","Trade Balance","18521926"
"Benin","Total Exports","16302346"
"","Total Imports","305084"
"","Trade Balance","15997262"
"Saint Lucia","Total Exports","12414347"
"","Total Imports","316298"
"","Trade Balance","12098049"
"Uganda","Total Exports","19077226"
"","Total Imports","8183311"
"","Trade Balance","10893915"
"Barbados","Total Exports","17203748"
"","Total Imports","6531511"
"","Trade Balance","10672237"
"Congo (formerly Brazzaville)","Total Exports","12077926"
"","Total Imports","1445348"
"","Trade Balance","10632578"
"Senegal","Total Exports","12240110"
"","Total Imports","1917737"
"","Trade Balance","10322373"
"Venezuela","Total Exports","14312896"
"","Total Imports","4629402"
"","Trade Balance","9683494"
"Togo","Total Exports","9748003"
"","Total Imports","320566"
"","Trade Balance","9427437"
"Algeria","Total Exports","9543956"
"","Total Imports","2461671"
"","Trade Balance","7082285"
"Greenland","Total Exports","6230398"
"","Total Imports","36002"
"","Trade Balance","6194396"
"Sierra Leone","Total Exports","8698287"
"","Total Imports","2545576"
"","Trade Balance","6152711"
"Guinea","Total Exports","5817218"
"","Total Imports","368948"
"","Trade Balance","5448270"
"Mongolia","Total Exports","6353655"
"","Total Imports","1154406"
"","Trade Balance","5199249"
"Burkina Faso","Total Exports","4704603"
"","Total Imports","293045"
"","Trade Balance","4411558"
"Zambia (Zambi)","Total Exports","4999719"
"","Total Imports","1028731"
"","Trade Balance","3970988"
"Djibouti","Total Exports","3816636"
"","Total Imports","131899"
"","Trade Balance","3684737"
"Rwanda","Total Exports","4407918"
"","Total Imports","734896"
"","Trade Balance","3673022"
"Kyrgyzstan","Total Exports","4237240"
"","Total Imports","661433"
"","Trade Balance","3575807"
"Cameroon","Total Exports","9391137"
"","Total Imports","5868728"
"","Trade Balance","3522409"
"Sudan","Total Exports","3746552"
"","Total Imports","393680"
"","Trade Balance","3352872"
"Azerbaijan","Total Exports","3999070"
"","Total Imports","721311"
"","Trade Balance","3277759"
"Antigua and Barbuda","Total Exports","2924155"
"","Total Imports","102402"
"","Trade Balance","2821753"
"Macau (Macao)","Total Exports","7854938"
"","Total Imports","5101718"
"","Trade Balance","2753220"
"Gambia","Total Exports","2963076"
"","Total Imports","358906"
"","Trade Balance","2604170"
"Somalia","Total Exports","2703659"
"","Total Imports","128344"
"","Trade Balance","2575315"
"Grenada","Total Exports","3867908"
"","Total Imports","1415331"
"","Trade Balance","2452577"
"Suriname","Total Exports","2834722"
"","Total Imports","652543"
"","Trade Balance","2182179"
"New Caledonia","Total Exports","2646797"
"","Total Imports","482282"
"","Trade Balance","2164515"
"Brunei Darussalam","Total Exports","2073148"
"","Total Imports","45572"
"","Trade Balance","2027576"
"Dominica","Total Exports","2508799"
"","Total Imports","527638"
"","Trade Balance","1981161"
"Eritrea","Total Exports","1797233"
"","Total Imports","10736"
"","Trade Balance","1786497"
"Maldives","Total Exports","2213716"
"","Total Imports","553786"
"","Trade Balance","1659930"
"Aruba","Total Exports","1661788"
"","Total Imports","14769"
"","Trade Balance","1647019"
"Papua New Guinea","Total Exports","2585509"
"","Total Imports","1018597"
"","Trade Balance","1566912"
"Gabon","Total Exports","2833236"
"","Total Imports","1294745"
"","Trade Balance","1538491"
"Saint Kitts and Nevis","Total Exports","3094126"
"","Total Imports","1561583"
"","Trade Balance","1532543"
"Sint Maarten","Total Exports","1532444"
"","Total Imports","19804"
"","Trade Balance","1512640"
"Turks and Caicos Islands","Total Exports","1547536"
"","Total Imports","54614"
"","Trade Balance","1492922"
"Belize","Total Exports","2618768"
"","Total Imports","1132594"
"","Trade Balance","1486174"
"British Virgin Islands","Total Exports","1303876"
"","Total Imports","137693"
"","Trade Balance","1166183"
"Curacao","Total Exports","1185566"
"","Total Imports","38531"
"","Trade Balance","1147035"
"Malawi","Total Exports","1706229"
"","Total Imports","580369"
"","Trade Balance","1125860"
"Equatorial Guinea","Total Exports","943160"
"","Total Imports","17432"
"","Trade Balance","925728"
"French Polynesia","Total Exports","928986"
"","Total Imports","91922"
"","Trade Balance","837064"
"Central African Republic","Total Exports","877886"
"","Total Imports","46675"
"","Trade Balance","831211"
"Niger","Total Exports","1339343"
"","Total Imports","546161"
"","Trade Balance","793182"
"Guam","Total Exports","718475"
"","Total Imports","25789"
"","Trade Balance","692686"
"Yemen","Total Exports","755400"
"","Total Imports","75537"
"","Trade Balance","679863"
"Swaziland","Total Exports","1619606"
"","Total Imports","966143"
"","Trade Balance","653463"
"Saint Pierre-Miquelon","Total Exports","604592"
"","Total Imports","12943"
"","Trade Balance","591649"
"Tonga","Total Exports","631890"
"","Total Imports","114088"
"","Trade Balance","517802"
"Anguilla","Total Exports","612689"
"","Total Imports","139697"
"","Trade Balance","472992"
"Comoros","Total Exports","437281"
"","Total Imports","20521"
"","Trade Balance","416760"
"Tajikistan","Total Exports","407809"
"","Total Imports","74162"
"","Trade Balance","333647"
"Burundi","Total Exports","546957"
"","Total Imports","216432"
"","Trade Balance","330525"
"South Sudan","Total Exports","293766"
"","Total Imports","6379"
"","Trade Balance","287387"
"","Total Exports","270190"
"","Total Imports","69415"
"","Trade Balance","200775"
"Chad","Total Exports","222041"
"","Total Imports","72984"
"","Trade Balance","149057"
"","Total Exports","148323"
"","Total Imports",""
"","Trade Balance","148323"
"Bhutan","Total Exports","160242"
"","Total Imports","23054"
"","Trade Balance","137188"
"Bonaire, Sint Eustatius and Saba","Total Exports","67124"
"","Total Imports","988"
"","Trade Balance","66136"
"Falkland Islands","Total Exports","72582"
"","Total Imports","7977"
"","Trade Balance","64605"
"Gibraltar","Total Exports","46681"
"","Total Imports","4635"
"","Trade Balance","42046"
"Bouvet Island","Total Exports","21814"
"","Total Imports","236"
"","Trade Balance","21578"
"Vanuatu (New Hebrides)","Total Exports","28615"
"","Total Imports","16606"
"","Trade Balance","12009"
"Guinea-Bissau","Total Exports","11922"
"","Total Imports","3582"
"","Trade Balance","8340"
"French Southern Territories","Total Exports","11595"
"","Total Imports","4064"
"","Trade Balance","7531"
