"Title","Canadian trade balances"
"Products","Total for all products"
"Origin","Ontario"
"Destination","All countries (detailed)"
"Period","Specific year(s): 2023"
"Units","Value in  canadian dollars"

"","","2023"
"United States","Total Exports","251421637491"
"","Total Imports","241241655188"
"","Trade Balance","10179982303"
"United Kingdom","Total Exports","10674987209"
"","Total Imports","3151747832"
"","Trade Balance","7523239377"
"Hong Kong","Total Exports","3991503934"
"","Total Imports","213625552"
"","Trade Balance","3777878382"
"Norway","Total Exports","2748287012"
"","Total Imports","278995896"
"","Trade Balance","2469291116"
"Saudi Arabia","Total Exports","1803874376"
"","Total Imports","37924163"
"","Trade Balance","1765950213"
"United Arab Emirates","Total Exports","734275047"
"","Total Imports","260749919"
"","Trade Balance","473525128"
"Ukraine","Total Exports","429047795"
"","Total Imports","60704387"
"","Trade Balance","368343408"
"Iraq","Total Exports","109404998"
"","Total Imports","523031"
"","Trade Balance","108881967"
"Nigeria","Total Exports","112197707"
"","Total Imports","17420338"
"","Trade Balance","94777369"
"Panama","Total Exports","72387121"
"","Total Imports","8194810"
"","Trade Balance","64192311"
"Cuba","Total Exports","92925391"
"","Total Imports","32796610"
"","Trade Balance","60128781"
"Albania","Total Exports","61508928"
"","Total Imports","11733953"
"","Trade Balance","49774975"
"Ghana","Total Exports","89433147"
"","Total Imports","47659007"
"","Trade Balance","41774140"
"Cyprus","Total Exports","51212471"
"","Total Imports","10422505"
"","Trade Balance","40789966"
"U.S. Minor Outlying Islands","Total Exports","42131288"
"","Total Imports","2202227"
"","Trade Balance","39929061"
"Kuwait","Total Exports","32348777"
"","Total Imports","360560"
"","Trade Balance","31988217"
"Bermuda","Total Exports","30342915"
"","Total Imports","239940"
"","Trade Balance","30102975"
"Libya","Total Exports","29065169"
"","Total Imports","55556"
"","Trade Balance","29009613"
"Angola","Total Exports","27927532"
"","Total Imports","115342"
"","Trade Balance","27812190"
"Jamaica","Total Exports","83984315"
"","Total Imports","60453318"
"","Trade Balance","23530997"
"Togo","Total Exports","20638866"
"","Total Imports","976469"
"","Trade Balance","19662397"
"Georgia","Total Exports","42565739"
"","Total Imports","24363526"
"","Trade Balance","18202213"
"Mongolia","Total Exports","16390011"
"","Total Imports","389431"
"","Trade Balance","16000580"
"Bahamas","Total Exports","24344307"
"","Total Imports","8966674"
"","Trade Balance","15377633"
"Oman (formerly Muscat and Oman)","Total Exports","32250219"
"","Total Imports","18346524"
"","Trade Balance","13903695"
"Benin","Total Exports","14350016"
"","Total Imports","985458"
"","Trade Balance","13364558"
"Saint Vincent and the Grenadines","Total Exports","12809822"
"","Total Imports","61061"
"","Trade Balance","12748761"
"Cayman Islands","Total Exports","12807109"
"","Total Imports","229710"
"","Trade Balance","12577399"
"Uganda","Total Exports","16095029"
"","Total Imports","3833019"
"","Trade Balance","12262010"
"Papua New Guinea","Total Exports","11971885"
"","Total Imports","405285"
"","Trade Balance","11566600"
"Venezuela","Total Exports","16777591"
"","Total Imports","5345452"
"","Trade Balance","11432139"
"Saint Lucia","Total Exports","10808288"
"","Total Imports","623803"
"","Trade Balance","10184485"
"Congo (formerly Brazzaville)","Total Exports","9585120"
"","Total Imports","510872"
"","Trade Balance","9074248"
"Congo (formerly Zaire)","Total Exports","10470476"
"","Total Imports","1926851"
"","Trade Balance","8543625"
"Bonaire, Sint Eustatius and Saba","Total Exports","8518173"
"","Total Imports","327"
"","Trade Balance","8517846"
"Sudan","Total Exports","8667422"
"","Total Imports","191468"
"","Trade Balance","8475954"
"Trinidad and Tobago","Total Exports","53494247"
"","Total Imports","45037471"
"","Trade Balance","8456776"
"Barbados","Total Exports","20173523"
"","Total Imports","11987934"
"","Trade Balance","8185589"
"Guinea","Total Exports","7530016"
"","Total Imports","196064"
"","Trade Balance","7333952"
"Tanzania","Total Exports","24059369"
"","Total Imports","16920998"
"","Trade Balance","7138371"
"Mali","Total Exports","7340606"
"","Total Imports","681589"
"","Trade Balance","6659017"
"New Caledonia","Total Exports","6856052"
"","Total Imports","264875"
"","Trade Balance","6591177"
"Sierra Leone","Total Exports","7535088"
"","Total Imports","1163824"
"","Trade Balance","6371264"
"Burkina Faso","Total Exports","6499643"
