"Title","Canadian trade balances"
"Products","Total for all products"
"Origin","Prince Edward Island"
"Destination","All countries (detailed)"
"Period","Specific year(s): 1990"
"Units","Value in  canadian dollars"

"","","1990"
"United States","Total Exports","102621067"
"","Total Imports","20597263"
"","Trade Balance","82023804"
"Uruguay","Total Exports","9240544"
"","Total Imports",""
"","Trade Balance","9240544"
"Venezuela","Total Exports","7827460"
"","Total Imports",""
"","Trade Balance","7827460"
"France (incl. Monaco, French Antilles)","Total Exports","7745139"
"","Total Imports","302757"
"","Trade Balance","7442382"
"Trinidad and Tobago","Total Exports","5620922"
"","Total Imports",""
"","Trade Balance","5620922"
"Japan","Total Exports","5623798"
"","Total Imports","149882"
"","Trade Balance","5473916"
"Italy (incl. Vatican City State)","Total Exports","3745579"
"","Total Imports","91348"
"","Trade Balance","3654231"
"Barbados","Total Exports","3188620"
"","Total Imports",""
"","Trade Balance","3188620"
"Denmark","Total Exports","2962979"
"","Total Imports","7105"
"","Trade Balance","2955874"
"Sweden","Total Exports","2122676"
"","Total Imports","137557"
"","Trade Balance","1985119"
"Australia","Total Exports","1734369"
"","Total Imports","23962"
"","Trade Balance","1710407"
"Türkiye","Total Exports","1565094"
"","Total Imports",""
"","Trade Balance","1565094"
"Germany","Total Exports","2410077"
"","Total Imports","916649"
"","Trade Balance","1493428"
"Mexico","Total Exports","1483814"
"","Total Imports","22855"
"","Trade Balance","1460959"
"Belgium","Total Exports","1318902"
"","Total Imports","21318"
"","Trade Balance","1297584"
"Morocco","Total Exports","1263201"
"","Total Imports",""
"","Trade Balance","1263201"
"Spain","Total Exports","866765"
"","Total Imports","10884"
"","Trade Balance","855881"
"Cuba","Total Exports","850000"
"","Total Imports",""
"","Trade Balance","850000"
"Portugal","Total Exports","747351"
"","Total Imports","4917"
"","Trade Balance","742434"
"Algeria","Total Exports","708874"
"","Total Imports",""
"","Trade Balance","708874"
"Greece","Total Exports","643457"
"","Total Imports","882"
"","Trade Balance","642575"
"Congo (formerly Zaire)","Total Exports","580486"
"","Total Imports",""
"","Trade Balance","580486"
"Dominican Republic","Total Exports","565385"
"","Total Imports","407"
"","Trade Balance","564978"
"Ireland","Total Exports","580712"
"","Total Imports","79457"
"","Trade Balance","501255"
"Bermuda","Total Exports","409728"
"","Total Imports",""
"","Trade Balance","409728"
"Norway","Total Exports","406530"
"","Total Imports","6521"
"","Trade Balance","400009"
"Singapore","Total Exports","374404"
"","Total Imports",""
"","Trade Balance","374404"
"U.S.S.R.","Total Exports","287808"
"","Total Imports",""
"","Trade Balance","287808"
"Hong Kong","Total Exports","207913"
"","Total Imports","2759"
"","Trade Balance","205154"
"Netherlands Antilles","Total Exports","194706"
"","Total Imports",""
"","Trade Balance","194706"
"Yugoslavia  - Serbia and Montenegro","Total Exports","189991"
"","Total Imports","2576"
"","Trade Balance","187415"
"Saint Pierre-Miquelon","Total Exports","158444"
"","Total Imports",""
"","Trade Balance","158444"
"Malaysia","Total Exports","154035"
"","Total Imports",""
"","Trade Balance","154035"
"Saudi Arabia","Total Exports","137687"
"","Total Imports",""
"","Trade Balance","137687"
"Hungary","Total Exports","152730"
"","Total Imports","15185"
"","Trade Balance","137545"
"Jamaica","Total Exports","126887"
"","Total Imports","31405"
"","Trade Balance","95482"
"Switzerland","Total Exports","86168"
"","Total Imports",""
"","Trade Balance","86168"
"Korea, South","Total Exports","91798"
"","Total Imports","7643"
"","Trade Balance","84155"
"Taiwan","Total Exports","127889"
"","Total Imports","52830"
"","Trade Balance","75059"
"Finland","Total Exports","73930"
"","Total Imports","1086"
"","Trade Balance","72844"
"Indonesia","Total Exports","68996"
"","Total Imports",""
"","Trade Balance","68996"
"Bahamas","Total Exports","33095"
"","Total Imports",""
"","Trade Balance","33095"
"Thailand","Total Exports","27057"
"","Total Imports",""
"","Trade Balance","27057"
"United Arab Emirates","Total Exports","20851"
"","Total Imports",""
"","Trade Balance","20851"
"Antigua and Barbuda","Total Exports","12485"
"","Total Imports",""
"","Trade Balance","12485"
"Turks and Caicos Islands","Total Exports","8546"
"","Total Imports",""
"","Trade Balance","8546"
"Kuwait","Total Exports","6112"
"","Total Imports",""
"","Trade Balance","6112"
"Oman (formerly Muscat and Oman)","Total Exports","5688"
"","Total Imports",""
"","Trade Balance","5688"
"Egypt","Total Exports","5176"
"","Total Imports",""
"","Trade Balance","5176"
"Bahrain","Total Exports","4879"
"","Total Imports",""
"","Trade Balance","4879"
"Philippines","Total Exports","2356"
"","Total Imports",""
"","Trade Balance","2356"
"Qatar","Total Exports","2346"
"","Total Imports",""
"","Trade Balance","2346"
"India","Total Exports",""
"","Total Imports","18"
"","Trade Balance","-18"
"Honduras","Total Exports",""
"","Total Imports","264"
"","Trade Balance","-264"
"Poland","Total Exports",""
"","Total Imports","577"
"","Trade Balance","-577"
"Chile","Total Exports",""
"","Total Imports","812"
"","Trade Balance","-812"
"Kenya","Total Exports",""
"","Total Imports","1266"
"","Trade Balance","-1266"
"China","Total Exports",""
"","Total Imports","2638"
"","Trade Balance","-2638"
"Brazil","Total Exports","12232"
"","Total Imports","21816"
"","Trade Balance","-9584"
"Guyana","Total Exports",""
"","Total Imports","10589"
"","Trade Balance","-10589"
"United Kingdom","Total Exports","963240"
"","Total Imports","1000984"
"","Trade Balance","-37744"
"Austria","Total Exports",""
"","Total Imports","52896"
"","Trade Balance","-52896"
"Re-Imports (Canada)","Total Exports",""
"","Total Imports","88691"
"","Trade Balance","-88691"
"Netherlands","Total Exports","164229"
"","Total Imports","2175909"
"","Trade Balance","-2011680"
"Total All Countries","Total Exports","170535207"
"","Total Imports","25843708"
"","Trade Balance","144691499"

"Source: Trade Data Online (accessed: April 21, 2025)"



