"Title","Canadian trade balances"
"Products","Total for all products"
"Origin","Prince Edward Island"
"Destination","All countries (detailed)"
"Period","Specific year(s): 1991"
"Units","Value in  canadian dollars"

"","","1991"
"United States","Total Exports","92311271"
"","Total Imports","22236304"
"","Trade Balance","70074967"
"France (incl. Monaco, French Antilles)","Total Exports","15133308"
"","Total Imports","321364"
"","Trade Balance","14811944"
"Algeria","Total Exports","11114655"
"","Total Imports",""
"","Trade Balance","11114655"
"Japan","Total Exports","8931134"
"","Total Imports","261820"
"","Trade Balance","8669314"
"Trinidad and Tobago","Total Exports","7404372"
"","Total Imports","92"
"","Trade Balance","7404280"
"Venezuela","Total Exports","6719347"
"","Total Imports",""
"","Trade Balance","6719347"
"Barbados","Total Exports","3761125"
"","Total Imports","121"
"","Trade Balance","3761004"
"Italy (incl. Vatican City State)","Total Exports","3725605"
"","Total Imports","97066"
"","Trade Balance","3628539"
"Germany","Total Exports","3414324"
"","Total Imports","348816"
"","Trade Balance","3065508"
"Belgium","Total Exports","2034284"
"","Total Imports","16932"
"","Trade Balance","2017352"
"Uruguay","Total Exports","1870897"
"","Total Imports",""
"","Trade Balance","1870897"
"Portugal","Total Exports","1832758"
"","Total Imports","9615"
"","Trade Balance","1823143"
"Sweden","Total Exports","1421053"
"","Total Imports","34571"
"","Trade Balance","1386482"
"Mexico","Total Exports","1440770"
"","Total Imports","64072"
"","Trade Balance","1376698"
"Denmark","Total Exports","1364583"
"","Total Imports","4352"
"","Trade Balance","1360231"
"Dominican Republic","Total Exports","1036499"
"","Total Imports",""
"","Trade Balance","1036499"
"Australia","Total Exports","987344"
"","Total Imports","18666"
"","Trade Balance","968678"
"Singapore","Total Exports","511324"
"","Total Imports",""
"","Trade Balance","511324"
"Brazil","Total Exports","609691"
"","Total Imports","110053"
"","Trade Balance","499638"
"Spain","Total Exports","476949"
"","Total Imports","13417"
"","Trade Balance","463532"
"Greece","Total Exports","447100"
"","Total Imports","2633"
"","Trade Balance","444467"
"Guyana","Total Exports","444968"
"","Total Imports","10194"
"","Trade Balance","434774"
"Luxembourg","Total Exports","362408"
"","Total Imports",""
"","Trade Balance","362408"
"Yugoslavia  - Serbia and Montenegro","Total Exports","321342"
"","Total Imports","12"
"","Trade Balance","321330"
"Cuba","Total Exports","289020"
"","Total Imports",""
"","Trade Balance","289020"
"Indonesia","Total Exports","278467"
"","Total Imports","826"
"","Trade Balance","277641"
"Morocco","Total Exports","262321"
"","Total Imports",""
"","Trade Balance","262321"
"Congo (formerly Zaire)","Total Exports","146259"
"","Total Imports",""
"","Trade Balance","146259"
"Hong Kong","Total Exports","148272"
"","Total Imports","2223"
"","Trade Balance","146049"
"Norway","Total Exports","140342"
"","Total Imports","85"
"","Trade Balance","140257"
"Bermuda","Total Exports","107453"
"","Total Imports",""
"","Trade Balance","107453"
"Netherlands Antilles","Total Exports","100791"
"","Total Imports",""
"","Trade Balance","100791"
"Saint Pierre-Miquelon","Total Exports","87878"
"","Total Imports",""
"","Trade Balance","87878"
"Saudi Arabia","Total Exports","84570"
"","Total Imports",""
"","Trade Balance","84570"
"Saint Lucia","Total Exports","78721"
"","Total Imports",""
"","Trade Balance","78721"
"United Arab Emirates","Total Exports","68507"
"","Total Imports",""
"","Trade Balance","68507"
"Hungary","Total Exports","73621"
"","Total Imports","9590"
"","Trade Balance","64031"
"Egypt","Total Exports","60461"
"","Total Imports","801"
"","Trade Balance","59660"
"Korea, South","Total Exports","59616"
"","Total Imports","6968"
"","Trade Balance","52648"
"Switzerland","Total Exports","56799"
"","Total Imports","5403"
"","Trade Balance","51396"
"Poland","Total Exports","18248"
"","Total Imports",""
"","Trade Balance","18248"
"Iran","Total Exports","15918"
"","Total Imports",""
"","Trade Balance","15918"
"Bahrain","Total Exports","15840"
"","Total Imports",""
"","Trade Balance","15840"
"Haiti","Total Exports","6833"
"","Total Imports",""
"","Trade Balance","6833"
"Philippines","Total Exports","5715"
"","Total Imports","38"
"","Trade Balance","5677"
"Kuwait","Total Exports","5577"
"","Total Imports",""
"","Trade Balance","5577"
"Qatar","Total Exports","4706"
"","Total Imports",""
"","Trade Balance","4706"
"South Africa","Total Exports","4149"
"","Total Imports",""
"","Trade Balance","4149"
"Finland","Total Exports","10500"
"","Total Imports","7963"
"","Trade Balance","2537"
"Oman (formerly Muscat and Oman)","Total Exports","2368"
"","Total Imports",""
"","Trade Balance","2368"
"Bulgaria","Total Exports",""
"","Total Imports","4"
"","Trade Balance","-4"
"Romania","Total Exports",""
"","Total Imports","6"
"","Trade Balance","-6"
"India","Total Exports",""
"","Total Imports","23"
"","Trade Balance","-23"
"Macau (Macao)","Total Exports",""
"","Total Imports","44"
"","Trade Balance","-44"
"Myanmar (Burma)","Total Exports",""
"","Total Imports","110"
"","Trade Balance","-110"
"Thailand","Total Exports",""
"","Total Imports","483"
"","Trade Balance","-483"
"Austria","Total Exports",""
"","Total Imports","552"
"","Trade Balance","-552"
"China","Total Exports",""
"","Total Imports","738"
"","Trade Balance","-738"
"Chile","Total Exports",""
"","Total Imports","2488"
"","Trade Balance","-2488"
"Jamaica","Total Exports","16051"
"","Total Imports","33922"
"","Trade Balance","-17871"
"Taiwan","Total Exports","32567"
"","Total Imports","50703"
"","Trade Balance","-18136"
"United Kingdom","Total Exports","795007"
"","Total Imports","849136"
"","Trade Balance","-54129"
"Colombia","Total Exports",""
"","Total Imports","62296"
"","Trade Balance","-62296"
"Ireland","Total Exports","371914"
"","Total Imports","465132"
"","Trade Balance","-93218"
"Re-Imports (Canada)","Total Exports",""
"","Total Imports","165860"
"","Trade Balance","-165860"
