"Title","Canadian trade balances"
"Products","Total for all products"
"Origin","Prince Edward Island"
"Destination","All countries (detailed)"
"Period","Specific year(s): 1992"
"Units","Value in  canadian dollars"

"","","1992"
"United States","Total Exports","104674512"
"","Total Imports","19846309"
"","Trade Balance","84828203"
"Venezuela","Total Exports","14247583"
"","Total Imports",""
"","Trade Balance","14247583"
"France (incl. Monaco, French Antilles)","Total Exports","9058899"
"","Total Imports","217983"
"","Trade Balance","8840916"
"Japan","Total Exports","6651879"
"","Total Imports","88897"
"","Trade Balance","6562982"
"Trinidad and Tobago","Total Exports","6549638"
"","Total Imports",""
"","Trade Balance","6549638"
"Belgium","Total Exports","5248524"
"","Total Imports","4419"
"","Trade Balance","5244105"
"Italy (incl. Vatican City State)","Total Exports","4957191"
"","Total Imports","90478"
"","Trade Balance","4866713"
"Barbados","Total Exports","2843596"
"","Total Imports","100"
"","Trade Balance","2843496"
"Libya","Total Exports","2786551"
"","Total Imports",""
"","Trade Balance","2786551"
"Portugal","Total Exports","2768083"
"","Total Imports","1186"
"","Trade Balance","2766897"
"Uruguay","Total Exports","2541093"
"","Total Imports","2"
"","Trade Balance","2541091"
"Germany","Total Exports","2497377"
"","Total Imports","205730"
"","Trade Balance","2291647"
"Sweden","Total Exports","1982119"
"","Total Imports","47696"
"","Trade Balance","1934423"
"Australia","Total Exports","1591418"
"","Total Imports","22975"
"","Trade Balance","1568443"
"Norway","Total Exports","1274036"
"","Total Imports","608"
"","Trade Balance","1273428"
"Denmark","Total Exports","1116711"
"","Total Imports","98835"
"","Trade Balance","1017876"
"Spain","Total Exports","846207"
"","Total Imports","9955"
"","Trade Balance","836252"
"Guyana","Total Exports","678300"
"","Total Imports","7427"
"","Trade Balance","670873"
"Algeria","Total Exports","653790"
"","Total Imports",""
"","Trade Balance","653790"
"Greece","Total Exports","561245"
"","Total Imports","1176"
"","Trade Balance","560069"
"Dominican Republic","Total Exports","447171"
"","Total Imports",""
"","Trade Balance","447171"
"Singapore","Total Exports","330225"
"","Total Imports",""
"","Trade Balance","330225"
"United Kingdom","Total Exports","836164"
"","Total Imports","536420"
"","Trade Balance","299744"
"Luxembourg","Total Exports","276330"
"","Total Imports",""
"","Trade Balance","276330"
"Jamaica","Total Exports","295230"
"","Total Imports","25813"
"","Trade Balance","269417"
"Switzerland","Total Exports","246110"
"","Total Imports","27015"
"","Trade Balance","219095"
"Yugoslavia  - Serbia and Montenegro","Total Exports","208275"
"","Total Imports",""
"","Trade Balance","208275"
"Syria","Total Exports","198087"
"","Total Imports",""
"","Trade Balance","198087"
"Hungary","Total Exports","186963"
"","Total Imports","6253"
"","Trade Balance","180710"
"Bermuda","Total Exports","137466"
"","Total Imports",""
"","Trade Balance","137466"
"Taiwan","Total Exports","117227"
"","Total Imports","30114"
"","Trade Balance","87113"
"Saudi Arabia","Total Exports","74774"
"","Total Imports",""
"","Trade Balance","74774"
"Netherlands Antilles","Total Exports","52549"
"","Total Imports",""
"","Trade Balance","52549"
"Argentina","Total Exports","42752"
"","Total Imports",""
"","Trade Balance","42752"
"Colombia","Total Exports","24840"
"","Total Imports",""
"","Trade Balance","24840"
"Egypt","Total Exports","22400"
"","Total Imports","1521"
"","Trade Balance","20879"
"Jordan","Total Exports","20592"
"","Total Imports",""
"","Trade Balance","20592"
"Indonesia","Total Exports","20758"
"","Total Imports","225"
"","Trade Balance","20533"
"Saint Pierre-Miquelon","Total Exports","17430"
"","Total Imports",""
"","Trade Balance","17430"
"New Zealand","Total Exports","15033"
"","Total Imports","192"
"","Trade Balance","14841"
"Kuwait","Total Exports","12143"
"","Total Imports",""
"","Trade Balance","12143"
"United Arab Emirates","Total Exports","11552"
"","Total Imports",""
