"Title","Canadian trade balances"
"Products","Total for all products"
"Origin","Prince Edward Island"
"Destination","All countries (detailed)"
"Period","Specific year(s): 1993"
"Units","Value in  canadian dollars"

"","","1993"
"United States","Total Exports","153120836"
"","Total Imports","22430655"
"","Trade Balance","130690181"
"Venezuela","Total Exports","17907017"
"","Total Imports",""
"","Trade Balance","17907017"
"Uruguay","Total Exports","7518092"
"","Total Imports",""
"","Trade Balance","7518092"
"France (incl. Monaco, French Antilles)","Total Exports","5317233"
"","Total Imports","347889"
"","Trade Balance","4969344"
"Japan","Total Exports","4829697"
"","Total Imports","132434"
"","Trade Balance","4697263"
"Trinidad and Tobago","Total Exports","4654051"
"","Total Imports","959523"
"","Trade Balance","3694528"
"Sweden","Total Exports","2565369"
"","Total Imports","17839"
"","Trade Balance","2547530"
"Germany","Total Exports","2527313"
"","Total Imports","332148"
"","Trade Balance","2195165"
"Denmark","Total Exports","1737260"
"","Total Imports","18226"
"","Trade Balance","1719034"
"Libya","Total Exports","1675599"
"","Total Imports",""
"","Trade Balance","1675599"
"Belgium","Total Exports","1650607"
"","Total Imports","52453"
"","Trade Balance","1598154"
"Barbados","Total Exports","1374701"
"","Total Imports",""
"","Trade Balance","1374701"
"Lithuania","Total Exports","880744"
"","Total Imports",""
"","Trade Balance","880744"
"Portugal","Total Exports","791841"
"","Total Imports","3929"
"","Trade Balance","787912"
"Dominican Republic","Total Exports","770211"
"","Total Imports",""
"","Trade Balance","770211"
"Singapore","Total Exports","722369"
"","Total Imports",""
"","Trade Balance","722369"
"Hungary","Total Exports","435181"
"","Total Imports","16267"
"","Trade Balance","418914"
"Italy (incl. Vatican City State)","Total Exports","497866"
"","Total Imports","103239"
"","Trade Balance","394627"
"Norway","Total Exports","267782"
"","Total Imports","10297"
"","Trade Balance","257485"
"Spain","Total Exports","264600"
"","Total Imports","21741"
"","Trade Balance","242859"
"Mexico","Total Exports","291182"
"","Total Imports","73821"
"","Trade Balance","217361"
"Guyana","Total Exports","188738"
"","Total Imports","11502"
"","Trade Balance","177236"
"Thailand","Total Exports","175725"
"","Total Imports",""
"","Trade Balance","175725"
"Türkiye","Total Exports","170188"
"","Total Imports",""
"","Trade Balance","170188"
"Saint Pierre-Miquelon","Total Exports","135149"
"","Total Imports",""
"","Trade Balance","135149"
"Indonesia","Total Exports","111860"
"","Total Imports","2898"
"","Trade Balance","108962"
"Australia","Total Exports","135197"
"","Total Imports","36939"
"","Trade Balance","98258"
"Finland","Total Exports","95242"
"","Total Imports","815"
"","Trade Balance","94427"
"Taiwan","Total Exports","139404"
"","Total Imports","46654"
"","Trade Balance","92750"
"Bermuda","Total Exports","79455"
"","Total Imports",""
"","Trade Balance","79455"
"Egypt","Total Exports","63032"
"","Total Imports",""
"","Trade Balance","63032"
"Jordan","Total Exports","46830"
"","Total Imports",""
"","Trade Balance","46830"
"Jamaica","Total Exports","64843"
"","Total Imports","19841"
"","Trade Balance","45002"
"Hong Kong","Total Exports","54166"
"","Total Imports","11733"
"","Trade Balance","42433"
"Ireland","Total Exports","89616"
"","Total Imports","48147"
"","Trade Balance","41469"
"Korea, South","Total Exports","40529"
"","Total Imports","4599"
"","Trade Balance","35930"
"Saudi Arabia","Total Exports","24913"
"","Total Imports",""
"","Trade Balance","24913"
"Bahrain","Total Exports","23567"
"","Total Imports",""
"","Trade Balance","23567"
"Namibia","Total Exports","20160"
"","Total Imports",""
"","Trade Balance","20160"
"Switzerland","Total Exports","20190"
"","Total Imports","1373"
"","Trade Balance","18817"
"Netherlands Antilles","Total Exports","18347"
"","Total Imports",""
"","Trade Balance","18347"
"Philippines","Total Exports","9245"
"","Total Imports","819"
"","Trade Balance","8426"
"Panama","Total Exports","8131"
"","Total Imports",""
"","Trade Balance","8131"
"Israel","Total Exports","8040"
"","Total Imports","1118"
"","Trade Balance","6922"
"Luxembourg","Total Exports","5370"
"","Total Imports",""
"","Trade Balance","5370"
"Qatar","Total Exports","4476"
"","Total Imports",""
"","Trade Balance","4476"
"United Arab Emirates","Total Exports","3904"
"","Total Imports",""
"","Trade Balance","3904"
"China","Total Exports","60470"
"","Total Imports","57764"
"","Trade Balance","2706"
"Sri Lanka","Total Exports",""
"","Total Imports","15"
"","Trade Balance","-15"
"South Africa","Total Exports",""
"","Total Imports","25"
"","Trade Balance","-25"
"Lebanon","Total Exports",""
"","Total Imports","25"
"","Trade Balance","-25"
"Cameroon","Total Exports",""
"","Total Imports","149"
"","Trade Balance","-149"
"India","Total Exports",""
"","Total Imports","636"
"","Trade Balance","-636"
"Greece","Total Exports",""
"","Total Imports","7127"
"","Trade Balance","-7127"
"Austria","Total Exports","81816"
"","Total Imports","89920"
"","Trade Balance","-8104"
"Chile","Total Exports",""
"","Total Imports","9307"
"","Trade Balance","-9307"
"Brazil","Total Exports",""
"","Total Imports","20874"
"","Trade Balance","-20874"
"Colombia","Total Exports",""
"","Total Imports","30118"
"","Trade Balance","-30118"
"Poland","Total Exports",""
"","Total Imports","31525"
"","Trade Balance","-31525"
"Re-Imports (Canada)","Total Exports",""
"","Total Imports","126849"
"","Trade Balance","-126849"
"United Kingdom","Total Exports","474146"
"","Total Imports","1498300"
"","Trade Balance","-1024154"
"Netherlands","Total Exports","127950"
"","Total Imports","1259124"
"","Trade Balance","-1131174"
"Total All Countries","Total Exports","212280250"
"","Total Imports","27838657"
"","Trade Balance","184441593"

"Source: Trade Data Online (accessed: April 21, 2025)"



