"Title","Canadian trade balances"
"Products","Total for all products"
"Origin","Prince Edward Island"
"Destination","All countries (detailed)"
"Period","Specific year(s): 1996"
"Units","Value in  canadian dollars"

"","","1996"
"United States","Total Exports","264858361"
"","Total Imports","25265913"
"","Trade Balance","239592448"
"Libya","Total Exports","16323947"
"","Total Imports",""
"","Trade Balance","16323947"
"Japan","Total Exports","11670987"
"","Total Imports","141077"
"","Trade Balance","11529910"
"France (incl. Monaco, French Antilles)","Total Exports","10866957"
"","Total Imports","1031817"
"","Trade Balance","9835140"
"Venezuela","Total Exports","11040918"
"","Total Imports","1416289"
"","Trade Balance","9624629"
"Trinidad and Tobago","Total Exports","5070440"
"","Total Imports",""
"","Trade Balance","5070440"
"Norway","Total Exports","3817637"
"","Total Imports","76353"
"","Trade Balance","3741284"
"Barbados","Total Exports","3663180"
"","Total Imports",""
"","Trade Balance","3663180"
"Germany","Total Exports","3731046"
"","Total Imports","371421"
"","Trade Balance","3359625"
"Uruguay","Total Exports","2478282"
"","Total Imports",""
"","Trade Balance","2478282"
"Sweden","Total Exports","1860794"
"","Total Imports","32148"
"","Trade Balance","1828646"
"Brazil","Total Exports","1792585"
"","Total Imports","4030"
"","Trade Balance","1788555"
"Guyana","Total Exports","1563712"
"","Total Imports",""
"","Trade Balance","1563712"
"Denmark","Total Exports","1746479"
"","Total Imports","223601"
"","Trade Balance","1522878"
"Uganda","Total Exports","1294737"
"","Total Imports",""
"","Trade Balance","1294737"
"Singapore","Total Exports","1215132"
"","Total Imports","38"
"","Trade Balance","1215094"
"United Kingdom","Total Exports","1797805"
"","Total Imports","665828"
"","Trade Balance","1131977"
"New Zealand","Total Exports","848604"
"","Total Imports",""
"","Trade Balance","848604"
"Belgium","Total Exports","803329"
"","Total Imports","2912"
"","Trade Balance","800417"
"Türkiye","Total Exports","687048"
"","Total Imports",""
"","Trade Balance","687048"
"Ireland","Total Exports","599627"
"","Total Imports","27794"
"","Trade Balance","571833"
"Bermuda","Total Exports","563727"
"","Total Imports",""
"","Trade Balance","563727"
"Portugal","Total Exports","516447"
"","Total Imports","2754"
"","Trade Balance","513693"
"Italy (incl. Vatican City State)","Total Exports","828942"
"","Total Imports","373716"
"","Trade Balance","455226"
"Mexico","Total Exports","552829"
"","Total Imports","107933"
"","Trade Balance","444896"
"Yugoslavia  - Serbia and Montenegro","Total Exports","429223"
"","Total Imports",""
"","Trade Balance","429223"
"Guatemala","Total Exports","367806"
"","Total Imports",""
"","Trade Balance","367806"
"Latvia","Total Exports","325337"
"","Total Imports",""
"","Trade Balance","325337"
"Argentina","Total Exports","315844"
"","Total Imports",""
"","Trade Balance","315844"
"Iceland","Total Exports","306449"
"","Total Imports","273"
"","Trade Balance","306176"
"Jamaica","Total Exports","249208"
"","Total Imports",""
"","Trade Balance","249208"
"Hong Kong","Total Exports","223433"
"","Total Imports","5818"
"","Trade Balance","217615"
"Greece","Total Exports","203910"
"","Total Imports","3436"
"","Trade Balance","200474"
"Dominican Republic","Total Exports","187943"
"","Total Imports",""
"","Trade Balance","187943"
"Indonesia","Total Exports","181259"
"","Total Imports",""
"","Trade Balance","181259"
"Malaysia","Total Exports","177577"
"","Total Imports","267"
"","Trade Balance","177310"
"Honduras","Total Exports","162315"
"","Total Imports",""
"","Trade Balance","162315"
"Poland","Total Exports","152164"
"","Total Imports","12"
"","Trade Balance","152152"
"Taiwan","Total Exports","195926"
"","Total Imports","45448"
"","Trade Balance","150478"
"China","Total Exports","149095"
"","Total Imports","15626"
"","Trade Balance","133469"
"El Salvador","Total Exports","120428"
"","Total Imports",""
"","Trade Balance","120428"
"Costa Rica","Total Exports","83128"
"","Total Imports",""
"","Trade Balance","83128"
"Spain","Total Exports","108368"
"","Total Imports","31284"
"","Trade Balance","77084"
"Korea, South","Total Exports","76292"
"","Total Imports","410"
"","Trade Balance","75882"
"Jordan","Total Exports","63113"
"","Total Imports",""
"","Trade Balance","63113"
"Finland","Total Exports","81558"
"","Total Imports","25774"
"","Trade Balance","55784"
"Saint Pierre-Miquelon","Total Exports","47000"
"","Total Imports",""
"","Trade Balance","47000"
"Chile","Total Exports","58179"
"","Total Imports","19072"
"","Trade Balance","39107"
"Bahamas","Total Exports","35738"
"","Total Imports",""
"","Trade Balance","35738"
"India","Total Exports","34992"
"","Total Imports",""
"","Trade Balance","34992"
"Dominica","Total Exports","25545"
"","Total Imports",""
"","Trade Balance","25545"
"Egypt","Total Exports","23914"
"","Total Imports",""
"","Trade Balance","23914"
"Philippines","Total Exports","23073"
"","Total Imports",""
"","Trade Balance","23073"
"Cuba","Total Exports","22176"
"","Total Imports",""
"","Trade Balance","22176"
"United Arab Emirates","Total Exports","14061"
"","Total Imports",""
"","Trade Balance","14061"
"Korea, North","Total Exports","11524"
"","Total Imports",""
"","Trade Balance","11524"
"Russia","Total Exports","8306"
"","Total Imports",""
"","Trade Balance","8306"
"Thailand","Total Exports","9764"
"","Total Imports","2585"
"","Trade Balance","7179"
"Saint Kitts and Nevis","Total Exports","6523"
"","Total Imports",""
"","Trade Balance","6523"
"Austria","Total Exports",""
"","Total Imports","238"
"","Trade Balance","-238"
"South Africa","Total Exports","16151"
"","Total Imports","20485"
"","Trade Balance","-4334"
"Hungary","Total Exports",""
"","Total Imports","10453"
"","Trade Balance","-10453"
"Australia","Total Exports","8000"
"","Total Imports","44656"
"","Trade Balance","-36656"
"Switzerland","Total Exports","48310"
"","Total Imports","101184"
"","Trade Balance","-52874"
"Netherlands Antilles","Total Exports","567652"
"","Total Imports","1613948"
"","Trade Balance","-1046296"
"Re-Imports (Canada)","Total Exports",""
"","Total Imports","1115413"
"","Trade Balance","-1115413"
"Netherlands","Total Exports","1322075"
"","Total Imports","3224791"
"","Trade Balance","-1902716"
"Total All Countries","Total Exports","356636911"
"","Total Imports","36024797"
"","Trade Balance","320612114"

"Source: Trade Data Online (accessed: April 21, 2025)"



