"Title","Canadian trade balances"
"Products","Total for all products"
"Origin","Prince Edward Island"
"Destination","All countries (detailed)"
"Period","Specific year(s): 1997"
"Units","Value in  canadian dollars"

"","","1997"
"United States","Total Exports","342438197"
"","Total Imports","20289446"
"","Trade Balance","322148751"
"Libya","Total Exports","21074494"
"","Total Imports",""
"","Trade Balance","21074494"
"Venezuela","Total Exports","11436278"
"","Total Imports","1488"
"","Trade Balance","11434790"
"France (incl. Monaco, French Antilles)","Total Exports","10012490"
"","Total Imports","1052267"
"","Trade Balance","8960223"
"Japan","Total Exports","8602671"
"","Total Imports","498780"
"","Trade Balance","8103891"
"Uruguay","Total Exports","5751019"
"","Total Imports",""
"","Trade Balance","5751019"
"Trinidad and Tobago","Total Exports","4413320"
"","Total Imports",""
"","Trade Balance","4413320"
"Norway","Total Exports","2862634"
"","Total Imports","1000"
"","Trade Balance","2861634"
"Brazil","Total Exports","2688045"
"","Total Imports","337"
"","Trade Balance","2687708"
"Barbados","Total Exports","2466191"
"","Total Imports",""
"","Trade Balance","2466191"
"Sweden","Total Exports","2191926"
"","Total Imports","25013"
"","Trade Balance","2166913"
"Germany","Total Exports","2274604"
"","Total Imports","491653"
"","Trade Balance","1782951"
"Switzerland","Total Exports","1708797"
"","Total Imports","42781"
"","Trade Balance","1666016"
"Belgium","Total Exports","1670557"
"","Total Imports","14678"
"","Trade Balance","1655879"
"Denmark","Total Exports","1568980"
"","Total Imports","7393"
"","Trade Balance","1561587"
"Türkiye","Total Exports","1514056"
"","Total Imports","4246"
"","Trade Balance","1509810"
"Australia","Total Exports","1282382"
"","Total Imports","75549"
"","Trade Balance","1206833"
"Italy (incl. Vatican City State)","Total Exports","1383652"
"","Total Imports","410667"
"","Trade Balance","972985"
"United Kingdom","Total Exports","1587942"
"","Total Imports","766848"
"","Trade Balance","821094"
"Bermuda","Total Exports","766577"
"","Total Imports",""
"","Trade Balance","766577"
"Colombia","Total Exports","683585"
"","Total Imports",""
"","Trade Balance","683585"
"Austria","Total Exports","636118"
"","Total Imports","717"
"","Trade Balance","635401"
"Singapore","Total Exports","631972"
"","Total Imports","1817"
"","Trade Balance","630155"
"Jamaica","Total Exports","603628"
"","Total Imports",""
"","Trade Balance","603628"
"Latvia","Total Exports","576228"
"","Total Imports",""
"","Trade Balance","576228"
"Guyana","Total Exports","505758"
"","Total Imports",""
"","Trade Balance","505758"
"Guatemala","Total Exports","471195"
"","Total Imports",""
"","Trade Balance","471195"
"Mexico","Total Exports","533473"
"","Total Imports","99547"
"","Trade Balance","433926"
"Argentina","Total Exports","418231"
"","Total Imports","308"
"","Trade Balance","417923"
"Costa Rica","Total Exports","406224"
"","Total Imports",""
"","Trade Balance","406224"
"Iceland","Total Exports","399556"
"","Total Imports","10"
"","Trade Balance","399546"
"Greece","Total Exports","364210"
"","Total Imports","2930"
"","Trade Balance","361280"
"Honduras","Total Exports","342145"
"","Total Imports",""
"","Trade Balance","342145"
"Netherlands Antilles","Total Exports","311252"
"","Total Imports",""
"","Trade Balance","311252"
"Malaysia","Total Exports","310463"
"","Total Imports","137"
"","Trade Balance","310326"
"Dominican Republic","Total Exports","265651"
"","Total Imports","23"
"","Trade Balance","265628"
"China","Total Exports","240697"
"","Total Imports","17618"
"","Trade Balance","223079"
"Suriname","Total Exports","217700"
"","Total Imports",""
"","Trade Balance","217700"
"Portugal","Total Exports","210391"
"","Total Imports","9231"
"","Trade Balance","201160"
"Korea, South","Total Exports","185407"
"","Total Imports","4372"
"","Trade Balance","181035"
"India","Total Exports","267674"
"","Total Imports","99788"
"","Trade Balance","167886"
"Ireland","Total Exports","165879"
"","Total Imports","8738"
"","Trade Balance","157141"
"Poland","Total Exports","133705"
"","Total Imports",""
"","Trade Balance","133705"
"Bahamas","Total Exports","125023"
"","Total Imports",""
"","Trade Balance","125023"
"Yugoslavia  - Serbia and Montenegro","Total Exports","96261"
"","Total Imports",""
"","Trade Balance","96261"
"Indonesia","Total Exports","93755"
"","Total Imports",""
"","Trade Balance","93755"
"Taiwan","Total Exports","135602"
"","Total Imports","46476"
"","Trade Balance","89126"
"New Zealand","Total Exports","88183"
"","Total Imports","28704"
"","Trade Balance","59479"
"Saint Pierre-Miquelon","Total Exports","57062"
"","Total Imports",""
"","Trade Balance","57062"
"Philippines","Total Exports","50498"
"","Total Imports",""
"","Trade Balance","50498"
"Nicaragua","Total Exports","48178"
"","Total Imports",""
"","Trade Balance","48178"
"Saint Lucia","Total Exports","46125"
"","Total Imports",""
"","Trade Balance","46125"
"Spain","Total Exports","110606"
"","Total Imports","65886"
"","Trade Balance","44720"
"Chile","Total Exports","62072"
"","Total Imports","21803"
"","Trade Balance","40269"
"Cameroon","Total Exports","32334"
"","Total Imports",""
"","Trade Balance","32334"
"Hong Kong","Total Exports","20655"
"","Total Imports",""
"","Trade Balance","20655"
"Egypt","Total Exports",""
"","Total Imports","489"
"","Trade Balance","-489"
"Thailand","Total Exports",""
"","Total Imports","592"
"","Trade Balance","-592"
"Antigua and Barbuda","Total Exports",""
"","Total Imports","849"
"","Trade Balance","-849"
"Bulgaria","Total Exports",""
"","Total Imports","1787"
"","Trade Balance","-1787"
"Czech Republic","Total Exports",""
"","Total Imports","3969"
"","Trade Balance","-3969"
"Romania","Total Exports",""
"","Total Imports","5692"
"","Trade Balance","-5692"
"Hungary","Total Exports",""
"","Total Imports","6425"
"","Trade Balance","-6425"
"Finland","Total Exports","41628"
"","Total Imports","56007"
"","Trade Balance","-14379"
"South Africa","Total Exports",""
"","Total Imports","56933"
"","Trade Balance","-56933"
"Netherlands","Total Exports","865829"
"","Total Imports","2297183"
