"Title","Canadian trade balances"
"Products","Total for all products"
"Origin","Prince Edward Island"
"Destination","All countries (detailed)"
"Period","Specific year(s): 1999"
"Units","Value in  canadian dollars"

"","","1999"
"United States","Total Exports","489482260"
"","Total Imports","14662484"
"","Trade Balance","474819776"
"Venezuela","Total Exports","10962547"
"","Total Imports","1934"
"","Trade Balance","10960613"
"France (incl. Monaco, French Antilles)","Total Exports","9844680"
"","Total Imports","786436"
"","Trade Balance","9058244"
"Japan","Total Exports","8822449"
"","Total Imports","111914"
"","Trade Balance","8710535"
"Trinidad and Tobago","Total Exports","5577691"
"","Total Imports",""
"","Trade Balance","5577691"
"Norway","Total Exports","4128501"
"","Total Imports",""
"","Trade Balance","4128501"
"Barbados","Total Exports","3523860"
"","Total Imports","571"
"","Trade Balance","3523289"
"Belgium","Total Exports","3004849"
"","Total Imports","17058"
"","Trade Balance","2987791"
"Dominican Republic","Total Exports","2967975"
"","Total Imports",""
"","Trade Balance","2967975"
"Sweden","Total Exports","3258391"
"","Total Imports","294028"
"","Trade Balance","2964363"
"United Kingdom","Total Exports","3457952"
"","Total Imports","537198"
"","Trade Balance","2920754"
"Denmark","Total Exports","2794105"
"","Total Imports","4119"
"","Trade Balance","2789986"
"Germany","Total Exports","3315456"
"","Total Imports","547421"
"","Trade Balance","2768035"
"Uruguay","Total Exports","2284914"
"","Total Imports","54"
"","Trade Balance","2284860"
"Switzerland","Total Exports","1790113"
"","Total Imports","5345"
"","Trade Balance","1784768"
"Chile","Total Exports","1670124"
"","Total Imports","30345"
"","Trade Balance","1639779"
"Italy (incl. Vatican City State)","Total Exports","1732289"
"","Total Imports","292938"
"","Trade Balance","1439351"
"Korea, South","Total Exports","1103496"
"","Total Imports","1156"
"","Trade Balance","1102340"
"Jamaica","Total Exports","1034251"
"","Total Imports",""
"","Trade Balance","1034251"
"Brazil","Total Exports","1029326"
"","Total Imports","2936"
"","Trade Balance","1026390"
"Ireland","Total Exports","988131"
"","Total Imports","372"
"","Trade Balance","987759"
"Guyana","Total Exports","986646"
"","Total Imports",""
"","Trade Balance","986646"
"Portugal","Total Exports","918860"
"","Total Imports","5308"
"","Trade Balance","913552"
"Guatemala","Total Exports","840689"
"","Total Imports",""
"","Trade Balance","840689"
"Singapore","Total Exports","814876"
"","Total Imports","850"
"","Trade Balance","814026"
"Bermuda","Total Exports","756676"
"","Total Imports",""
"","Trade Balance","756676"
"Austria","Total Exports","669538"
"","Total Imports","78"
"","Trade Balance","669460"
"Australia","Total Exports","741562"
"","Total Imports","84476"
"","Trade Balance","657086"
"Mexico","Total Exports","553080"
"","Total Imports","43587"
"","Trade Balance","509493"
"Iceland","Total Exports","465103"
"","Total Imports",""
"","Trade Balance","465103"
"Panama","Total Exports","445197"
"","Total Imports",""
"","Trade Balance","445197"
"Israel","Total Exports","444886"
"","Total Imports",""
"","Trade Balance","444886"
"Aruba","Total Exports","442400"
"","Total Imports",""
"","Trade Balance","442400"
"Cuba","Total Exports","274117"
"","Total Imports",""
"","Trade Balance","274117"
"Thailand","Total Exports","269649"
"","Total Imports",""
"","Trade Balance","269649"
"China","Total Exports","324950"
"","Total Imports","61733"
"","Trade Balance","263217"
"Honduras","Total Exports","249382"
"","Total Imports","463"
"","Trade Balance","248919"
"Spain","Total Exports","293746"
"","Total Imports","61038"
"","Trade Balance","232708"
"Hong Kong","Total Exports","195861"
"","Total Imports",""
"","Trade Balance","195861"
"Bahamas","Total Exports","194546"
"","Total Imports",""
"","Trade Balance","194546"
"Greece","Total Exports","184056"
"","Total Imports","601"
"","Trade Balance","183455"
"Costa Rica","Total Exports","178405"
"","Total Imports","8"
"","Trade Balance","178397"
"Finland","Total Exports","183000"
"","Total Imports","6800"
"","Trade Balance","176200"
"Guinea","Total Exports","171044"
"","Total Imports",""
"","Trade Balance","171044"
"Suriname","Total Exports","164930"
"","Total Imports",""
"","Trade Balance","164930"
"Netherlands Antilles","Total Exports","135985"
"","Total Imports",""
"","Trade Balance","135985"
"Indonesia","Total Exports","136679"
"","Total Imports","7265"
"","Trade Balance","129414"
"Nicaragua","Total Exports","122232"
"","Total Imports",""
"","Trade Balance","122232"
"Saint Lucia","Total Exports","106198"
"","Total Imports",""
"","Trade Balance","106198"
"India","Total Exports","95541"
"","Total Imports","1358"
"","Trade Balance","94183"
"United Arab Emirates","Total Exports","84424"
"","Total Imports",""
"","Trade Balance","84424"
"El Salvador","Total Exports","69038"
"","Total Imports","320"
"","Trade Balance","68718"
"Argentina","Total Exports","68708"
"","Total Imports","3886"
"","Trade Balance","64822"
"Bahrain","Total Exports","48848"
"","Total Imports",""
"","Trade Balance","48848"
"Saudi Arabia","Total Exports","28137"
