"Title","Canadian trade balances"
"Products","Total for all products"
"Origin","Prince Edward Island"
"Destination","All countries (detailed)"
"Period","Specific year(s): 2000"
"Units","Value in  canadian dollars"

"","","2000"
"United States","Total Exports","627785592"
"","Total Imports","12221007"
"","Trade Balance","615564585"
"Venezuela","Total Exports","12154296"
"","Total Imports","564"
"","Trade Balance","12153732"
"France (incl. Monaco, French Antilles)","Total Exports","11600775"
"","Total Imports","453516"
"","Trade Balance","11147259"
"Japan","Total Exports","5597494"
"","Total Imports","249329"
"","Trade Balance","5348165"
"Germany","Total Exports","4265597"
"","Total Imports","706900"
"","Trade Balance","3558697"
"Belgium","Total Exports","2966339"
"","Total Imports",""
"","Trade Balance","2966339"
"Uruguay","Total Exports","2621906"
"","Total Imports",""
"","Trade Balance","2621906"
"Trinidad and Tobago","Total Exports","2558316"
"","Total Imports",""
"","Trade Balance","2558316"
"Italy (incl. Vatican City State)","Total Exports","2681300"
"","Total Imports","409746"
"","Trade Balance","2271554"
"Barbados","Total Exports","1736561"
"","Total Imports",""
"","Trade Balance","1736561"
"Denmark","Total Exports","1653034"
"","Total Imports","2653"
"","Trade Balance","1650381"
"Australia","Total Exports","1665047"
"","Total Imports","170996"
"","Trade Balance","1494051"
"United Kingdom","Total Exports","2029130"
"","Total Imports","621864"
"","Trade Balance","1407266"
"Dominican Republic","Total Exports","1247635"
"","Total Imports","26"
"","Trade Balance","1247609"
"Mexico","Total Exports","1259263"
"","Total Imports","43495"
"","Trade Balance","1215768"
"Israel","Total Exports","1141804"
"","Total Imports",""
"","Trade Balance","1141804"
"Bahamas","Total Exports","1018818"
"","Total Imports",""
"","Trade Balance","1018818"
"Korea, South","Total Exports","947396"
"","Total Imports","337"
"","Trade Balance","947059"
"Jamaica","Total Exports","815350"
"","Total Imports",""
"","Trade Balance","815350"
"Ireland","Total Exports","802672"
"","Total Imports","189"
"","Trade Balance","802483"
"Sweden","Total Exports","846916"
"","Total Imports","44648"
"","Trade Balance","802268"
"Bermuda","Total Exports","785831"
"","Total Imports",""
"","Trade Balance","785831"
"Norway","Total Exports","779332"
"","Total Imports",""
"","Trade Balance","779332"
"Guatemala","Total Exports","743133"
"","Total Imports",""
"","Trade Balance","743133"
"Singapore","Total Exports","697902"
"","Total Imports","4285"
"","Trade Balance","693617"
"Iceland","Total Exports","556803"
"","Total Imports",""
"","Trade Balance","556803"
"Chile","Total Exports","579036"
"","Total Imports","42758"
"","Trade Balance","536278"
"Thailand","Total Exports","492252"
"","Total Imports","15073"
"","Trade Balance","477179"
"Austria","Total Exports","383175"
"","Total Imports","2476"
"","Trade Balance","380699"
"Honduras","Total Exports","318875"
"","Total Imports",""
"","Trade Balance","318875"
"Hong Kong","Total Exports","262887"
"","Total Imports",""
"","Trade Balance","262887"
"Panama","Total Exports","259121"
"","Total Imports",""
"","Trade Balance","259121"
"Argentina","Total Exports","266112"
"","Total Imports","7820"
"","Trade Balance","258292"
"China","Total Exports","264988"
"","Total Imports","15782"
"","Trade Balance","249206"
"New Zealand","Total Exports","244378"
"","Total Imports",""
"","Trade Balance","244378"
"Bolivia","Total Exports","238116"
"","Total Imports",""
"","Trade Balance","238116"
"Brazil","Total Exports","223294"
"","Total Imports","989"
"","Trade Balance","222305"
"Aruba","Total Exports","194213"
"","Total Imports",""
"","Trade Balance","194213"
"Nepal","Total Exports","184894"
"","Total Imports",""
"","Trade Balance","184894"
"Philippines","Total Exports","171833"
"","Total Imports",""
"","Trade Balance","171833"
"Taiwan","Total Exports","250872"
"","Total Imports","85764"
"","Trade Balance","165108"
"Costa Rica","Total Exports","154171"
"","Total Imports",""
"","Trade Balance","154171"
"Spain","Total Exports","161441"
"","Total Imports","24994"
"","Trade Balance","136447"
"Switzerland","Total Exports","112260"
"","Total Imports","9360"
"","Trade Balance","102900"
"Indonesia","Total Exports","143965"
"","Total Imports","41988"
"","Trade Balance","101977"
"India","Total Exports","102189"
"","Total Imports","9831"
"","Trade Balance","92358"
"El Salvador","Total Exports","89759"
"","Total Imports",""
"","Trade Balance","89759"
"Cayman Islands","Total Exports","86665"
"","Total Imports",""
"","Trade Balance","86665"
"Iran","Total Exports","69592"
"","Total Imports",""
"","Trade Balance","69592"
"Saint Lucia","Total Exports","56260"
"","Total Imports",""
"","Trade Balance","56260"
"Cuba","Total Exports","51273"
"","Total Imports",""
"","Trade Balance","51273"
"Portugal","Total Exports","55275"
"","Total Imports","11939"
"","Trade Balance","43336"
"Cameroon","Total Exports","30246"
"","Total Imports",""
"","Trade Balance","30246"
"Saint Pierre-Miquelon","Total Exports","24589"
"","Total Imports",""
"","Trade Balance","24589"
"Netherlands Antilles","Total Exports","23583"
"","Total Imports",""
"","Trade Balance","23583"
"Myanmar (Burma)","Total Exports","18831"
"","Total Imports",""
"","Trade Balance","18831"
"Saint Vincent and the Grenadines","Total Exports","18753"
"","Total Imports",""
"","Trade Balance","18753"
"Haiti","Total Exports","17284"
"","Total Imports",""
"","Trade Balance","17284"
"Romania","Total Exports","16731"
"","Total Imports",""
"","Trade Balance","16731"
"Vietnam","Total Exports","10826"
"","Total Imports",""
"","Trade Balance","10826"
