"Title","Canadian trade balances"
"Products","Total for all products"
"Origin","Prince Edward Island"
"Destination","All countries (detailed)"
"Period","Specific year(s): 2001"
"Units","Value in  canadian dollars"

"","","2001"
"United States","Total Exports","600350339"
"","Total Imports","11399354"
"","Trade Balance","588950985"
"France (incl. Monaco, French Antilles)","Total Exports","10265448"
"","Total Imports","578105"
"","Trade Balance","9687343"
"Japan","Total Exports","8641266"
"","Total Imports","25529"
"","Trade Balance","8615737"
"Panama","Total Exports","8495464"
"","Total Imports",""
"","Trade Balance","8495464"
"Venezuela","Total Exports","4168919"
"","Total Imports",""
"","Trade Balance","4168919"
"Trinidad and Tobago","Total Exports","3782449"
"","Total Imports",""
"","Trade Balance","3782449"
"United Kingdom","Total Exports","4070416"
"","Total Imports","449432"
"","Trade Balance","3620984"
"Belgium","Total Exports","3373498"
"","Total Imports",""
"","Trade Balance","3373498"
"Italy (incl. Vatican City State)","Total Exports","2781110"
"","Total Imports","362765"
"","Trade Balance","2418345"
"Uruguay","Total Exports","2200713"
"","Total Imports",""
"","Trade Balance","2200713"
"Brazil","Total Exports","2189037"
"","Total Imports","7239"
"","Trade Balance","2181798"
"Germany","Total Exports","3068827"
"","Total Imports","986520"
"","Trade Balance","2082307"
"Barbados","Total Exports","1613584"
"","Total Imports",""
"","Trade Balance","1613584"
"Denmark","Total Exports","1775727"
"","Total Imports","250052"
"","Trade Balance","1525675"
"Korea, South","Total Exports","1425641"
"","Total Imports","1752"
"","Trade Balance","1423889"
"South Africa","Total Exports","1374976"
"","Total Imports","47310"
"","Trade Balance","1327666"
"Bahamas","Total Exports","1137177"
"","Total Imports",""
"","Trade Balance","1137177"
"Dominican Republic","Total Exports","1019953"
"","Total Imports","53"
"","Trade Balance","1019900"
"Honduras","Total Exports","940261"
"","Total Imports",""
"","Trade Balance","940261"
"Jamaica","Total Exports","916573"
"","Total Imports",""
"","Trade Balance","916573"
"Chile","Total Exports","898276"
"","Total Imports","34069"
"","Trade Balance","864207"
"Singapore","Total Exports","799519"
"","Total Imports","902"
"","Trade Balance","798617"
"Norway","Total Exports","800206"
"","Total Imports","2405"
"","Trade Balance","797801"
"Mexico","Total Exports","850660"
"","Total Imports","68455"
"","Trade Balance","782205"
"Sweden","Total Exports","825609"
"","Total Imports","44808"
"","Trade Balance","780801"
"Bermuda","Total Exports","706931"
"","Total Imports","3279"
"","Trade Balance","703652"
"Kenya","Total Exports","638899"
"","Total Imports","9000"
"","Trade Balance","629899"
"Ireland","Total Exports","468726"
"","Total Imports","737"
"","Trade Balance","467989"
"Israel","Total Exports","441795"
"","Total Imports",""
"","Trade Balance","441795"
"Guatemala","Total Exports","439443"
"","Total Imports",""
"","Trade Balance","439443"
"China","Total Exports","498556"
"","Total Imports","143897"
"","Trade Balance","354659"
"Iceland","Total Exports","323697"
"","Total Imports",""
"","Trade Balance","323697"
"Hong Kong","Total Exports","323721"
"","Total Imports","5899"
"","Trade Balance","317822"
"Indonesia","Total Exports","300294"
"","Total Imports",""
"","Trade Balance","300294"
"Egypt","Total Exports","295109"
"","Total Imports","7152"
"","Trade Balance","287957"
"Cuba","Total Exports","283307"
"","Total Imports",""
"","Trade Balance","283307"
"Malaysia","Total Exports","260819"
"","Total Imports",""
"","Trade Balance","260819"
"Costa Rica","Total Exports","204259"
"","Total Imports",""
"","Trade Balance","204259"
"Netherlands Antilles","Total Exports","177478"
"","Total Imports",""
"","Trade Balance","177478"
"Taiwan","Total Exports","227216"
"","Total Imports","52922"
"","Trade Balance","174294"
"Philippines","Total Exports","158552"
"","Total Imports",""
"","Trade Balance","158552"
"El Salvador","Total Exports","152749"
"","Total Imports",""
"","Trade Balance","152749"
"Namibia","Total Exports","139779"
"","Total Imports",""
"","Trade Balance","139779"
"Portugal","Total Exports","132734"
"","Total Imports","17277"
"","Trade Balance","115457"
"Dominica","Total Exports","103887"
"","Total Imports",""
"","Trade Balance","103887"
"Saint Kitts and Nevis","Total Exports","102659"
"","Total Imports",""
"","Trade Balance","102659"
"India","Total Exports","96937"
"","Total Imports","763"
"","Trade Balance","96174"
"Switzerland","Total Exports","110541"
"","Total Imports","14838"
"","Trade Balance","95703"
"Haiti","Total Exports","90744"
"","Total Imports",""
"","Trade Balance","90744"
"Saint Lucia","Total Exports","79486"
"","Total Imports",""
"","Trade Balance","79486"
"Cayman Islands","Total Exports","41282"
"","Total Imports",""
"","Trade Balance","41282"
"Saint Pierre-Miquelon","Total Exports","37074"
"","Total Imports",""
"","Trade Balance","37074"
"Romania","Total Exports","36266"
"","Total Imports",""
"","Trade Balance","36266"
"Czech Republic","Total Exports","35286"
"","Total Imports",""
"","Trade Balance","35286"
"Uzbekistan","Total Exports","27638"
"","Total Imports",""
"","Trade Balance","27638"
"Estonia","Total Exports","22000"
"","Total Imports",""
"","Trade Balance","22000"
"Austria","Total Exports","20200"
"","Total Imports","121"
"","Trade Balance","20079"
"Colombia","Total Exports","18145"
"","Total Imports",""
"","Trade Balance","18145"
"Bahrain","Total Exports","16281"
"","Total Imports",""
"","Trade Balance","16281"
"Guyana","Total Exports","13470"
"","Total Imports",""
"","Trade Balance","13470"
"Lebanon","Total Exports","13405"
"","Total Imports",""
"","Trade Balance","13405"
"Ecuador","Total Exports","10566"
"","Total Imports",""
"","Trade Balance","10566"
"Poland","Total Exports","8688"
"","Total Imports",""
"","Trade Balance","8688"
"Türkiye","Total Exports","12255"
"","Total Imports","5614"
"","Trade Balance","6641"
"Antigua and Barbuda","Total Exports","3250"
"","Total Imports","468"
"","Trade Balance","2782"
"Saudi Arabia","Total Exports","483"
"","Total Imports",""
"","Trade Balance","483"
"New Zealand","Total Exports","70"
"","Total Imports",""
"","Trade Balance","70"
"Ghana","Total Exports",""
"","Total Imports","500"
"","Trade Balance","-500"
"Argentina","Total Exports",""
"","Total Imports","1620"
"","Trade Balance","-1620"
"Re-Imports (Canada)","Total Exports",""
"","Total Imports","52433"
"","Trade Balance","-52433"
"Australia","Total Exports","173579"
"","Total Imports","244724"
"","Trade Balance","-71145"
"Greece","Total Exports","54359"
"","Total Imports","161960"
"","Trade Balance","-107601"
"Netherlands","Total Exports","960825"
"","Total Imports","1336916"
"","Trade Balance","-376091"
"Spain","Total Exports","1439"
"","Total Imports","431473"
"","Trade Balance","-430034"
"Russia","Total Exports","476349"
"","Total Imports","3308321"
"","Trade Balance","-2831972"
"Total All Countries","Total Exports","676506876"
"","Total Imports","20058664"
"","Trade Balance","656448212"

"Source: Trade Data Online (accessed: April 21, 2025)"



