"Title","Canadian trade balances"
"Products","Total for all products"
"Origin","Prince Edward Island"
"Destination","All countries (detailed)"
"Period","Specific year(s): 2002"
"Units","Value in  canadian dollars"

"","","2002"
"United States","Total Exports","626178464"
"","Total Imports","14755450"
"","Trade Balance","611423014"
"Japan","Total Exports","10363951"
"","Total Imports","273572"
"","Trade Balance","10090379"
"France (incl. Monaco, French Antilles)","Total Exports","9205790"
"","Total Imports","510833"
"","Trade Balance","8694957"
"Germany","Total Exports","4923327"
"","Total Imports","310889"
"","Trade Balance","4612438"
"United Kingdom","Total Exports","4025853"
"","Total Imports","382462"
"","Trade Balance","3643391"
"Venezuela","Total Exports","3378160"
"","Total Imports",""
"","Trade Balance","3378160"
"Uganda","Total Exports","2825731"
"","Total Imports",""
"","Trade Balance","2825731"
"Belgium","Total Exports","2599832"
"","Total Imports",""
"","Trade Balance","2599832"
"Australia","Total Exports","2844872"
"","Total Imports","322842"
"","Trade Balance","2522030"
"Korea, South","Total Exports","2138792"
"","Total Imports","806"
"","Trade Balance","2137986"
"Trinidad and Tobago","Total Exports","2104450"
"","Total Imports",""
"","Trade Balance","2104450"
"Uruguay","Total Exports","2085467"
"","Total Imports",""
"","Trade Balance","2085467"
"Bahamas","Total Exports","1630981"
"","Total Imports",""
"","Trade Balance","1630981"
"Barbados","Total Exports","1516683"
"","Total Imports",""
"","Trade Balance","1516683"
"Jamaica","Total Exports","1186669"
"","Total Imports",""
"","Trade Balance","1186669"
"Netherlands","Total Exports","2115840"
"","Total Imports","956689"
"","Trade Balance","1159151"
"Singapore","Total Exports","1059375"
"","Total Imports","5030"
"","Trade Balance","1054345"
"Bermuda","Total Exports","817691"
"","Total Imports","3279"
"","Trade Balance","814412"
"Denmark","Total Exports","796466"
"","Total Imports","4753"
"","Trade Balance","791713"
"Sweden","Total Exports","719710"
"","Total Imports","31433"
"","Trade Balance","688277"
"Norway","Total Exports","646278"
"","Total Imports","4572"
"","Trade Balance","641706"
"Mexico","Total Exports","862092"
"","Total Imports","235649"
"","Trade Balance","626443"
"Dominican Republic","Total Exports","625085"
"","Total Imports",""
"","Trade Balance","625085"
"Egypt","Total Exports","622021"
"","Total Imports","1324"
"","Trade Balance","620697"
"Guatemala","Total Exports","559669"
"","Total Imports",""
"","Trade Balance","559669"
"Honduras","Total Exports","535671"
"","Total Imports",""
"","Trade Balance","535671"
"Ireland","Total Exports","584732"
"","Total Imports","63067"
"","Trade Balance","521665"
"Hong Kong","Total Exports","528664"
"","Total Imports","9106"
"","Trade Balance","519558"
"Israel","Total Exports","449504"
"","Total Imports",""
"","Trade Balance","449504"
"Austria","Total Exports","448075"
"","Total Imports",""
