"Title","Canadian trade balances"
"Products","Total for all products"
"Origin","Prince Edward Island"
"Destination","All countries (detailed)"
"Period","Specific year(s): 2004"
"Units","Value in  canadian dollars"

"","","2004"
"United States","Total Exports","562071707"
"","Total Imports","17912978"
"","Trade Balance","544158729"
"Japan","Total Exports","13711213"
"","Total Imports","396065"
"","Trade Balance","13315148"
"France (incl. Monaco, French Antilles)","Total Exports","9257601"
"","Total Imports","683940"
"","Trade Balance","8573661"
"Trinidad and Tobago","Total Exports","6783523"
"","Total Imports","5000"
"","Trade Balance","6778523"
"United Kingdom","Total Exports","7506984"
"","Total Imports","760587"
"","Trade Balance","6746397"
"Germany","Total Exports","6650010"
"","Total Imports","546092"
"","Trade Balance","6103918"
"Italy (incl. Vatican City State)","Total Exports","4280788"
"","Total Imports","380020"
"","Trade Balance","3900768"
"China","Total Exports","3764598"
"","Total Imports","65570"
"","Trade Balance","3699028"
"Jamaica","Total Exports","3406436"
"","Total Imports","14995"
"","Trade Balance","3391441"
"Bahamas","Total Exports","2821727"
"","Total Imports",""
"","Trade Balance","2821727"
"Sweden","Total Exports","2772744"
"","Total Imports","96221"
"","Trade Balance","2676523"
"Venezuela","Total Exports","2647396"
"","Total Imports",""
"","Trade Balance","2647396"
"Barbados","Total Exports","2169420"
"","Total Imports",""
"","Trade Balance","2169420"
"Thailand","Total Exports","1928279"
"","Total Imports","9"
"","Trade Balance","1928270"
"Singapore","Total Exports","1866714"
"","Total Imports","1333"
"","Trade Balance","1865381"
"Dominican Republic","Total Exports","1833486"
"","Total Imports",""
"","Trade Balance","1833486"
"Guatemala","Total Exports","1752781"
"","Total Imports",""
"","Trade Balance","1752781"
"Denmark","Total Exports","2128357"
"","Total Imports","430639"
"","Trade Balance","1697718"
"Australia","Total Exports","2179423"
"","Total Imports","564386"
"","Trade Balance","1615037"
"Uruguay","Total Exports","1608291"
"","Total Imports",""
"","Trade Balance","1608291"
"Spain","Total Exports","1497976"
"","Total Imports","29185"
"","Trade Balance","1468791"
"Norway","Total Exports","1438817"
"","Total Imports","25449"
"","Trade Balance","1413368"
"Belgium","Total Exports","1286712"
"","Total Imports",""
"","Trade Balance","1286712"
"Korea, South","Total Exports","1242998"
"","Total Imports","7003"
"","Trade Balance","1235995"
"Taiwan","Total Exports","1286484"
"","Total Imports","80464"
"","Trade Balance","1206020"
"Finland","Total Exports","951984"
"","Total Imports",""
"","Trade Balance","951984"
"Chile","Total Exports","961600"
"","Total Imports","83059"
"","Trade Balance","878541"
"Costa Rica","Total Exports","785121"
"","Total Imports",""
"","Trade Balance","785121"
"Bermuda","Total Exports","742901"
"","Total Imports","4848"
"","Trade Balance","738053"
"Honduras","Total Exports","732515"
"","Total Imports","2870"
"","Trade Balance","729645"
"Antigua and Barbuda","Total Exports","682797"
"","Total Imports",""
"","Trade Balance","682797"
"New Zealand","Total Exports","696215"
"","Total Imports","18414"
"","Trade Balance","677801"
"Netherlands","Total Exports","1050277"
"","Total Imports","388964"
"","Trade Balance","661313"
"Netherlands Antilles","Total Exports","634320"
"","Total Imports",""
"","Trade Balance","634320"
"Brazil","Total Exports","589172"
"","Total Imports","591"
"","Trade Balance","588581"
"Hong Kong","Total Exports","487852"
"","Total Imports","7319"
"","Trade Balance","480533"
"Faeroe Islands","Total Exports","447282"
"","Total Imports",""
"","Trade Balance","447282"
"Israel","Total Exports","466219"
"","Total Imports","44384"
"","Trade Balance","421835"
"Ireland","Total Exports","486795"
"","Total Imports","98841"
"","Trade Balance","387954"
"Switzerland","Total Exports","390628"
"","Total Imports","6424"
"","Trade Balance","384204"
"Guyana","Total Exports","324752"
"","Total Imports",""
"","Trade Balance","324752"
"India","Total Exports","318785"
"","Total Imports","2551"
"","Trade Balance","316234"
"Saint Lucia","Total Exports","314963"
"","Total Imports",""
"","Trade Balance","314963"
"South Africa","Total Exports","361212"
"","Total Imports","48090"
"","Trade Balance","313122"
"Aruba","Total Exports","269310"
"","Total Imports",""
"","Trade Balance","269310"
"El Salvador","Total Exports","251722"
"","Total Imports",""
"","Trade Balance","251722"
"Saint Kitts and Nevis","Total Exports","225588"
"","Total Imports",""
"","Trade Balance","225588"
"Philippines","Total Exports","218146"
"","Total Imports","2726"
"","Trade Balance","215420"
"Portugal","Total Exports","219007"
"","Total Imports","6463"
"","Trade Balance","212544"
"Iceland","Total Exports","216600"
"","Total Imports","7000"
"","Trade Balance","209600"
"United Arab Emirates","Total Exports","166299"
"","Total Imports",""
"","Trade Balance","166299"
"Croatia","Total Exports","165480"
"","Total Imports",""
"","Trade Balance","165480"
"Panama","Total Exports","162456"
"","Total Imports",""
"","Trade Balance","162456"
"Yugoslavia  - Serbia and Montenegro","Total Exports","146319"
"","Total Imports",""
"","Trade Balance","146319"
"Saint Vincent and the Grenadines","Total Exports","137933"
"","Total Imports",""
"","Trade Balance","137933"
"Austria","Total Exports","125884"
"","Total Imports","10367"
"","Trade Balance","115517"
"Romania","Total Exports","113881"
"","Total Imports","445"
"","Trade Balance","113436"
"Poland","Total Exports","103073"
"","Total Imports","16"
"","Trade Balance","103057"
"Oman (formerly Muscat and Oman)","Total Exports","98529"
"","Total Imports",""
"","Trade Balance","98529"
"Vietnam","Total Exports","78014"
"","Total Imports",""
"","Trade Balance","78014"
"Lithuania","Total Exports","75220"
"","Total Imports",""
"","Trade Balance","75220"
"Saudi Arabia","Total Exports","72797"
"","Total Imports",""
"","Trade Balance","72797"
"Niger","Total Exports","68947"
"","Total Imports",""
"","Trade Balance","68947"
"Türkiye","Total Exports","79153"
"","Total Imports","13017"
"","Trade Balance","66136"
"Kuwait","Total Exports","65470"
"","Total Imports",""
"","Trade Balance","65470"
"Morocco","Total Exports","62380"
"","Total Imports","1256"
"","Trade Balance","61124"
"Bahrain","Total Exports","57902"
"","Total Imports",""
"","Trade Balance","57902"
"Saint Pierre-Miquelon","Total Exports","57782"
"","Total Imports",""
"","Trade Balance","57782"
"Argentina","Total Exports","66569"
"","Total Imports","13228"
"","Trade Balance","53341"
"Grenada","Total Exports","49728"
"","Total Imports",""
"","Trade Balance","49728"
"Turks and Caicos Islands","Total Exports","49496"
"","Total Imports",""
"","Trade Balance","49496"
"Dominica","Total Exports","43675"
"","Total Imports",""
"","Trade Balance","43675"
"Malaysia","Total Exports","39643"
"","Total Imports",""
"","Trade Balance","39643"
"New Caledonia","Total Exports","39495"
"","Total Imports",""
"","Trade Balance","39495"
"Mexico","Total Exports","350734"
"","Total Imports","316861"
"","Trade Balance","33873"
"Greece","Total Exports","36525"
"","Total Imports","3510"
"","Trade Balance","33015"
"Cuba","Total Exports","28545"
"","Total Imports",""
"","Trade Balance","28545"
"Colombia","Total Exports","28324"
"","Total Imports",""
"","Trade Balance","28324"
"Indonesia","Total Exports","26660"
"","Total Imports","149"
"","Trade Balance","26511"
"Qatar","Total Exports","24809"
"","Total Imports",""
"","Trade Balance","24809"
"Namibia","Total Exports","24062"
"","Total Imports",""
"","Trade Balance","24062"
"Georgia","Total Exports","21400"
"","Total Imports",""
"","Trade Balance","21400"
"Czech Republic","Total Exports","17615"
"","Total Imports",""
"","Trade Balance","17615"
"Suriname","Total Exports","17027"
"","Total Imports",""
"","Trade Balance","17027"
"French Polynesia","Total Exports","14045"
"","Total Imports",""
"","Trade Balance","14045"
"Bangladesh","Total Exports","13485"
"","Total Imports",""
"","Trade Balance","13485"
"Ethiopia","Total Exports","12396"
"","Total Imports",""
"","Trade Balance","12396"
"Nigeria","Total Exports","12237"
"","Total Imports",""
"","Trade Balance","12237"
"Ecuador","Total Exports","11612"
"","Total Imports",""
"","Trade Balance","11612"
"Algeria","Total Exports","11222"
"","Total Imports",""
"","Trade Balance","11222"
"Zambia (Zambi)","Total Exports","9907"
"","Total Imports",""
"","Trade Balance","9907"
"Papua New Guinea","Total Exports","7510"
"","Total Imports",""
"","Trade Balance","7510"
"Peru","Total Exports","7139"
"","Total Imports",""
"","Trade Balance","7139"
"Jordan","Total Exports","6862"
"","Total Imports",""
"","Trade Balance","6862"
"Fiji","Total Exports","6858"
"","Total Imports",""
"","Trade Balance","6858"
"Ghana","Total Exports","6590"
"","Total Imports",""
"","Trade Balance","6590"
"Belarus (formerly Byelorussia)","Total Exports","5000"
"","Total Imports",""
"","Trade Balance","5000"
"Kenya","Total Exports","4775"
"","Total Imports",""
"","Trade Balance","4775"
"Greenland","Total Exports","4353"
"","Total Imports",""
"","Trade Balance","4353"
"Slovakia","Total Exports","4320"
"","Total Imports",""
"","Trade Balance","4320"
"Belize","Total Exports","3506"
"","Total Imports",""
"","Trade Balance","3506"
"Malta","Total Exports","3283"
"","Total Imports",""
"","Trade Balance","3283"
"Libya","Total Exports","3264"
"","Total Imports",""
"","Trade Balance","3264"
"Hungary","Total Exports","5282"
"","Total Imports","2723"
"","Trade Balance","2559"
"British Indian Ocean Territories","Total Exports","1850"
"","Total Imports",""
"","Trade Balance","1850"
"Kyrgyzstan","Total Exports","614"
"","Total Imports",""
"","Trade Balance","614"
"Zimbabwe","Total Exports","221"
"","Total Imports",""
"","Trade Balance","221"
"Latvia","Total Exports","215"
"","Total Imports",""
"","Trade Balance","215"
"Timor-Leste","Total Exports",""
"","Total Imports","18"
"","Trade Balance","-18"
"Bulgaria","Total Exports",""
"","Total Imports","132"
"","Trade Balance","-132"
"Pakistan","Total Exports",""
"","Total Imports","532"
"","Trade Balance","-532"
"Re-Imports (Canada)","Total Exports",""
"","Total Imports","67950"
"","Trade Balance","-67950"
"Egypt","Total Exports","12841"
"","Total Imports","2913024"
"","Trade Balance","-2900183"
"Russia","Total Exports","3238121"
"","Total Imports","10458537"
"","Trade Balance","-7220416"
"Total All Countries","Total Exports","666829562"
"","Total Imports","36524245"
"","Trade Balance","630305317"

"Source: Trade Data Online (accessed: April 21, 2025)"



