"Title","Canadian trade balances"
"Products","Total for all products"
"Origin","Prince Edward Island"
"Destination","All countries (detailed)"
"Period","Specific year(s): 2007"
"Units","Value in  canadian dollars"

"","","2007"
"United States","Total Exports","562963658"
"","Total Imports","7368515"
"","Trade Balance","555595143"
"Japan","Total Exports","18409094"
"","Total Imports","14379"
"","Trade Balance","18394715"
"United Kingdom","Total Exports","21447791"
"","Total Imports","6054048"
"","Trade Balance","15393743"
"Germany","Total Exports","15163193"
"","Total Imports","1033274"
"","Trade Balance","14129919"
"France (incl. Monaco, French Antilles)","Total Exports","10205686"
"","Total Imports","512934"
"","Trade Balance","9692752"
"Netherlands","Total Exports","9465268"
"","Total Imports","246246"
"","Trade Balance","9219022"
"Kenya","Total Exports","5669862"
"","Total Imports",""
"","Trade Balance","5669862"
"Austria","Total Exports","5669890"
"","Total Imports","1658"
"","Trade Balance","5668232"
"Italy (incl. Vatican City State)","Total Exports","5783273"
"","Total Imports","404945"
"","Trade Balance","5378328"
"Trinidad and Tobago","Total Exports","6977230"
"","Total Imports","1810061"
"","Trade Balance","5167169"
"Chile","Total Exports","4657166"
"","Total Imports","124554"
"","Trade Balance","4532612"
"Belgium","Total Exports","4506022"
"","Total Imports","15384"
"","Trade Balance","4490638"
"Venezuela","Total Exports","4489437"
"","Total Imports",""
"","Trade Balance","4489437"
"Norway","Total Exports","4483718"
"","Total Imports","4212"
"","Trade Balance","4479506"
"South Africa","Total Exports","4261108"
"","Total Imports","112141"
"","Trade Balance","4148967"
"Switzerland","Total Exports","3637988"
"","Total Imports","11591"
"","Trade Balance","3626397"
"Bahamas","Total Exports","3619225"
"","Total Imports",""
"","Trade Balance","3619225"
"Thailand","Total Exports","3576701"
"","Total Imports","3968"
"","Trade Balance","3572733"
"China","Total Exports","4022603"
"","Total Imports","531329"
"","Trade Balance","3491274"
"Jamaica","Total Exports","3435279"
"","Total Imports","12301"
"","Trade Balance","3422978"
"Argentina","Total Exports","3058623"
"","Total Imports","47062"
"","Trade Balance","3011561"
"Barbados","Total Exports","2925720"
"","Total Imports",""
"","Trade Balance","2925720"
"Spain","Total Exports","2905451"
"","Total Imports","66038"
"","Trade Balance","2839413"
"Mexico","Total Exports","3147326"
"","Total Imports","431870"
"","Trade Balance","2715456"
"Australia","Total Exports","3422678"
"","Total Imports","922924"
"","Trade Balance","2499754"
"Korea, South","Total Exports","2436215"
"","Total Imports","20161"
"","Trade Balance","2416054"
"Saudi Arabia","Total Exports","2381896"
"","Total Imports",""
"","Trade Balance","2381896"
"Greenland","Total Exports","2262148"
"","Total Imports",""
"","Trade Balance","2262148"
"Sweden","Total Exports","2284042"
"","Total Imports","45879"
"","Trade Balance","2238163"
"Uruguay","Total Exports","2125300"
"","Total Imports",""
"","Trade Balance","2125300"
"Taiwan","Total Exports","2177827"
"","Total Imports","85443"
"","Trade Balance","2092384"
"Dominican Republic","Total Exports","1947088"
"","Total Imports",""
"","Trade Balance","1947088"
"Guatemala","Total Exports","1859214"
"","Total Imports",""
"","Trade Balance","1859214"
"Brazil","Total Exports","1854840"
"","Total Imports","222"
"","Trade Balance","1854618"
"Indonesia","Total Exports","1838451"
"","Total Imports","3009"
"","Trade Balance","1835442"
"India","Total Exports","1818402"
"","Total Imports","648"
"","Trade Balance","1817754"
"Cuba","Total Exports","1750646"
"","Total Imports",""
"","Trade Balance","1750646"
"Hong Kong","Total Exports","1635671"
"","Total Imports",""
"","Trade Balance","1635671"
"Lebanon","Total Exports","1607703"
"","Total Imports",""
"","Trade Balance","1607703"
"Egypt","Total Exports","1576968"
"","Total Imports","227"
"","Trade Balance","1576741"
"Türkiye","Total Exports","1477558"
"","Total Imports","12508"
"","Trade Balance","1465050"
"Singapore","Total Exports","1416507"
