"Title","Canadian trade balances"
"Products","Total for all products"
"Origin","Prince Edward Island"
"Destination","All countries (detailed)"
"Period","Specific year(s): 2010"
"Units","Value in  canadian dollars"

"","","2010"
"United States","Total Exports","512908228"
"","Total Imports","4452447"
"","Trade Balance","508455781"
"United Kingdom","Total Exports","26512361"
"","Total Imports","724781"
"","Trade Balance","25787580"
"Japan","Total Exports","18339765"
"","Total Imports","8783"
"","Trade Balance","18330982"
"Germany","Total Exports","10109677"
"","Total Imports","119489"
"","Trade Balance","9990188"
"France (incl. Monaco, French Antilles)","Total Exports","9232961"
"","Total Imports","316085"
"","Trade Balance","8916876"
"Indonesia","Total Exports","8309259"
"","Total Imports",""
"","Trade Balance","8309259"
"Australia","Total Exports","7098904"
"","Total Imports","647457"
"","Trade Balance","6451447"
"Kenya","Total Exports","6117775"
"","Total Imports",""
"","Trade Balance","6117775"
"Thailand","Total Exports","6115591"
"","Total Imports","1053"
"","Trade Balance","6114538"
"Netherlands","Total Exports","5935212"
"","Total Imports","58834"
"","Trade Balance","5876378"
"Chile","Total Exports","5979391"
"","Total Imports","174069"
"","Trade Balance","5805322"
"Korea, South","Total Exports","5419500"
"","Total Imports",""
"","Trade Balance","5419500"
"China","Total Exports","5474215"
"","Total Imports","89927"
"","Trade Balance","5384288"
"Brazil","Total Exports","4441170"
"","Total Imports",""
"","Trade Balance","4441170"
"India","Total Exports","4432114"
"","Total Imports","517"
"","Trade Balance","4431597"
"Spain","Total Exports","4371770"
"","Total Imports","84150"
"","Trade Balance","4287620"
"South Africa","Total Exports","4343335"
"","Total Imports","81494"
"","Trade Balance","4261841"
"Trinidad and Tobago","Total Exports","4104142"
"","Total Imports",""
"","Trade Balance","4104142"
"Bahamas","Total Exports","3733372"
"","Total Imports",""
"","Trade Balance","3733372"
"Venezuela","Total Exports","3674563"
"","Total Imports",""
"","Trade Balance","3674563"
"Sweden","Total Exports","3425308"
"","Total Imports","69303"
"","Trade Balance","3356005"
"Papua New Guinea","Total Exports","2674433"
"","Total Imports",""
"","Trade Balance","2674433"
"Denmark","Total Exports","2648049"
"","Total Imports","5175"
"","Trade Balance","2642874"
"Italy (incl. Vatican City State)","Total Exports","2987998"
"","Total Imports","518048"
"","Trade Balance","2469950"
"Ireland","Total Exports","2387586"
"","Total Imports","207343"
"","Trade Balance","2180243"
"Mexico","Total Exports","2132342"
"","Total Imports","60499"
"","Trade Balance","2071843"
"Dominican Republic","Total Exports","1994627"
"","Total Imports","23706"
"","Trade Balance","1970921"
"Tanzania","Total Exports","1711417"
"","Total Imports",""
"","Trade Balance","1711417"
"Costa Rica","Total Exports","1608220"
"","Total Imports",""
"","Trade Balance","1608220"
"Jamaica","Total Exports","1537449"
"","Total Imports","9562"
"","Trade Balance","1527887"
"Taiwan","Total Exports","1529014"
"","Total Imports","3800"
"","Trade Balance","1525214"
"Philippines","Total Exports","1501187"
"","Total Imports",""
"","Trade Balance","1501187"
"Hong Kong","Total Exports","1430479"
"","Total Imports",""
"","Trade Balance","1430479"
"Singapore","Total Exports","1338695"
"","Total Imports",""
"","Trade Balance","1338695"
"Uruguay","Total Exports","1292758"
"","Total Imports",""
"","Trade Balance","1292758"
"Switzerland","Total Exports","1300636"
"","Total Imports","10608"
"","Trade Balance","1290028"
"Barbados","Total Exports","1284818"
"","Total Imports",""
"","Trade Balance","1284818"
"New Zealand","Total Exports","1383972"
"","Total Imports","138405"
"","Trade Balance","1245567"
"Malaysia","Total Exports","1142203"
"","Total Imports","392"
"","Trade Balance","1141811"
"Türkiye","Total Exports","1031740"
"","Total Imports","426"
"","Trade Balance","1031314"
"Saudi Arabia","Total Exports","1018794"
"","Total Imports","500"
"","Trade Balance","1018294"
"Qatar","Total Exports","866802"
"","Total Imports",""
"","Trade Balance","866802"
"Guatemala","Total Exports","865536"
"","Total Imports",""
"","Trade Balance","865536"
"Côte-d'Ivoire","Total Exports","853104"
"","Total Imports",""
"","Trade Balance","853104"
"Cuba","Total Exports","781400"
"","Total Imports",""
"","Trade Balance","781400"
"Afghanistan","Total Exports","745820"
"","Total Imports",""
"","Trade Balance","745820"
"Belgium","Total Exports","706022"
"","Total Imports","5541"
"","Trade Balance","700481"
"Bangladesh","Total Exports","686515"
"","Total Imports",""
"","Trade Balance","686515"
"Greenland","Total Exports","678268"
"","Total Imports",""
"","Trade Balance","678268"
"Iceland","Total Exports","656409"
"","Total Imports",""
"","Trade Balance","656409"
