"Title","Canadian trade balances"
"Products","Total for all products"
"Origin","Prince Edward Island"
"Destination","All countries (detailed)"
"Period","Specific year(s): 2013"
"Units","Value in  canadian dollars"

"","","2013"
"United States","Total Exports","634699286"
"","Total Imports","6826516"
"","Trade Balance","627872770"
"France (incl. Monaco, French Antilles)","Total Exports","20683112"
"","Total Imports","413160"
"","Trade Balance","20269952"
"Japan","Total Exports","18313777"
"","Total Imports","35192"
"","Trade Balance","18278585"
"United Kingdom","Total Exports","17176259"
"","Total Imports","611877"
"","Trade Balance","16564382"
"Indonesia","Total Exports","14551240"
"","Total Imports",""
"","Trade Balance","14551240"
"Kenya","Total Exports","14373625"
"","Total Imports",""
"","Trade Balance","14373625"
"China","Total Exports","11008700"
"","Total Imports","83150"
"","Trade Balance","10925550"
"Germany","Total Exports","10886359"
"","Total Imports","169693"
"","Trade Balance","10716666"
"Israel","Total Exports","9961174"
"","Total Imports",""
"","Trade Balance","9961174"
"Australia","Total Exports","10279959"
"","Total Imports","459320"
"","Trade Balance","9820639"
"Afghanistan","Total Exports","8983805"
"","Total Imports",""
"","Trade Balance","8983805"
"Trinidad and Tobago","Total Exports","8922936"
"","Total Imports","1620365"
"","Trade Balance","7302571"
"Thailand","Total Exports","7036668"
"","Total Imports",""
"","Trade Balance","7036668"
"South Africa","Total Exports","6777578"
"","Total Imports","123350"
"","Trade Balance","6654228"
"Tanzania","Total Exports","5686488"
"","Total Imports",""
"","Trade Balance","5686488"
"Brazil","Total Exports","5459094"
"","Total Imports",""
"","Trade Balance","5459094"
"Denmark","Total Exports","5151175"
"","Total Imports","16032"
"","Trade Balance","5135143"
"Korea, South","Total Exports","4794478"
"","Total Imports",""
"","Trade Balance","4794478"
"Singapore","Total Exports","4774648"
"","Total Imports",""
"","Trade Balance","4774648"
"Papua New Guinea","Total Exports","4690312"
"","Total Imports",""
"","Trade Balance","4690312"
"Belgium","Total Exports","4415222"
"","Total Imports","17062"
"","Trade Balance","4398160"
"Taiwan","Total Exports","4334431"
"","Total Imports","60578"
"","Trade Balance","4273853"
"Austria","Total Exports","4172707"
"","Total Imports","8180"
"","Trade Balance","4164527"
"Switzerland","Total Exports","3807815"
"","Total Imports",""
"","Trade Balance","3807815"
"Netherlands","Total Exports","3748001"
"","Total Imports","46908"
"","Trade Balance","3701093"
"Venezuela","Total Exports","3412080"
"","Total Imports",""
"","Trade Balance","3412080"
"Costa Rica","Total Exports","3091103"
"","Total Imports",""
"","Trade Balance","3091103"
"Barbados","Total Exports","2964963"
"","Total Imports",""
"","Trade Balance","2964963"
"Greenland","Total Exports","2860281"
"","Total Imports",""
"","Trade Balance","2860281"
"Hong Kong","Total Exports","2722787"
"","Total Imports",""
"","Trade Balance","2722787"
"Bahamas","Total Exports","2698482"
"","Total Imports",""
"","Trade Balance","2698482"
"Ireland","Total Exports","2836081"
"","Total Imports","235458"
"","Trade Balance","2600623"
"Malta","Total Exports","2521094"
"","Total Imports",""
"","Trade Balance","2521094"
"New Zealand","Total Exports","2720956"
"","Total Imports","314900"
"","Trade Balance","2406056"
"Malaysia","Total Exports","2365493"
"","Total Imports","1492"
"","Trade Balance","2364001"
"Côte-d'Ivoire","Total Exports","2348763"
"","Total Imports",""
"","Trade Balance","2348763"
"Uganda","Total Exports","1814696"
"","Total Imports",""
"","Trade Balance","1814696"
"Sweden","Total Exports","1918093"
"","Total Imports","128683"
"","Trade Balance","1789410"
"Jamaica","Total Exports","1769863"
"","Total Imports","9887"
"","Trade Balance","1759976"
"Nigeria","Total Exports","1733756"
"","Total Imports",""
"","Trade Balance","1733756"
"Ghana","Total Exports","1719135"
"","Total Imports",""
"","Trade Balance","1719135"
"Peru","Total Exports","1532689"
"","Total Imports",""
"","Trade Balance","1532689"
"Netherlands Antilles","Total Exports","1525798"
"","Total Imports",""
"","Trade Balance","1525798"
"Italy (incl. Vatican City State)","Total Exports","2045864"
"","Total Imports","663317"
"","Trade Balance","1382547"
"Bangladesh","Total Exports","1371162"
"","Total Imports",""
"","Trade Balance","1371162"
"Guatemala","Total Exports","1280600"
"","Total Imports",""
"","Trade Balance","1280600"
"Czech Republic","Total Exports","1000745"
"","Total Imports","8189"
"","Trade Balance","992556"
"India","Total Exports","1000322"
"","Total Imports","7890"
"","Trade Balance","992432"
"Türkiye","Total Exports","988271"
"","Total Imports",""
