"Title","Canadian trade balances"
"Products","Total for all products"
"Origin","Prince Edward Island"
"Destination","All countries (detailed)"
"Period","Specific year(s): 2015"
"Units","Value in  canadian dollars"

"","","2015"
"United States","Total Exports","804016101"
"","Total Imports","25917512"
"","Trade Balance","778098589"
"Korea, South","Total Exports","75952256"
"","Total Imports","16948"
"","Trade Balance","75935308"
"France (incl. Monaco, French Antilles)","Total Exports","40655998"
"","Total Imports","753689"
"","Trade Balance","39902309"
"Germany","Total Exports","35145319"
"","Total Imports","1499349"
"","Trade Balance","33645970"
"Japan","Total Exports","31764563"
"","Total Imports","354449"
"","Trade Balance","31410114"
"Australia","Total Exports","29627279"
"","Total Imports","434140"
"","Trade Balance","29193139"
"United Kingdom","Total Exports","25632569"
"","Total Imports","893346"
"","Trade Balance","24739223"
"Papua New Guinea","Total Exports","22215260"
"","Total Imports",""
"","Trade Balance","22215260"
"Switzerland","Total Exports","17656558"
"","Total Imports","11853"
"","Trade Balance","17644705"
"Netherlands","Total Exports","13571154"
"","Total Imports","13010"
"","Trade Balance","13558144"
"China","Total Exports","13358097"
"","Total Imports","474554"
"","Trade Balance","12883543"
"Brazil","Total Exports","9949182"
"","Total Imports","16236"
"","Trade Balance","9932946"
"Belgium","Total Exports","9822034"
"","Total Imports","3340"
"","Trade Balance","9818694"
"Indonesia","Total Exports","9215313"
"","Total Imports",""
"","Trade Balance","9215313"
"Spain","Total Exports","9313051"
"","Total Imports","143464"
"","Trade Balance","9169587"
"Singapore","Total Exports","8924539"
"","Total Imports",""
"","Trade Balance","8924539"
"Kenya","Total Exports","8055332"
"","Total Imports",""
"","Trade Balance","8055332"
"Philippines","Total Exports","6811337"
"","Total Imports",""
"","Trade Balance","6811337"
"Israel","Total Exports","8311130"
"","Total Imports","1702161"
"","Trade Balance","6608969"
"Thailand","Total Exports","6441583"
"","Total Imports",""
"","Trade Balance","6441583"
"Taiwan","Total Exports","6380660"
"","Total Imports","29263"
"","Trade Balance","6351397"
"Mexico","Total Exports","6082266"
"","Total Imports","11493"
"","Trade Balance","6070773"
"Trinidad and Tobago","Total Exports","8104867"
"","Total Imports","2313276"
"","Trade Balance","5791591"
"Afghanistan","Total Exports","4821530"
"","Total Imports",""
"","Trade Balance","4821530"
"South Africa","Total Exports","4576898"
"","Total Imports","108625"
"","Trade Balance","4468273"
"Italy (incl. Vatican City State)","Total Exports","5299502"
"","Total Imports","871059"
"","Trade Balance","4428443"
"Tanzania","Total Exports","4076635"
"","Total Imports",""
"","Trade Balance","4076635"
"Hong Kong","Total Exports","4047154"
"","Total Imports",""
"","Trade Balance","4047154"
"Denmark","Total Exports","3678277"
"","Total Imports","17236"
"","Trade Balance","3661041"
"Malaysia","Total Exports","3637447"
"","Total Imports",""
"","Trade Balance","3637447"
"Gabon","Total Exports","3443068"
"","Total Imports",""
"","Trade Balance","3443068"
"Costa Rica","Total Exports","3292379"
"","Total Imports",""
"","Trade Balance","3292379"
"Chile","Total Exports","3512804"
"","Total Imports","236139"
"","Trade Balance","3276665"
"Myanmar (Burma)","Total Exports","2931509"
"","Total Imports",""
"","Trade Balance","2931509"
"Bahamas","Total Exports","2883716"
"","Total Imports",""
"","Trade Balance","2883716"
"Vietnam","Total Exports","2591444"
"","Total Imports",""
"","Trade Balance","2591444"
"Nigeria","Total Exports","2548758"
"","Total Imports",""
"","Trade Balance","2548758"
"Iceland","Total Exports","2493701"
"","Total Imports","13026"
"","Trade Balance","2480675"
"Barbados","Total Exports","2382827"
"","Total Imports",""
"","Trade Balance","2382827"
"Jamaica","Total Exports","2289809"
"","Total Imports","12181"
"","Trade Balance","2277628"
"Guatemala","Total Exports","2270321"
"","Total Imports",""
"","Trade Balance","2270321"
"Uruguay","Total Exports","1952836"
"","Total Imports",""
"","Trade Balance","1952836"
"Sweden","Total Exports","2049682"
"","Total Imports","131555"
"","Trade Balance","1918127"
"Ireland","Total Exports","2191143"
"","Total Imports","288378"
"","Trade Balance","1902765"
"Peru","Total Exports","1881613"
"","Total Imports","2458"
"","Trade Balance","1879155"
"New Zealand","Total Exports","2236498"
"","Total Imports","365097"
"","Trade Balance","1871401"
"Panama","Total Exports","1720576"
"","Total Imports",""
"","Trade Balance","1720576"
"Türkiye","Total Exports","1698196"
"","Total Imports",""
"","Trade Balance","1698196"
"Venezuela","Total Exports","1617099"
"","Total Imports",""
"","Trade Balance","1617099"
"Chad","Total Exports","1382355"
"","Total Imports",""
"","Trade Balance","1382355"
"Solomon Islands","Total Exports","1281703"
"","Total Imports",""
"","Trade Balance","1281703"
"Burkina Faso","Total Exports","1092536"
"","Total Imports",""
"","Trade Balance","1092536"
"Greenland","Total Exports","1023011"
"","Total Imports",""
"","Trade Balance","1023011"
"Slovenia","Total Exports","938620"
"","Total Imports",""
"","Trade Balance","938620"
"Colombia","Total Exports","939866"
"","Total Imports","10498"
"","Trade Balance","929368"
"Dominican Republic","Total Exports","905346"
"","Total Imports",""
"","Trade Balance","905346"
"Saudi Arabia","Total Exports","873626"
"","Total Imports",""
"","Trade Balance","873626"
"Morocco","Total Exports","873614"
"","Total Imports",""
"","Trade Balance","873614"
"Czech Republic","Total Exports","897150"
"","Total Imports","64961"
"","Trade Balance","832189"
"India","Total Exports","1961569"
"","Total Imports","1335568"
"","Trade Balance","626001"
"United Arab Emirates","Total Exports","644212"
"","Total Imports","24483"
"","Trade Balance","619729"
