"Title","Canadian trade balances"
"Products","Total for all products"
"Origin","Prince Edward Island"
"Destination","All countries (detailed)"
"Period","Specific year(s): 2017"
"Units","Value in  canadian dollars"

"","","2017"
"United States","Total Exports","1017812605"
"","Total Imports","29482302"
"","Trade Balance","988330303"
"Germany","Total Exports","45671083"
"","Total Imports","1302718"
"","Trade Balance","44368365"
"Singapore","Total Exports","21838999"
"","Total Imports",""
"","Trade Balance","21838999"
"Korea, South","Total Exports","19361684"
"","Total Imports",""
"","Trade Balance","19361684"
"France (incl. Monaco, French Antilles)","Total Exports","26380081"
"","Total Imports","8213648"
"","Trade Balance","18166433"
"Japan","Total Exports","17176472"
"","Total Imports","179602"
"","Trade Balance","16996870"
"United Kingdom","Total Exports","17859681"
"","Total Imports","1120554"
"","Trade Balance","16739127"
"China","Total Exports","17166821"
"","Total Imports","946957"
"","Trade Balance","16219864"
"Australia","Total Exports","16449853"
"","Total Imports","312533"
"","Trade Balance","16137320"
"Afghanistan","Total Exports","15216753"
"","Total Imports",""
"","Trade Balance","15216753"
"Chile","Total Exports","9054420"
"","Total Imports","194392"
"","Trade Balance","8860028"
"Brazil","Total Exports","8464863"
"","Total Imports","152330"
"","Trade Balance","8312533"
"Netherlands","Total Exports","7896298"
"","Total Imports","11083"
"","Trade Balance","7885215"
"Taiwan","Total Exports","7732550"
"","Total Imports","1366"
"","Trade Balance","7731184"
"Kenya","Total Exports","7668539"
"","Total Imports",""
"","Trade Balance","7668539"
"Switzerland","Total Exports","7271132"
"","Total Imports","66528"
"","Trade Balance","7204604"
"Vietnam","Total Exports","6849534"
"","Total Imports",""
"","Trade Balance","6849534"
"Trinidad and Tobago","Total Exports","6695508"
"","Total Imports",""
"","Trade Balance","6695508"
"Hong Kong","Total Exports","6506219"
"","Total Imports",""
"","Trade Balance","6506219"
"Belgium","Total Exports","6265348"
"","Total Imports","295345"
"","Trade Balance","5970003"
"Thailand","Total Exports","5518148"
"","Total Imports","7"
"","Trade Balance","5518141"
"South Africa","Total Exports","4675925"
"","Total Imports","63330"
"","Trade Balance","4612595"
"Italy (incl. Vatican City State)","Total Exports","5297522"
"","Total Imports","795417"
"","Trade Balance","4502105"
"Bahamas","Total Exports","3322116"
"","Total Imports",""
"","Trade Balance","3322116"
"Spain","Total Exports","3343419"
"","Total Imports","108033"
"","Trade Balance","3235386"
"Israel","Total Exports","4613728"
"","Total Imports","1425587"
"","Trade Balance","3188141"
"Philippines","Total Exports","3160250"
"","Total Imports",""
"","Trade Balance","3160250"
"Malaysia","Total Exports","3118804"
"","Total Imports","1622"
"","Trade Balance","3117182"
"Jamaica","Total Exports","3053787"
"","Total Imports","1436"
"","Trade Balance","3052351"
"Maldives","Total Exports","2982062"
"","Total Imports",""
"","Trade Balance","2982062"
"Indonesia","Total Exports","2967267"
"","Total Imports",""
"","Trade Balance","2967267"
"Papua New Guinea","Total Exports","2711202"
"","Total Imports",""
"","Trade Balance","2711202"
"Costa Rica","Total Exports","2610756"
"","Total Imports",""
"","Trade Balance","2610756"
"Angola","Total Exports","2595848"
"","Total Imports",""
"","Trade Balance","2595848"
"Denmark","Total Exports","2497161"
"","Total Imports","28643"
"","Trade Balance","2468518"
"Mexico","Total Exports","2451606"
"","Total Imports","5299"
"","Trade Balance","2446307"
"Colombia","Total Exports","2388649"
"","Total Imports",""
"","Trade Balance","2388649"
"Sweden","Total Exports","2584210"
"","Total Imports","220065"
"","Trade Balance","2364145"
"New Zealand","Total Exports","2778599"
"","Total Imports","429774"
"","Trade Balance","2348825"
"Barbados","Total Exports","2191027"
"","Total Imports",""
"","Trade Balance","2191027"
"Iceland","Total Exports","2057374"
"","Total Imports",""
"","Trade Balance","2057374"
"Austria","Total Exports","2032640"
"","Total Imports","96265"
"","Trade Balance","1936375"
"Solomon Islands","Total Exports","1712776"
"","Total Imports",""
"","Trade Balance","1712776"
"Tanzania","Total Exports","1420477"
"","Total Imports",""
"","Trade Balance","1420477"
"Nigeria","Total Exports","1387506"
"","Total Imports",""
"","Trade Balance","1387506"
"Guatemala","Total Exports","1300913"
"","Total Imports",""
"","Trade Balance","1300913"
"Ireland","Total Exports","1490840"
"","Total Imports","344541"
"","Trade Balance","1146299"
"Dominican Republic","Total Exports","995921"
"","Total Imports",""
"","Trade Balance","995921"
"Chad","Total Exports","962302"
"","Total Imports",""
"","Trade Balance","962302"
"Saudi Arabia","Total Exports","948218"
"","Total Imports",""
"","Trade Balance","948218"
"Saint Lucia","Total Exports","935057"
"","Total Imports",""
"","Trade Balance","935057"
"Uruguay","Total Exports","882109"
"","Total Imports",""
"","Trade Balance","882109"
"Panama","Total Exports","776686"
"","Total Imports",""
"","Trade Balance","776686"
"United Arab Emirates","Total Exports","745267"
"","Total Imports",""
"","Trade Balance","745267"
"Uganda","Total Exports","718092"
"","Total Imports",""
"","Trade Balance","718092"
"Senegal","Total Exports","675853"
"","Total Imports",""
"","Trade Balance","675853"
"Curacao","Total Exports","641252"
"","Total Imports",""
"","Trade Balance","641252"
"Poland","Total Exports","584481"
"","Total Imports",""
"","Trade Balance","584481"
"Türkiye","Total Exports","583652"
"","Total Imports","591"
"","Trade Balance","583061"
"Cayman Islands","Total Exports","523743"
"","Total Imports",""
"","Trade Balance","523743"
"India","Total Exports","917682"
"","Total Imports","395407"
"","Trade Balance","522275"
"Côte-d'Ivoire","Total Exports","514324"
"","Total Imports",""
"","Trade Balance","514324"
"Czech Republic","Total Exports","419696"
"","Total Imports",""
