"Title","Canadian trade balances"
"Products","Total for all products"
"Origin","Prince Edward Island"
"Destination","All countries (detailed)"
"Period","Specific year(s): 2018"
"Units","Value in  canadian dollars"

"","","2018"
"United States","Total Exports","1076798045"
"","Total Imports","34435616"
"","Trade Balance","1042362429"
"Germany","Total Exports","34652570"
"","Total Imports","1479797"
"","Trade Balance","33172773"
"Netherlands","Total Exports","27608913"
"","Total Imports","1984893"
"","Trade Balance","25624020"
"France (incl. Monaco, French Antilles)","Total Exports","25623733"
"","Total Imports","70934"
"","Trade Balance","25552799"
"China","Total Exports","23935313"
"","Total Imports","1731372"
"","Trade Balance","22203941"
"United Kingdom","Total Exports","19303263"
"","Total Imports","715157"
"","Trade Balance","18588106"
"Japan","Total Exports","18377844"
"","Total Imports","237340"
"","Trade Balance","18140504"
"Australia","Total Exports","17812903"
"","Total Imports","20611"
"","Trade Balance","17792292"
"Korea, South","Total Exports","14453839"
"","Total Imports","43914"
"","Trade Balance","14409925"
"Brazil","Total Exports","13160398"
"","Total Imports",""
"","Trade Balance","13160398"
"Israel","Total Exports","12099201"
"","Total Imports","642277"
"","Trade Balance","11456924"
"Singapore","Total Exports","10120734"
"","Total Imports",""
"","Trade Balance","10120734"
"Taiwan","Total Exports","7796786"
"","Total Imports","3851"
"","Trade Balance","7792935"
"Switzerland","Total Exports","7556871"
"","Total Imports","200711"
"","Trade Balance","7356160"
"Trinidad and Tobago","Total Exports","7205947"
"","Total Imports",""
"","Trade Balance","7205947"
"Kenya","Total Exports","7147399"
"","Total Imports",""
"","Trade Balance","7147399"
"Thailand","Total Exports","6921911"
"","Total Imports",""
"","Trade Balance","6921911"
"Greece","Total Exports","6695640"
"","Total Imports",""
"","Trade Balance","6695640"
"Vietnam","Total Exports","5965671"
"","Total Imports",""
"","Trade Balance","5965671"
"Morocco","Total Exports","5548424"
"","Total Imports",""
"","Trade Balance","5548424"
"Chile","Total Exports","5326884"
"","Total Imports","8700"
"","Trade Balance","5318184"
"Sweden","Total Exports","4903462"
"","Total Imports","2481"
"","Trade Balance","4900981"
"Denmark","Total Exports","4654559"
"","Total Imports","1901"
"","Trade Balance","4652658"
