"Title","Canadian trade balances"
"Products","Total for all products"
"Origin","Prince Edward Island"
"Destination","All countries (detailed)"
"Period","Specific year(s): 2020"
"Units","Value in  canadian dollars"

"","","2020"
"United States","Total Exports","1195065281"
"","Total Imports","19985656"
"","Trade Balance","1175079625"
"Belgium","Total Exports","48987809"
"","Total Imports","3085"
"","Trade Balance","48984724"
"France (incl. Monaco, French Antilles)","Total Exports","47372824"
"","Total Imports","388027"
"","Trade Balance","46984797"
"Germany","Total Exports","31833218"
"","Total Imports","988398"
"","Trade Balance","30844820"
"Brazil","Total Exports","30840671"
"","Total Imports",""
"","Trade Balance","30840671"
"China","Total Exports","31910267"
"","Total Imports","2776243"
"","Trade Balance","29134024"
"Japan","Total Exports","26951092"
"","Total Imports","379737"
"","Trade Balance","26571355"
"United Kingdom","Total Exports","21633273"
"","Total Imports","979076"
"","Trade Balance","20654197"
"Australia","Total Exports","19776357"
"","Total Imports","46032"
"","Trade Balance","19730325"
"Spain","Total Exports","16645029"
"","Total Imports","34533"
"","Trade Balance","16610496"
"Taiwan","Total Exports","15460606"
"","Total Imports","11639"
"","Trade Balance","15448967"
"Korea, South","Total Exports","12959640"
"","Total Imports","109604"
"","Trade Balance","12850036"
"Malaysia","Total Exports","7991377"
"","Total Imports","11718"
"","Trade Balance","7979659"
"Panama","Total Exports","7073361"
"","Total Imports",""
"","Trade Balance","7073361"
"Switzerland","Total Exports","6607821"
"","Total Imports","14894"
"","Trade Balance","6592927"
"Singapore","Total Exports","6522350"
"","Total Imports","2194"
"","Trade Balance","6520156"
"Thailand","Total Exports","6036207"
"","Total Imports",""
"","Trade Balance","6036207"
"United Arab Emirates","Total Exports","5531500"
"","Total Imports",""
"","Trade Balance","5531500"
"South Africa","Total Exports","5514790"
"","Total Imports","11"
"","Trade Balance","5514779"
"Indonesia","Total Exports","5307852"
"","Total Imports",""
"","Trade Balance","5307852"
"Trinidad and Tobago","Total Exports","5074677"
"","Total Imports",""
"","Trade Balance","5074677"
"Ireland","Total Exports","5047982"
"","Total Imports","11942"
"","Trade Balance","5036040"
"Hong Kong","Total Exports","4644421"
"","Total Imports","4330"
"","Trade Balance","4640091"
"Italy (incl. Vatican City State)","Total Exports","4690215"
"","Total Imports","291512"
"","Trade Balance","4398703"
"Chile","Total Exports","4336802"
"","Total Imports","11054"
"","Trade Balance","4325748"
"Mexico","Total Exports","4377579"
"","Total Imports","430473"
"","Trade Balance","3947106"
"Denmark","Total Exports","2908149"
"","Total Imports","12376"
"","Trade Balance","2895773"
"Nigeria","Total Exports","2869583"
"","Total Imports",""
"","Trade Balance","2869583"
"Romania","Total Exports","2674061"
"","Total Imports",""
"","Trade Balance","2674061"
"Jamaica","Total Exports","2327201"
"","Total Imports",""
"","Trade Balance","2327201"
"Qatar","Total Exports","2043506"
"","Total Imports",""
"","Trade Balance","2043506"
"Saudi Arabia","Total Exports","1856758"
"","Total Imports",""
"","Trade Balance","1856758"
"Kenya","Total Exports","1825333"
"","Total Imports",""
"","Trade Balance","1825333"
"Maldives","Total Exports","1780903"
"","Total Imports",""
"","Trade Balance","1780903"
"India","Total Exports","2049809"
"","Total Imports","290702"
"","Trade Balance","1759107"
"Luxembourg","Total Exports","1681076"
"","Total Imports",""
"","Trade Balance","1681076"
"Egypt","Total Exports","1673832"
"","Total Imports",""
"","Trade Balance","1673832"
"Colombia","Total Exports","1645175"
"","Total Imports",""
"","Trade Balance","1645175"
"Niger","Total Exports","1477478"
"","Total Imports",""
"","Trade Balance","1477478"
"Papua New Guinea","Total Exports","1472021"
"","Total Imports",""
"","Trade Balance","1472021"
"Bahamas","Total Exports","1395727"
"","Total Imports",""
"","Trade Balance","1395727"
"Costa Rica","Total Exports","1352343"
"","Total Imports",""
"","Trade Balance","1352343"
"Bulgaria","Total Exports","1292283"
"","Total Imports","5545"
"","Trade Balance","1286738"
"Vietnam","Total Exports","1276020"
"","Total Imports","510"
"","Trade Balance","1275510"
"Iceland","Total Exports","1274803"
"","Total Imports","11531"
"","Trade Balance","1263272"
"Guatemala","Total Exports","1249734"
"","Total Imports",""
"","Trade Balance","1249734"
"New Zealand","Total Exports","1177128"
"","Total Imports","24628"
"","Trade Balance","1152500"
"Barbados","Total Exports","1142979"
"","Total Imports",""
"","Trade Balance","1142979"
"Djibouti","Total Exports","1139513"
"","Total Imports",""
"","Trade Balance","1139513"
"Saint Lucia","Total Exports","1009803"
"","Total Imports",""
"","Trade Balance","1009803"
"Pakistan","Total Exports","999387"
"","Total Imports","5291"
"","Trade Balance","994096"
"Sweden","Total Exports","1820338"
"","Total Imports","862854"
"","Trade Balance","957484"
"Ethiopia","Total Exports","820714"
"","Total Imports",""
"","Trade Balance","820714"
"Greece","Total Exports","807518"
"","Total Imports",""
"","Trade Balance","807518"
"Uganda","Total Exports","689967"
"","Total Imports",""
"","Trade Balance","689967"
"Norway","Total Exports","641751"
"","Total Imports",""
"","Trade Balance","641751"
"Uruguay","Total Exports","545480"
"","Total Imports",""
"","Trade Balance","545480"
"Israel","Total Exports","2040065"
"","Total Imports","1509435"
"","Trade Balance","530630"
"Türkiye","Total Exports","525160"
"","Total Imports",""
"","Trade Balance","525160"
"Cayman Islands","Total Exports","523079"
"","Total Imports",""
"","Trade Balance","523079"
"Poland","Total Exports","598609"
"","Total Imports","99126"
"","Trade Balance","499483"
"Dominican Republic","Total Exports","494168"
"","Total Imports",""
