"Title","Canadian trade balances"
"Products","Total for all products"
"Origin","Prince Edward Island"
"Destination","All countries (detailed)"
"Period","Specific year(s): 2021"
"Units","Value in  canadian dollars"

"","","2021"
"United States","Total Exports","1386474903"
"","Total Imports","30079743"
"","Trade Balance","1356395160"
"France (incl. Monaco, French Antilles)","Total Exports","51574985"
"","Total Imports","197665"
"","Trade Balance","51377320"
"Germany","Total Exports","29841698"
"","Total Imports","675144"
"","Trade Balance","29166554"
"Belgium","Total Exports","28869574"
"","Total Imports","145353"
"","Trade Balance","28724221"
"China","Total Exports","28851778"
"","Total Imports","1582035"
"","Trade Balance","27269743"
"United Kingdom","Total Exports","25354570"
"","Total Imports","1037333"
"","Trade Balance","24317237"
"Brazil","Total Exports","23143507"
"","Total Imports",""
"","Trade Balance","23143507"
"Japan","Total Exports","19316207"
"","Total Imports","327600"
"","Trade Balance","18988607"
"Spain","Total Exports","17389643"
"","Total Imports","1387"
"","Trade Balance","17388256"
"Taiwan","Total Exports","15571458"
"","Total Imports","4640"
"","Trade Balance","15566818"
"Australia","Total Exports","14183272"
"","Total Imports","44635"
"","Trade Balance","14138637"
"Korea, South","Total Exports","11679431"
"","Total Imports","57476"
"","Trade Balance","11621955"
"Ireland","Total Exports","7623984"
"","Total Imports","12800"
"","Trade Balance","7611184"
"Panama","Total Exports","7541252"
"","Total Imports",""
"","Trade Balance","7541252"
"South Africa","Total Exports","7093003"
"","Total Imports",""
"","Trade Balance","7093003"
"Thailand","Total Exports","6410960"
"","Total Imports","1287"
"","Trade Balance","6409673"
"Maldives","Total Exports","5917272"
"","Total Imports",""
"","Trade Balance","5917272"
"Italy (incl. Vatican City State)","Total Exports","5988948"
"","Total Imports","351013"
"","Trade Balance","5637935"
"Denmark","Total Exports","5536192"
"","Total Imports","1545"
"","Trade Balance","5534647"
"Trinidad and Tobago","Total Exports","5314713"
"","Total Imports",""
"","Trade Balance","5314713"
"Hong Kong","Total Exports","5251819"
"","Total Imports","9975"
"","Trade Balance","5241844"
"Indonesia","Total Exports","4837436"
"","Total Imports",""
"","Trade Balance","4837436"
"Singapore","Total Exports","4549149"
"","Total Imports","3797"
"","Trade Balance","4545352"
"Sweden","Total Exports","4601671"
