"Title","Canadian trade balances"
"Products","Total for all products"
"Origin","Quebec"
"Destination","All countries (detailed)"
"Period","Specific year(s): 1990"
"Units","Value in  canadian dollars"

"","","1990"
"United States","Total Exports","20132983609"
"","Total Imports","12066750627"
"","Trade Balance","8066232982"
"Netherlands","Total Exports","736945179"
"","Total Imports","249254662"
"","Trade Balance","487690517"
"Türkiye","Total Exports","97229753"
"","Total Imports","52182785"
"","Trade Balance","45046968"
"Israel","Total Exports","65094699"
"","Total Imports","32012059"
"","Trade Balance","33082640"
"Algeria","Total Exports","44413592"
"","Total Imports","11845562"
"","Trade Balance","32568030"
"Saudi Arabia","Total Exports","40753859"
"","Total Imports","9515834"
"","Trade Balance","31238025"
"Iran","Total Exports","36797880"
"","Total Imports","7763871"
"","Trade Balance","29034009"
"Egypt","Total Exports","26187074"
"","Total Imports","8091713"
"","Trade Balance","18095361"
"Libya","Total Exports","16069672"
"","Total Imports",""
"","Trade Balance","16069672"
"Tanzania","Total Exports","13606276"
"","Total Imports","731124"
"","Trade Balance","12875152"
"Trinidad and Tobago","Total Exports","13942982"
"","Total Imports","2399761"
"","Trade Balance","11543221"
"Barbados","Total Exports","10548942"
"","Total Imports","282705"
"","Trade Balance","10266237"
"Saint Pierre-Miquelon","Total Exports","7909453"
"","Total Imports","38997"
"","Trade Balance","7870456"
"Cyprus","Total Exports","7444544"
"","Total Imports","259409"
"","Trade Balance","7185135"
"Panama","Total Exports","7390485"
"","Total Imports","658944"
"","Trade Balance","6731541"
"Bermuda","Total Exports","7352644"
"","Total Imports","943571"
"","Trade Balance","6409073"
"Tunisia","Total Exports","6379980"
"","Total Imports","1258394"
"","Trade Balance","5121586"
"Gabon","Total Exports","4094867"
"","Total Imports","2179"
"","Trade Balance","4092688"
"Saint Kitts and Nevis","Total Exports","3907578"
"","Total Imports","5"
"","Trade Balance","3907573"
"Cameroon","Total Exports","5419974"
"","Total Imports","1701943"
"","Trade Balance","3718031"
"Guatemala","Total Exports","12938153"
"","Total Imports","9292031"
"","Trade Balance","3646122"
"Bahamas","Total Exports","6602661"
"","Total Imports","3340369"
"","Trade Balance","3262292"
"Lebanon","Total Exports","6180706"
"","Total Imports","2928090"
"","Trade Balance","3252616"
"Vietnam","Total Exports","3184016"
"","Total Imports","151651"
"","Trade Balance","3032365"
"Antigua and Barbuda","Total Exports","2954292"
"","Total Imports","85362"
"","Trade Balance","2868930"
"Yemen","Total Exports","2651410"
"","Total Imports","16443"
"","Trade Balance","2634967"
"Namibia","Total Exports","2312786"
"","Total Imports",""
"","Trade Balance","2312786"
"Zambia (Zambi)","Total Exports","2056372"
"","Total Imports","33"
"","Trade Balance","2056339"
"Ethiopia","Total Exports","3562854"
"","Total Imports","1563785"
"","Trade Balance","1999069"
"Ghana","Total Exports","3237409"
"","Total Imports","1482882"
"","Trade Balance","1754527"
"Bolivia","Total Exports","2934589"
"","Total Imports","1256917"
"","Trade Balance","1677672"
"Guadeloupe","Total Exports","1675584"
"","Total Imports","36943"
"","Trade Balance","1638641"
"French Polynesia","Total Exports","1627335"
"","Total Imports","7526"
"","Trade Balance","1619809"
"Iraq","Total Exports","1641465"
"","Total Imports","156376"
"","Trade Balance","1485089"
"Syria","Total Exports","1476333"
"","Total Imports","58657"
"","Trade Balance","1417676"
"Senegal","Total Exports","2554234"
"","Total Imports","1137645"
"","Trade Balance","1416589"
"Grenada","Total Exports","1436630"
"","Total Imports","70326"
"","Trade Balance","1366304"
"Paraguay","Total Exports","1735779"
"","Total Imports","420076"
"","Trade Balance","1315703"
"Greenland","Total Exports","1325619"
"","Total Imports","27448"
"","Trade Balance","1298171"
"Iceland","Total Exports","3666648"
"","Total Imports","2371391"
"","Trade Balance","1295257"
"Saint Lucia","Total Exports","1322271"
"","Total Imports","69867"
"","Trade Balance","1252404"
"Botswana","Total Exports","1254781"
"","Total Imports","10996"
"","Trade Balance","1243785"
"Martinique","Total Exports","1277762"
"","Total Imports","55709"
"","Trade Balance","1222053"
"Burkina Faso","Total Exports","1211394"
"","Total Imports","875"
"","Trade Balance","1210519"
"Congo (formerly Zaire)","Total Exports","2131884"
"","Total Imports","1003258"
"","Trade Balance","1128626"
"Oman (formerly Muscat and Oman)","Total Exports","1167692"
"","Total Imports","49148"
"","Trade Balance","1118544"
"Niger","Total Exports","1015686"
"","Total Imports","4210"
"","Trade Balance","1011476"
"Saint Vincent and the Grenadines","Total Exports","850355"
"","Total Imports","131"
"","Trade Balance","850224"
"Papua New Guinea","Total Exports","849604"
"","Total Imports","37308"
"","Trade Balance","812296"
"Suriname","Total Exports","789602"
"","Total Imports","17510"
"","Trade Balance","772092"
"Benin","Total Exports","767223"
"","Total Imports",""
"","Trade Balance","767223"
"Jordan","Total Exports","837322"
"","Total Imports","149235"
"","Trade Balance","688087"
"Dominica","Total Exports","674693"
"","Total Imports","10101"
"","Trade Balance","664592"
"Qatar","Total Exports","1173787"
"","Total Imports","532606"
"","Trade Balance","641181"
"Myanmar (Burma)","Total Exports","622977"
"","Total Imports",""
"","Trade Balance","622977"
"Kuwait","Total Exports","2117884"
"","Total Imports","1506532"
"","Trade Balance","611352"
"Madagascar","Total Exports","699149"
"","Total Imports","107670"
"","Trade Balance","591479"
"Mauritania","Total Exports","566803"
"","Total Imports","572"
"","Trade Balance","566231"
"Cayman Islands","Total Exports","555676"
"","Total Imports","755"
"","Trade Balance","554921"
"","Total Exports","525261"
"","Total Imports",""
"","Trade Balance","525261"
"Sudan","Total Exports","453939"
"","Total Imports","36180"
"","Trade Balance","417759"
"Malawi","Total Exports","776172"
"","Total Imports","377089"
"","Trade Balance","399083"
"Albania","Total Exports","323837"
"","Total Imports",""
"","Trade Balance","323837"
"Cook Islands","Total Exports","318608"
"","Total Imports",""
"","Trade Balance","318608"
"Guam","Total Exports","297162"
"","Total Imports","27"
"","Trade Balance","297135"
"Turks and Caicos Islands","Total Exports","189313"
"","Total Imports",""
"","Trade Balance","189313"
"Congo (formerly Brazzaville)","Total Exports","187056"
"","Total Imports","250"
"","Trade Balance","186806"
"Afghanistan","Total Exports","185424"
"","Total Imports","9123"
"","Trade Balance","176301"
"Montserrat","Total Exports","174172"
"","Total Imports","11565"
"","Trade Balance","162607"
"Burundi","Total Exports","237173"
"","Total Imports","84994"
"","Trade Balance","152179"
"Somalia","Total Exports","151817"
"","Total Imports",""
"","Trade Balance","151817"
"Brunei Darussalam","Total Exports","206028"
"","Total Imports","93592"
"","Trade Balance","112436"
"Gambia","Total Exports","106662"
"","Total Imports",""
"","Trade Balance","106662"
"Samoa (Western)","Total Exports","100433"
"","Total Imports",""
"","Trade Balance","100433"
"British Virgin Islands","Total Exports","100011"
"","Total Imports",""
"","Trade Balance","100011"
"Togo","Total Exports","98911"
"","Total Imports",""
"","Trade Balance","98911"
"Anguilla","Total Exports","93357"
"","Total Imports",""
"","Trade Balance","93357"
"Haiti","Total Exports","4459502"
"","Total Imports","4369777"
"","Trade Balance","89725"
"Guinea-Bissau","Total Exports","54705"
"","Total Imports",""
"","Trade Balance","54705"
"Korea, North","Total Exports","59732"
"","Total Imports","12279"
"","Trade Balance","47453"
"Sao Tomé-Principe","Total Exports","29568"
"","Total Imports",""
"","Trade Balance","29568"
"Chad","Total Exports","28579"
"","Total Imports",""
"","Trade Balance","28579"
"Seychelles","Total Exports","60466"
"","Total Imports","39962"
"","Trade Balance","20504"
"Réunion Island","Total Exports","19519"
