"Title","Canadian trade balances"
"Products","Total for all products"
"Origin","Quebec"
"Destination","All countries (detailed)"
"Period","Specific year(s): 1991"
"Units","Value in  canadian dollars"

"","","1991"
"United States","Total Exports","19183405992"
"","Total Imports","11068382388"
"","Trade Balance","8115023604"
"Netherlands","Total Exports","823778529"
"","Total Imports","193034073"
"","Trade Balance","630744456"
"Algeria","Total Exports","70487671"
"","Total Imports","50"
"","Trade Balance","70487621"
"Belgium","Total Exports","204524130"
"","Total Imports","135987085"
"","Trade Balance","68537045"
"Saudi Arabia","Total Exports","79505313"
"","Total Imports","19660915"
"","Trade Balance","59844398"
"Israel","Total Exports","71391919"
"","Total Imports","35653505"
"","Trade Balance","35738414"
"Singapore","Total Exports","119378959"
"","Total Imports","89973737"
"","Trade Balance","29405222"
"Egypt","Total Exports","35694354"
"","Total Imports","10894360"
"","Trade Balance","24799994"
"Thailand","Total Exports","134638807"
"","Total Imports","115930542"
"","Trade Balance","18708265"
"Iran","Total Exports","25661262"
"","Total Imports","7972609"
"","Trade Balance","17688653"
"Libya","Total Exports","15673052"
"","Total Imports",""
"","Trade Balance","15673052"
"Trinidad and Tobago","Total Exports","14228993"
"","Total Imports","227769"
"","Trade Balance","14001224"
"Tanzania","Total Exports","9130130"
"","Total Imports","645636"
"","Trade Balance","8484494"
"Lebanon","Total Exports","11853363"
"","Total Imports","3621749"
"","Trade Balance","8231614"
"Jordan","Total Exports","7847368"
"","Total Imports","134266"
"","Trade Balance","7713102"
"Türkiye","Total Exports","46244959"
"","Total Imports","38541684"
"","Trade Balance","7703275"
"Cyprus","Total Exports","7805022"
"","Total Imports","205901"
"","Trade Balance","7599121"
"United Arab Emirates","Total Exports","12020563"
"","Total Imports","4558454"
"","Trade Balance","7462109"
"Saint Pierre-Miquelon","Total Exports","7162056"
"","Total Imports","4625"
"","Trade Balance","7157431"
"Antigua and Barbuda","Total Exports","6252168"
"","Total Imports","3297"
"","Trade Balance","6248871"
"Barbados","Total Exports","5525675"
"","Total Imports","649208"
"","Trade Balance","4876467"
"Tunisia","Total Exports","10156480"
"","Total Imports","5314049"
"","Trade Balance","4842431"
"Gabon","Total Exports","4857534"
"","Total Imports","15250"
"","Trade Balance","4842284"
"Panama","Total Exports","6883863"
"","Total Imports","2122322"
"","Trade Balance","4761541"
"Zimbabwe","Total Exports","5996785"
"","Total Imports","1370322"
"","Trade Balance","4626463"
"Burkina Faso","Total Exports","3016872"
"","Total Imports","2922"
"","Trade Balance","3013950"
"Vietnam","Total Exports","4165464"
"","Total Imports","1152937"
"","Trade Balance","3012527"
"Rwanda","Total Exports","3261592"
"","Total Imports","291482"
"","Trade Balance","2970110"
"Ghana","Total Exports","8406118"
"","Total Imports","5510541"
"","Trade Balance","2895577"
"French Polynesia","Total Exports","2626009"
"","Total Imports","299"
"","Trade Balance","2625710"
"Kenya","Total Exports","8436846"
"","Total Imports","5992867"
"","Trade Balance","2443979"
"Syria","Total Exports","2158126"
"","Total Imports","51112"
"","Trade Balance","2107014"
"Bermuda","Total Exports","4834789"
"","Total Imports","2960821"
"","Trade Balance","1873968"
