"Title","Canadian trade balances"
"Products","Total for all products"
"Origin","Quebec"
"Destination","All countries (detailed)"
"Period","Specific year(s): 1997"
"Units","Value in  canadian dollars"

"","","1997"
"United States","Total Exports","42867574041"
"","Total Imports","18049931331"
"","Trade Balance","24817642710"
"Netherlands","Total Exports","588254924"
"","Total Imports","268356776"
"","Trade Balance","319898148"
"Saudi Arabia","Total Exports","104510697"
"","Total Imports","3063926"
"","Trade Balance","101446771"
"Colombia","Total Exports","139557544"
"","Total Imports","64430446"
"","Trade Balance","75127098"
"Belgium","Total Exports","257187564"
"","Total Imports","187433902"
"","Trade Balance","69753662"
"Singapore","Total Exports","146640327"
"","Total Imports","83508650"
"","Trade Balance","63131677"
"Libya","Total Exports","55066918"
"","Total Imports","1000"
"","Trade Balance","55065918"
"Egypt","Total Exports","67219104"
"","Total Imports","16662093"
"","Trade Balance","50557011"
"United Arab Emirates","Total Exports","48994579"
"","Total Imports","3580843"
"","Trade Balance","45413736"
"Lebanon","Total Exports","34257553"
"","Total Imports","4436503"
"","Trade Balance","29821050"
"Cuba","Total Exports","67995423"
"","Total Imports","39767654"
"","Trade Balance","28227769"
"Israel","Total Exports","85674838"
"","Total Imports","61779850"
"","Trade Balance","23894988"
"Netherlands Antilles","Total Exports","23192225"
"","Total Imports","1316298"
"","Trade Balance","21875927"
"Trinidad and Tobago","Total Exports","20149115"
"","Total Imports","1189766"
"","Trade Balance","18959349"
"Kuwait","Total Exports","14236525"
"","Total Imports","1078577"
"","Trade Balance","13157948"
"Syria","Total Exports","13924908"
"","Total Imports","1082087"
"","Trade Balance","12842821"
"Haiti","Total Exports","14740671"
"","Total Imports","2417989"
"","Trade Balance","12322682"
"Panama","Total Exports","15251849"
"","Total Imports","3240015"
"","Trade Balance","12011834"
"Poland","Total Exports","54488775"
"","Total Imports","45244880"
"","Trade Balance","9243895"
"Cyprus","Total Exports","9295458"
"","Total Imports","458648"
"","Trade Balance","8836810"
"Mozambique","Total Exports","8473535"
"","Total Imports","11061"
"","Trade Balance","8462474"
"Ghana","Total Exports","11255062"
"","Total Imports","2801341"
"","Trade Balance","8453721"
"Bahamas","Total Exports","8210120"
"","Total Imports","132586"
"","Trade Balance","8077534"
"Bolivia","Total Exports","8967606"
"","Total Imports","1480383"
"","Trade Balance","7487223"
"Georgia","Total Exports","7119595"
"","Total Imports","91334"
"","Trade Balance","7028261"
"Yugoslavia  - Serbia and Montenegro","Total Exports","10936564"
"","Total Imports","4012285"
"","Trade Balance","6924279"
"Saint Pierre-Miquelon","Total Exports","6435978"
"","Total Imports","3765"
"","Trade Balance","6432213"
"Hungary","Total Exports","21753965"
"","Total Imports","15791139"
"","Trade Balance","5962826"
"Yemen","Total Exports","5175152"
"","Total Imports","11499"
"","Trade Balance","5163653"
"Belize","Total Exports","4441625"
"","Total Imports","30985"
"","Trade Balance","4410640"
"Barbados","Total Exports","10720140"
"","Total Imports","6698931"
"","Trade Balance","4021209"
"Paraguay","Total Exports","4323534"
"","Total Imports","311217"
"","Trade Balance","4012317"
"Tunisia","Total Exports","6380463"
"","Total Imports","2412562"
"","Trade Balance","3967901"
"Iran","Total Exports","12376818"
"","Total Imports","8900908"
"","Trade Balance","3475910"
"Angola","Total Exports","3406020"
"","Total Imports","119"
"","Trade Balance","3405901"
"Bermuda","Total Exports","5380748"
"","Total Imports","2044316"
"","Trade Balance","3336432"
"Jordan","Total Exports","3638681"
"","Total Imports","455324"
"","Trade Balance","3183357"
"Dominican Republic","Total Exports","21239322"
"","Total Imports","18091387"
"","Trade Balance","3147935"
"Gabon","Total Exports","3026507"
"","Total Imports","6708"
"","Trade Balance","3019799"
"Bahrain","Total Exports","3156444"
"","Total Imports","281708"
"","Trade Balance","2874736"
"Guadeloupe","Total Exports","2336443"
"","Total Imports","12347"
"","Trade Balance","2324096"
"Albania","Total Exports","2090506"
"","Total Imports","112483"
"","Trade Balance","1978023"
"French Polynesia","Total Exports","2402196"
"","Total Imports","427715"
"","Trade Balance","1974481"
"Oman (formerly Muscat and Oman)","Total Exports","2084632"
"","Total Imports","175686"
"","Trade Balance","1908946"
"Latvia","Total Exports","1841765"
"","Total Imports","146363"
"","Trade Balance","1695402"
"Nicaragua","Total Exports","3877780"
"","Total Imports","2273816"
"","Trade Balance","1603964"
"Senegal","Total Exports","3135397"
"","Total Imports","1597515"
"","Trade Balance","1537882"
"Estonia","Total Exports","3782746"
"","Total Imports","2257834"
"","Trade Balance","1524912"
"Saint Lucia","Total Exports","1675603"
"","Total Imports","209864"
"","Trade Balance","1465739"
"Kyrgyzstan","Total Exports","1562348"
"","Total Imports","100613"
"","Trade Balance","1461735"
"Malawi","Total Exports","2560422"
"","Total Imports","1098773"
"","Trade Balance","1461649"
"Papua New Guinea","Total Exports","1544138"
"","Total Imports","135221"
"","Trade Balance","1408917"
"Grenada","Total Exports","1855799"
"","Total Imports","537057"
"","Trade Balance","1318742"
"Martinique","Total Exports","1306370"
"","Total Imports",""
"","Trade Balance","1306370"
"Benin","Total Exports","1211002"
"","Total Imports","4941"
"","Trade Balance","1206061"
"Ethiopia","Total Exports","2274856"
"","Total Imports","1292911"
"","Trade Balance","981945"
"Cameroon","Total Exports","1414424"
"","Total Imports","520381"
"","Trade Balance","894043"
"Dominica","Total Exports","968694"
"","Total Imports","102843"
"","Trade Balance","865851"
"Saint Vincent and the Grenadines","Total Exports","841941"
"","Total Imports","3522"
"","Trade Balance","838419"
"Cayman Islands","Total Exports","953955"
"","Total Imports","118539"
"","Trade Balance","835416"
"Antigua and Barbuda","Total Exports","1522937"
"","Total Imports","714798"
"","Trade Balance","808139"
"Nauru","Total Exports","714914"
"","Total Imports",""
"","Trade Balance","714914"
"Burkina Faso","Total Exports","712260"
"","Total Imports","7403"
"","Trade Balance","704857"
"Mauritius","Total Exports","2608308"
"","Total Imports","1933363"
"","Trade Balance","674945"
"Peru","Total Exports","26858292"
"","Total Imports","26232171"
"","Trade Balance","626121"
"Iraq","Total Exports","662535"
"","Total Imports","40003"
"","Trade Balance","622532"
"Russia","Total Exports","145178383"
"","Total Imports","144568294"
"","Trade Balance","610089"
"Réunion Island","Total Exports","616463"
"","Total Imports","24119"
