"Title","Canadian trade balances"
"Products","Total for all products"
"Origin","Quebec"
"Destination","All countries (detailed)"
"Period","Specific year(s): 1998"
"Units","Value in  canadian dollars"

"","","1998"
"United States","Total Exports","47938874093"
"","Total Imports","19911219245"
"","Trade Balance","28027654848"
"Netherlands","Total Exports","651220774"
"","Total Imports","297312496"
"","Trade Balance","353908278"
"Saudi Arabia","Total Exports","146849919"
"","Total Imports","43552934"
"","Trade Balance","103296985"
"United Arab Emirates","Total Exports","93736119"
"","Total Imports","2580115"
"","Trade Balance","91156004"
"Colombia","Total Exports","145367937"
"","Total Imports","56078025"
"","Trade Balance","89289912"
"Cuba","Total Exports","123357737"
"","Total Imports","48116393"
"","Trade Balance","75241344"
"Libya","Total Exports","63214893"
"","Total Imports",""
"","Trade Balance","63214893"
"Slovenia","Total Exports","80337906"
"","Total Imports","21081474"
"","Trade Balance","59256432"
"Egypt","Total Exports","52429961"
"","Total Imports","18381822"
"","Trade Balance","34048139"
"Iran","Total Exports","43191468"
"","Total Imports","14088148"
"","Trade Balance","29103320"
"Greece","Total Exports","58330311"
"","Total Imports","34299200"
"","Trade Balance","24031111"
"Panama","Total Exports","26048681"
"","Total Imports","4880502"
"","Trade Balance","21168179"
"Lebanon","Total Exports","25145718"
"","Total Imports","5580553"
"","Trade Balance","19565165"
"Trinidad and Tobago","Total Exports","21093406"
"","Total Imports","4691309"
"","Trade Balance","16402097"
"Kuwait","Total Exports","16902637"
"","Total Imports","1012878"
"","Trade Balance","15889759"
"Paraguay","Total Exports","10153802"
"","Total Imports","533172"
"","Trade Balance","9620630"
"Haiti","Total Exports","12138023"
"","Total Imports","3194359"
"","Trade Balance","8943664"
"Syria","Total Exports","19688941"
"","Total Imports","11229578"
"","Trade Balance","8459363"
"Jordan","Total Exports","8512130"
"","Total Imports","408310"
"","Trade Balance","8103820"
"Senegal","Total Exports","8387380"
"","Total Imports","643439"
"","Trade Balance","7743941"
"Cyprus","Total Exports","8053321"
"","Total Imports","329391"
"","Trade Balance","7723930"
"Saint Pierre-Miquelon","Total Exports","7394913"
"","Total Imports","15350"
"","Trade Balance","7379563"
"Belgium","Total Exports","303580037"
"","Total Imports","296869512"
"","Trade Balance","6710525"
"Bolivia","Total Exports","6678189"
"","Total Imports","732759"
"","Trade Balance","5945430"
"Dominican Republic","Total Exports","31656188"
"","Total Imports","26915759"
"","Trade Balance","4740429"
"Tunisia","Total Exports","8589174"
"","Total Imports","4021437"
"","Trade Balance","4567737"
"Poland","Total Exports","54086651"
"","Total Imports","50064318"
"","Trade Balance","4022333"
"Barbados","Total Exports","10124698"
"","Total Imports","6239412"
"","Trade Balance","3885286"
"Hungary","Total Exports","22901445"
"","Total Imports","19439718"
"","Trade Balance","3461727"
"Uzbekistan","Total Exports","3236522"
"","Total Imports","19873"
"","Trade Balance","3216649"
"Bermuda","Total Exports","5243459"
"","Total Imports","2618817"
"","Trade Balance","2624642"
"Gabon","Total Exports","2553630"
"","Total Imports","107157"
"","Trade Balance","2446473"
"Azerbaijan","Total Exports","2522868"
"","Total Imports","186542"
"","Trade Balance","2336326"
"Antigua and Barbuda","Total Exports","2438400"
"","Total Imports","185260"
"","Trade Balance","2253140"
"Saint Lucia","Total Exports","2516645"
"","Total Imports","290813"
"","Trade Balance","2225832"
"Yemen","Total Exports","2034700"
"","Total Imports","11386"
"","Trade Balance","2023314"
"Burkina Faso","Total Exports","1650338"
"","Total Imports","76348"
"","Trade Balance","1573990"
"Albania","Total Exports","1726629"
"","Total Imports","183503"
"","Trade Balance","1543126"
"Belize","Total Exports","1542410"
"","Total Imports","19929"
"","Trade Balance","1522481"
"Mozambique","Total Exports","1752630"
"","Total Imports","273884"
"","Trade Balance","1478746"
"Saint Vincent and the Grenadines","Total Exports","1434279"
"","Total Imports",""
"","Trade Balance","1434279"
"New Caledonia","Total Exports","1468877"
"","Total Imports","61586"
"","Trade Balance","1407291"
"Angola","Total Exports","1290320"
"","Total Imports",""
"","Trade Balance","1290320"
"Papua New Guinea","Total Exports","1218587"
"","Total Imports","37080"
"","Trade Balance","1181507"
"Latvia","Total Exports","1617312"
"","Total Imports","454884"
"","Trade Balance","1162428"
"Oman (formerly Muscat and Oman)","Total Exports","1452211"
"","Total Imports","519718"
