"Title","Canadian trade balances"
"Products","Total for all products"
"Origin","Quebec"
"Destination","All countries (detailed)"
"Period","Specific year(s): 1999"
"Units","Value in  canadian dollars"

"","","1999"
"United States","Total Exports","52556807546"
"","Total Imports","20938663074"
"","Trade Balance","31618144472"
"Netherlands","Total Exports","533115179"
"","Total Imports","343992661"
"","Trade Balance","189122518"
"Saudi Arabia","Total Exports","121884568"
"","Total Imports","4326812"
"","Trade Balance","117557756"
"Iran","Total Exports","131298720"
"","Total Imports","21137381"
"","Trade Balance","110161339"
"Greece","Total Exports","113226578"
"","Total Imports","38233172"
"","Trade Balance","74993406"
"Cuba","Total Exports","99892820"
"","Total Imports","36102456"
"","Trade Balance","63790364"
"Egypt","Total Exports","64168092"
"","Total Imports","17197700"
"","Trade Balance","46970392"
"United Arab Emirates","Total Exports","51166982"
"","Total Imports","4517421"
"","Trade Balance","46649561"
"Croatia","Total Exports","39288557"
"","Total Imports","8110666"
"","Trade Balance","31177891"
"British Virgin Islands","Total Exports","27835484"
"","Total Imports","152840"
"","Trade Balance","27682644"
"Dominican Republic","Total Exports","38177669"
"","Total Imports","19349880"
"","Trade Balance","18827789"
"Senegal","Total Exports","18393662"
"","Total Imports","215489"
"","Trade Balance","18178173"
"Haiti","Total Exports","20782871"
"","Total Imports","2858497"
"","Trade Balance","17924374"
"Kuwait","Total Exports","15091359"
"","Total Imports","106164"
"","Trade Balance","14985195"
"Lebanon","Total Exports","24523807"
"","Total Imports","10341894"
"","Trade Balance","14181913"
"Ghana","Total Exports","19907973"
"","Total Imports","7341917"
"","Trade Balance","12566056"
"Slovenia","Total Exports","35214394"
"","Total Imports","23919063"
"","Trade Balance","11295331"
"French Polynesia","Total Exports","11677222"
"","Total Imports","1291298"
"","Trade Balance","10385924"
"Saint Pierre-Miquelon","Total Exports","9300145"
"","Total Imports","52950"
"","Trade Balance","9247195"
"Syria","Total Exports","10746668"
"","Total Imports","2002830"
"","Trade Balance","8743838"
"Bermuda","Total Exports","8869439"
"","Total Imports","140147"
"","Trade Balance","8729292"
"Cyprus","Total Exports","8676688"
"","Total Imports","515808"
"","Trade Balance","8160880"
"Panama","Total Exports","22997518"
"","Total Imports","14991540"
"","Trade Balance","8005978"
"Jordan","Total Exports","7239397"
"","Total Imports","123987"
"","Trade Balance","7115410"
"Libya","Total Exports","5728417"
"","Total Imports",""
"","Trade Balance","5728417"
"Barbados","Total Exports","10028775"
"","Total Imports","4525429"
"","Trade Balance","5503346"
"Colombia","Total Exports","58741539"
"","Total Imports","53342648"
"","Trade Balance","5398891"
"Mozambique","Total Exports","5204197"
"","Total Imports","9129"
"","Trade Balance","5195068"
"Yugoslavia  - Serbia and Montenegro","Total Exports","5331285"
"","Total Imports","301185"
"","Trade Balance","5030100"
"Paraguay","Total Exports","5195348"
"","Total Imports","286813"
"","Trade Balance","4908535"
"Brazil","Total Exports","351333534"
"","Total Imports","347159416"
"","Trade Balance","4174118"
"Tunisia","Total Exports","8368658"
"","Total Imports","4331983"
"","Trade Balance","4036675"
"Antigua and Barbuda","Total Exports","3859624"
"","Total Imports","138563"
