"Title","Canadian trade balances"
"Products","Total for all products"
"Origin","Quebec"
"Destination","All countries (detailed)"
"Period","Specific year(s): 2000"
"Units","Value in  canadian dollars"

"","","2000"
"United States","Total Exports","63457155543"
"","Total Imports","23085718426"
"","Trade Balance","40371437117"
"Netherlands","Total Exports","588534020"
"","Total Imports","276744886"
"","Trade Balance","311789134"
"Cuba","Total Exports","86059265"
"","Total Imports","16075381"
"","Trade Balance","69983884"
"British Virgin Islands","Total Exports","58146065"
"","Total Imports","168441"
"","Trade Balance","57977624"
"Iran","Total Exports","45455211"
"","Total Imports","8725584"
"","Trade Balance","36729627"
"Slovenia","Total Exports","56604654"
"","Total Imports","21592196"
"","Trade Balance","35012458"
"Greece","Total Exports","74033347"
"","Total Imports","48246422"
"","Trade Balance","25786925"
"Egypt","Total Exports","42864654"
"","Total Imports","19071375"
"","Trade Balance","23793279"
"Saudi Arabia","Total Exports","132151413"
"","Total Imports","109208578"
"","Trade Balance","22942835"
"Panama","Total Exports","24170655"
"","Total Imports","2041518"
"","Trade Balance","22129137"
"Senegal","Total Exports","20807485"
"","Total Imports","517731"
"","Trade Balance","20289754"
"Kuwait","Total Exports","18724708"
"","Total Imports","118823"
"","Trade Balance","18605885"
"Colombia","Total Exports","72359565"
"","Total Imports","54464836"
"","Trade Balance","17894729"
"Haiti","Total Exports","18258971"
"","Total Imports","4656765"
"","Trade Balance","13602206"
"Lebanon","Total Exports","17427040"
"","Total Imports","6554458"
"","Trade Balance","10872582"
"Barbados","Total Exports","10555610"
"","Total Imports","883297"
"","Trade Balance","9672313"
"Bahamas","Total Exports","8362459"
"","Total Imports","201346"
"","Trade Balance","8161113"
"Mozambique","Total Exports","6001753"
"","Total Imports","13479"
"","Trade Balance","5988274"
"Dominican Republic","Total Exports","24315051"
"","Total Imports","18632914"
"","Trade Balance","5682137"
"Jordan","Total Exports","5663617"
"","Total Imports","422621"
"","Trade Balance","5240996"
"Sudan","Total Exports","4903425"
"","Total Imports","50787"
"","Trade Balance","4852638"
"Antigua and Barbuda","Total Exports","4797089"
"","Total Imports","120152"
"","Trade Balance","4676937"
"Saint Pierre-Miquelon","Total Exports","4268129"
"","Total Imports","2641"
"","Trade Balance","4265488"
"Paraguay","Total Exports","4908226"
"","Total Imports","646713"
"","Trade Balance","4261513"
"Greenland","Total Exports","4424554"
"","Total Imports","266744"
"","Trade Balance","4157810"
"Netherlands Antilles","Total Exports","11222431"
"","Total Imports","7185248"
"","Trade Balance","4037183"
"Saint Lucia","Total Exports","3737980"
"","Total Imports","46870"
"","Trade Balance","3691110"
"French Polynesia","Total Exports","4543222"
"","Total Imports","1421906"
"","Trade Balance","3121316"
"Libya","Total Exports","2947734"
"","Total Imports","923"
"","Trade Balance","2946811"
"Burkina Faso","Total Exports","3023105"
"","Total Imports","114895"
"","Trade Balance","2908210"
"Bahrain","Total Exports","3816953"
"","Total Imports","937199"
"","Trade Balance","2879754"
"Latvia","Total Exports","3938424"
"","Total Imports","1140208"
"","Trade Balance","2798216"
"Cyprus","Total Exports","3336422"
"","Total Imports","587337"
"","Trade Balance","2749085"
"Tanzania","Total Exports","2886689"
"","Total Imports","346006"
"","Trade Balance","2540683"
"Dominica","Total Exports","2317941"
"","Total Imports","164756"
"","Trade Balance","2153185"
"Tunisia","Total Exports","5971596"
"","Total Imports","3933487"
"","Trade Balance","2038109"
"Benin","Total Exports","1775082"
"","Total Imports","32321"
"","Trade Balance","1742761"
"Gabon","Total Exports","1838677"
"","Total Imports","244178"
"","Trade Balance","1594499"
"Oman (formerly Muscat and Oman)","Total Exports","1867750"
"","Total Imports","558516"
"","Trade Balance","1309234"
"Zambia (Zambi)","Total Exports","1318181"
"","Total Imports","9728"
"","Trade Balance","1308453"
"Georgia","Total Exports","1308698"
"","Total Imports","85532"
"","Trade Balance","1223166"
"Saint Kitts and Nevis","Total Exports","1102169"
"","Total Imports","53150"
"","Trade Balance","1049019"
"Turks and Caicos Islands","Total Exports","1045847"
"","Total Imports","34981"
"","Trade Balance","1010866"
"Burundi","Total Exports","1004291"
"","Total Imports","17846"
"","Trade Balance","986445"
"Congo (formerly Brazzaville)","Total Exports","1035640"
"","Total Imports","65687"
"","Trade Balance","969953"
"Saint Vincent and the Grenadines","Total Exports","970118"
"","Total Imports","6238"
"","Trade Balance","963880"
"Yemen","Total Exports","907420"
"","Total Imports","33108"
"","Trade Balance","874312"
"New Caledonia","Total Exports","992950"
"","Total Imports","174284"
"","Trade Balance","818666"
"Congo (formerly Zaire)","Total Exports","759045"
"","Total Imports",""
"","Trade Balance","759045"
"Ethiopia","Total Exports","2261970"
"","Total Imports","1503537"
"","Trade Balance","758433"
"Albania","Total Exports","880403"
"","Total Imports","129707"
"","Trade Balance","750696"
"Rwanda","Total Exports","570397"
"","Total Imports","109"
"","Trade Balance","570288"
"Cayman Islands","Total Exports","799676"
"","Total Imports","256970"
"","Trade Balance","542706"
"Seychelles","Total Exports","567813"
"","Total Imports","51704"
"","Trade Balance","516109"
"Botswana","Total Exports","510412"
"","Total Imports","1302"
"","Trade Balance","509110"
"Papua New Guinea","Total Exports","365420"
"","Total Imports","38589"
"","Trade Balance","326831"
"Azerbaijan","Total Exports","361455"
"","Total Imports","50700"
"","Trade Balance","310755"
"Uzbekistan","Total Exports","399776"
"","Total Imports","157223"
"","Trade Balance","242553"
"United Arab Emirates","Total Exports","47617273"
"","Total Imports","47397065"
"","Trade Balance","220208"
"Kenya","Total Exports","3819955"
"","Total Imports","3601177"
"","Trade Balance","218778"
"Pitcairn Island","Total Exports","169394"
"","Total Imports","17788"
"","Trade Balance","151606"
"Mauritania","Total Exports","215617"
"","Total Imports","73536"
"","Trade Balance","142081"
"French Southern Territories","Total Exports","140082"
"","Total Imports",""
"","Trade Balance","140082"
"Namibia","Total Exports","145371"
"","Total Imports","11449"
"","Trade Balance","133922"
"Guinea-Bissau","Total Exports","119376"
"","Total Imports",""
"","Trade Balance","119376"
"Anguilla","Total Exports","117271"
"","Total Imports","50"
"","Trade Balance","117221"
"Christmas Island","Total Exports","97405"
"","Total Imports","1357"
"","Trade Balance","96048"
"Grenada","Total Exports","1268148"
"","Total Imports","1180652"
"","Trade Balance","87496"
"Cape Verde","Total Exports","86682"
"","Total Imports","6642"
"","Trade Balance","80040"
"Gambia","Total Exports","126826"
"","Total Imports","49510"
"","Trade Balance","77316"
"Montserrat","Total Exports","120140"
"","Total Imports","56180"
"","Trade Balance","63960"
"Nauru","Total Exports","60721"
"","Total Imports","252"
"","Trade Balance","60469"
"Guam","Total Exports","74102"
"","Total Imports","19342"
"","Trade Balance","54760"
"Somalia","Total Exports","43958"
"","Total Imports","67"
"","Trade Balance","43891"
"Andorra","Total Exports","29394"
"","Total Imports",""
"","Trade Balance","29394"
"Chad","Total Exports","34650"
"","Total Imports","5323"
"","Trade Balance","29327"
"Djibouti","Total Exports","27009"
"","Total Imports",""
"","Trade Balance","27009"
"Gibraltar","Total Exports","17668"
"","Total Imports",""
"","Trade Balance","17668"
"Western Sahara","Total Exports","7180"
"","Total Imports",""
"","Trade Balance","7180"
"British Indian Ocean Territories","Total Exports","5159"
"","Total Imports",""
"","Trade Balance","5159"
"Equatorial Guinea","Total Exports","1000"
"","Total Imports",""
"","Trade Balance","1000"
"Eritrea","Total Exports",""
"","Total Imports","27"
"","Trade Balance","-27"
"Cocos (Keeling) Islands","Total Exports",""
"","Total Imports","59"
"","Trade Balance","-59"
"Bouvet Island","Total Exports",""
"","Total Imports","310"
"","Trade Balance","-310"
"Saint Helena","Total Exports",""
"","Total Imports","952"
"","Trade Balance","-952"
"American Samoa","Total Exports","1988"
"","Total Imports","3109"
"","Trade Balance","-1121"
"Bhutan","Total Exports",""
"","Total Imports","3454"
"","Trade Balance","-3454"
"Timor-Leste","Total Exports",""
"","Total Imports","4494"
"","Trade Balance","-4494"
"Faeroe Islands","Total Exports","500"
"","Total Imports","7611"
"","Trade Balance","-7111"
"Belize","Total Exports","1503982"
"","Total Imports","1513161"
"","Trade Balance","-9179"
"Cook Islands","Total Exports",""
"","Total Imports","10755"
"","Trade Balance","-10755"
"Vanuatu (New Hebrides)","Total Exports",""
"","Total Imports","12454"
"","Trade Balance","-12454"
"Kyrgyzstan","Total Exports",""
"","Total Imports","19578"
"","Trade Balance","-19578"
"Fiji","Total Exports","29930"
"","Total Imports","62700"
"","Trade Balance","-32770"
"Comoros","Total Exports",""
"","Total Imports","38043"
"","Trade Balance","-38043"
"Belarus (formerly Byelorussia)","Total Exports","437948"
"","Total Imports","510359"
"","Trade Balance","-72411"
"Bermuda","Total Exports","6216614"
"","Total Imports","6296282"
"","Trade Balance","-79668"
"Samoa (Western)","Total Exports","18130"
"","Total Imports","101419"
"","Trade Balance","-83289"
"Falkland Islands","Total Exports","10400"
"","Total Imports","98801"
"","Trade Balance","-88401"
"Sierra Leone","Total Exports","36136"
"","Total Imports","124936"
"","Trade Balance","-88800"
"Norfolk Island","Total Exports",""
"","Total Imports","101779"
"","Trade Balance","-101779"
"Brunei Darussalam","Total Exports","4013"
"","Total Imports","134274"
"","Trade Balance","-130261"
"Niger","Total Exports","372556"
"","Total Imports","505468"
"","Trade Balance","-132912"
"Togo","Total Exports","480539"
"","Total Imports","633120"
"","Trade Balance","-152581"
"Afghanistan","Total Exports","41"
"","Total Imports","169652"
"","Trade Balance","-169611"
"U.S. Minor Outlying Islands","Total Exports","60684"
"","Total Imports","240506"
"","Trade Balance","-179822"
"Tajikistan","Total Exports",""
"","Total Imports","184805"
"","Trade Balance","-184805"
"Turkmenistan","Total Exports",""
"","Total Imports","201720"
"","Trade Balance","-201720"
"Malawi","Total Exports","60116"
"","Total Imports","320897"
"","Trade Balance","-260781"
"Uganda","Total Exports","179883"
"","Total Imports","590790"
"","Trade Balance","-410907"
"Armenia","Total Exports","606234"
"","Total Imports","1056144"
"","Trade Balance","-449910"
"Korea, North","Total Exports","466319"
"","Total Imports","925181"
"","Trade Balance","-458862"
"Bosnia and Herzegovina","Total Exports","31071"
"","Total Imports","656141"
"","Trade Balance","-625070"
"Swaziland","Total Exports","112736"
"","Total Imports","805217"
"","Trade Balance","-692481"
"Laos","Total Exports","16063"
"","Total Imports","724356"
"","Trade Balance","-708293"
"Liberia","Total Exports","313237"
"","Total Imports","1028371"
"","Trade Balance","-715134"
"Nepal","Total Exports","624129"
"","Total Imports","1345167"
"","Trade Balance","-721038"
"Mongolia","Total Exports","188141"
"","Total Imports","995399"
"","Trade Balance","-807258"
"Sao Tomé-Principe","Total Exports",""
"","Total Imports","1213092"
"","Trade Balance","-1213092"
"Bolivia","Total Exports","898494"
"","Total Imports","2177311"
"","Trade Balance","-1278817"
"Estonia","Total Exports","1066434"
"","Total Imports","2352357"
"","Trade Balance","-1285923"
"Central African Republic","Total Exports","3084"
"","Total Imports","1904524"
"","Trade Balance","-1901440"
"Madagascar","Total Exports","651969"
"","Total Imports","2992002"
"","Trade Balance","-2340033"
"Ghana","Total Exports","8951249"
"","Total Imports","11418583"
"","Trade Balance","-2467334"
"Mali","Total Exports","6103184"
"","Total Imports","8752091"
"","Trade Balance","-2648907"
"Cameroon","Total Exports","823506"
"","Total Imports","3679031"
"","Trade Balance","-2855525"
"Iceland","Total Exports","4850276"
"","Total Imports","8121736"
"","Trade Balance","-3271460"
"North Macedonia","Total Exports","696282"
"","Total Imports","4359334"
"","Trade Balance","-3663052"
"Cambodia (Kampuchea)","Total Exports","87751"
"","Total Imports","3817206"
"","Trade Balance","-3729455"
"Qatar","Total Exports","5766539"
"","Total Imports","9528937"
"","Trade Balance","-3762398"
"Moldova","Total Exports","208554"
"","Total Imports","3992895"
"","Trade Balance","-3784341"
"Croatia","Total Exports","5913417"
"","Total Imports","10476664"
"","Trade Balance","-4563247"
"Mauritius","Total Exports","444754"
"","Total Imports","5055960"
"","Trade Balance","-4611206"
"Zimbabwe","Total Exports","2512028"
"","Total Imports","7163848"
"","Trade Balance","-4651820"
"Malta","Total Exports","1506345"
"","Total Imports","6890411"
"","Trade Balance","-5384066"
"Nicaragua","Total Exports","353758"
"","Total Imports","5878670"
"","Trade Balance","-5524912"
"Maldives","Total Exports","12134"
"","Total Imports","5903884"
"","Trade Balance","-5891750"
"Yugoslavia  - Serbia and Montenegro","Total Exports","388633"
"","Total Imports","6769853"
"","Trade Balance","-6381220"
"Lesotho","Total Exports","12000"
"","Total Imports","6556888"
"","Trade Balance","-6544888"
"Aruba","Total Exports","1942752"
"","Total Imports","9616344"
"","Trade Balance","-7673592"
"Guyana","Total Exports","1368826"
"","Total Imports","9227159"
"","Trade Balance","-7858333"
"Lithuania","Total Exports","3057524"
"","Total Imports","10938433"
"","Trade Balance","-7880909"
