"Title","Canadian trade balances"
"Products","Total for all products"
"Origin","Quebec"
"Destination","All countries (detailed)"
"Period","Specific year(s): 2001"
"Units","Value in  canadian dollars"

"","","2001"
"United States","Total Exports","60123781013"
"","Total Imports","21011726499"
"","Trade Balance","39112054514"
"Netherlands","Total Exports","713684294"
"","Total Imports","379177160"
"","Trade Balance","334507134"
"Greece","Total Exports","177709868"
"","Total Imports","50188203"
"","Trade Balance","127521665"
"Cayman Islands","Total Exports","58027259"
"","Total Imports","210328"
"","Trade Balance","57816931"
"Saudi Arabia","Total Exports","140917797"
"","Total Imports","87478560"
"","Trade Balance","53439237"
"Cuba","Total Exports","85921202"
"","Total Imports","35618624"
"","Trade Balance","50302578"
"Iran","Total Exports","33283738"
"","Total Imports","8090274"
"","Trade Balance","25193464"
"Haiti","Total Exports","17963222"
"","Total Imports","2119970"
"","Trade Balance","15843252"
"Panama","Total Exports","18259123"
"","Total Imports","2469468"
"","Trade Balance","15789655"
"Egypt","Total Exports","37798057"
"","Total Imports","23160497"
"","Trade Balance","14637560"
"Bahamas","Total Exports","14460500"
"","Total Imports","873184"
"","Trade Balance","13587316"
"Slovenia","Total Exports","30173937"
"","Total Imports","17250660"
"","Trade Balance","12923277"
"Lebanon","Total Exports","18378889"
"","Total Imports","5882323"
"","Trade Balance","12496566"
"Uzbekistan","Total Exports","10960372"
"","Total Imports","177499"
"","Trade Balance","10782873"
"Kuwait","Total Exports","24994196"
"","Total Imports","14348352"
"","Trade Balance","10645844"
"Libya","Total Exports","10036828"
"","Total Imports","1650"
"","Trade Balance","10035178"
"United Arab Emirates","Total Exports","31044440"
"","Total Imports","21830763"
"","Trade Balance","9213677"
"Dominican Republic","Total Exports","25631004"
"","Total Imports","17002719"
"","Trade Balance","8628285"
"Kenya","Total Exports","9755975"
"","Total Imports","2733775"
"","Trade Balance","7022200"
"Bermuda","Total Exports","8389020"
"","Total Imports","1472970"
"","Trade Balance","6916050"
"Barbados","Total Exports","7464114"
"","Total Imports","1111999"
"","Trade Balance","6352115"
"Mozambique","Total Exports","5635547"
"","Total Imports","279"
