"Title","Canadian trade balances"
"Products","Total for all products"
"Origin","Quebec"
"Destination","All countries (detailed)"
"Period","Specific year(s): 2003"
"Units","Value in  canadian dollars"

"","","2003"
"United States","Total Exports","53221884646"
"","Total Imports","17401874810"
"","Trade Balance","35820009836"
"United Arab Emirates","Total Exports","123809803"
"","Total Imports","8550354"
"","Trade Balance","115259449"
"Luxembourg","Total Exports","132467871"
"","Total Imports","28564697"
"","Trade Balance","103903174"
"Cuba","Total Exports","61022030"
"","Total Imports","10009394"
"","Trade Balance","51012636"
"Russia","Total Exports","110419014"
"","Total Imports","70876902"
"","Trade Balance","39542112"
"Libya","Total Exports","40929098"
"","Total Imports","8900521"
"","Trade Balance","32028577"
"Croatia","Total Exports","37214532"
"","Total Imports","6872116"
"","Trade Balance","30342416"
"Saudi Arabia","Total Exports","111970732"
"","Total Imports","86004605"
"","Trade Balance","25966127"
"Oman (formerly Muscat and Oman)","Total Exports","21635658"
"","Total Imports","1458770"
"","Trade Balance","20176888"
"Hungary","Total Exports","60005374"
"","Total Imports","41058196"
"","Trade Balance","18947178"
"Slovenia","Total Exports","33633269"
"","Total Imports","17909750"
"","Trade Balance","15723519"
"Panama","Total Exports","17256323"
"","Total Imports","2710864"
"","Trade Balance","14545459"
"Iran","Total Exports","30993584"
"","Total Imports","18031625"
"","Trade Balance","12961959"
"Antigua and Barbuda","Total Exports","12903754"
"","Total Imports","120685"
"","Trade Balance","12783069"
"Barbados","Total Exports","12059790"
"","Total Imports","507804"
"","Trade Balance","11551986"
"Qatar","Total Exports","13447687"
"","Total Imports","3055451"
"","Trade Balance","10392236"
"Haiti","Total Exports","12931187"
"","Total Imports","2994038"
"","Trade Balance","9937149"
"Sudan","Total Exports","9083205"
"","Total Imports","132454"
"","Trade Balance","8950751"
"Bermuda","Total Exports","8448970"
"","Total Imports","40770"
"","Trade Balance","8408200"
"Saint Pierre-Miquelon","Total Exports","8138233"
"","Total Imports","600"
"","Trade Balance","8137633"
"Lebanon","Total Exports","15031964"
"","Total Imports","6901669"
"","Trade Balance","8130295"
"Senegal","Total Exports","8096032"
"","Total Imports","753239"
"","Trade Balance","7342793"
"Afghanistan","Total Exports","6155951"
"","Total Imports","94196"
"","Trade Balance","6061755"
"Tanzania","Total Exports","6570767"
"","Total Imports","1316594"
"","Trade Balance","5254173"
"Jordan","Total Exports","5984633"
"","Total Imports","730996"
"","Trade Balance","5253637"
"Mozambique","Total Exports","5254209"
"","Total Imports","6783"
"","Trade Balance","5247426"
"Niger","Total Exports","5380360"
"","Total Imports","734897"
"","Trade Balance","4645463"
"Turks and Caicos Islands","Total Exports","4622903"
"","Total Imports","57045"
"","Trade Balance","4565858"
"Benin","Total Exports","4108964"
"","Total Imports","1274"
"","Trade Balance","4107690"
"French Polynesia","Total Exports","5419625"
"","Total Imports","1823583"
"","Trade Balance","3596042"
"Saint Lucia","Total Exports","3482107"
"","Total Imports","60052"
"","Trade Balance","3422055"
"Angola","Total Exports","2672802"
"","Total Imports","22558"
"","Trade Balance","2650244"
"Korea, North","Total Exports","2619404"
"","Total Imports","13339"
"","Trade Balance","2606065"
"Suriname","Total Exports","2924575"
"","Total Imports","506178"
"","Trade Balance","2418397"
"Dominica","Total Exports","2362682"
"","Total Imports","35917"
"","Trade Balance","2326765"
"Saint Vincent and the Grenadines","Total Exports","2305885"
"","Total Imports",""
"","Trade Balance","2305885"
"Grenada","Total Exports","3076974"
"","Total Imports","832217"
"","Trade Balance","2244757"
"Kuwait","Total Exports","27127457"
"","Total Imports","24913758"
"","Trade Balance","2213699"
"Ethiopia","Total Exports","3223455"
"","Total Imports","1099513"
"","Trade Balance","2123942"
"Belize","Total Exports","3446117"
"","Total Imports","1417518"
"","Trade Balance","2028599"
"Burkina Faso","Total Exports","2045241"
"","Total Imports","61460"
"","Trade Balance","1983781"
"Zimbabwe","Total Exports","4630151"
"","Total Imports","2719764"
"","Trade Balance","1910387"
"Greenland","Total Exports","2149484"
"","Total Imports","270957"
"","Trade Balance","1878527"
"Aruba","Total Exports","1822542"
"","Total Imports","13210"
"","Trade Balance","1809332"
"Congo (formerly Zaire)","Total Exports","1794567"
"","Total Imports","5681"
"","Trade Balance","1788886"
"Cyprus","Total Exports","2293219"
"","Total Imports","656575"
"","Trade Balance","1636644"
"Saint Kitts and Nevis","Total Exports","1752183"
"","Total Imports","182149"
"","Trade Balance","1570034"
"Mali","Total Exports","1997547"
"","Total Imports","448245"
"","Trade Balance","1549302"
"Zambia (Zambi)","Total Exports","1327096"
"","Total Imports","47227"
"","Trade Balance","1279869"
"Yemen","Total Exports","1299882"
"","Total Imports","28080"
"","Trade Balance","1271802"
"British Indian Ocean Territories","Total Exports","1212614"
"","Total Imports","5315"
"","Trade Balance","1207299"
"British Virgin Islands","Total Exports","1077081"
"","Total Imports","110266"
"","Trade Balance","966815"
"Cayman Islands","Total Exports","914663"
"","Total Imports","2190"
"","Trade Balance","912473"
"Congo (formerly Brazzaville)","Total Exports","1832097"
"","Total Imports","937296"
"","Trade Balance","894801"
"Yugoslavia  - Serbia and Montenegro","Total Exports","1363532"
"","Total Imports","473146"
"","Trade Balance","890386"
"Azerbaijan","Total Exports","828499"
"","Total Imports","29304"
"","Trade Balance","799195"
"Cook Islands","Total Exports","790431"
"","Total Imports","557"
"","Trade Balance","789874"
"Rwanda","Total Exports","757763"
"","Total Imports","48"
"","Trade Balance","757715"
"New Caledonia","Total Exports","725711"
"","Total Imports","92349"
"","Trade Balance","633362"
"Iraq","Total Exports","445667"
"","Total Imports",""
"","Trade Balance","445667"
"Papua New Guinea","Total Exports","1682426"
"","Total Imports","1347379"
"","Trade Balance","335047"
"Anguilla","Total Exports","326906"
"","Total Imports","3"
"","Trade Balance","326903"
"Bahrain","Total Exports","3930353"
"","Total Imports","3650639"
"","Trade Balance","279714"
"Gabon","Total Exports","1632961"
"","Total Imports","1364114"
"","Trade Balance","268847"
"Chad","Total Exports","222749"
"","Total Imports","5528"
"","Trade Balance","217221"
"Seychelles","Total Exports","203716"
"","Total Imports","22586"
"","Trade Balance","181130"
"Pitcairn Island","Total Exports","169199"
"","Total Imports","8839"
"","Trade Balance","160360"
"Montserrat","Total Exports","136816"
"","Total Imports","761"
"","Trade Balance","136055"
"Gambia","Total Exports","103656"
"","Total Imports","2129"
"","Trade Balance","101527"
"Andorra","Total Exports","118709"
"","Total Imports","35994"
"","Trade Balance","82715"
"Mongolia","Total Exports","414077"
"","Total Imports","342272"
"","Trade Balance","71805"
"Guinea-Bissau","Total Exports","66827"
"","Total Imports","172"
"","Trade Balance","66655"
"Togo","Total Exports","923059"
"","Total Imports","861514"
"","Trade Balance","61545"
"Central African Republic","Total Exports","55929"
"","Total Imports","1967"
"","Trade Balance","53962"
"Djibouti","Total Exports","52512"
"","Total Imports",""
"","Trade Balance","52512"
"Burundi","Total Exports","233119"
"","Total Imports","194205"
"","Trade Balance","38914"
"Eritrea","Total Exports","27703"
"","Total Imports","366"
"","Trade Balance","27337"
"High Seas","Total Exports","13579"
"","Total Imports",""
"","Trade Balance","13579"
"Niue","Total Exports","12539"
"","Total Imports",""
"","Trade Balance","12539"
"Kiribati","Total Exports","10383"
"","Total Imports",""
"","Trade Balance","10383"
"Cocos (Keeling) Islands","Total Exports","9796"
"","Total Imports","38"
"","Trade Balance","9758"
"French Southern Territories","Total Exports","11775"
"","Total Imports","3764"
"","Trade Balance","8011"
"Norfolk Island","Total Exports","6982"
"","Total Imports","144"
"","Trade Balance","6838"
"Christmas Island","Total Exports","50757"
"","Total Imports","50280"
"","Trade Balance","477"
"Antarctica","Total Exports","1"
"","Total Imports",""
"","Trade Balance","1"
"Nauru","Total Exports",""
"","Total Imports","75"
"","Trade Balance","-75"
"Bhutan","Total Exports",""
"","Total Imports","151"
"","Trade Balance","-151"
"Bouvet Island","Total Exports",""
"","Total Imports","206"
"","Trade Balance","-206"
"Cape Verde","Total Exports",""
"","Total Imports","1217"
