"Title","Canadian trade balances"
"Products","Total for all products"
"Origin","Quebec"
"Destination","All countries (detailed)"
"Period","Specific year(s): 2004"
"Units","Value in  canadian dollars"

"","","2004"
"United States","Total Exports","56016352845"
"","Total Imports","18612772348"
"","Trade Balance","37403580497"
"Qatar","Total Exports","112509224"
"","Total Imports","34597"
"","Trade Balance","112474627"
"Pakistan","Total Exports","179874447"
"","Total Imports","112416351"
"","Trade Balance","67458096"
"Cuba","Total Exports","54343377"
"","Total Imports","1951798"
"","Trade Balance","52391579"
"United Arab Emirates","Total Exports","78033454"
"","Total Imports","27603648"
"","Trade Balance","50429806"
"Oman (formerly Muscat and Oman)","Total Exports","35539173"
"","Total Imports","1955089"
"","Trade Balance","33584084"
"Iran","Total Exports","68991755"
"","Total Imports","41343311"
"","Trade Balance","27648444"
"Singapore","Total Exports","192662803"
"","Total Imports","165727658"
"","Trade Balance","26935145"
"Panama","Total Exports","24507424"
"","Total Imports","1328858"
"","Trade Balance","23178566"
"Senegal","Total Exports","22851325"
"","Total Imports","526431"
"","Trade Balance","22324894"
"Saudi Arabia","Total Exports","88002202"
"","Total Imports","66109959"
"","Trade Balance","21892243"
"Kuwait","Total Exports","21798701"
"","Total Imports","19498"
"","Trade Balance","21779203"
"Greece","Total Exports","82379135"
"","Total Imports","62247856"
"","Trade Balance","20131279"
"Jordan","Total Exports","14770547"
"","Total Imports","1019976"
"","Trade Balance","13750571"
"Latvia","Total Exports","16337446"
"","Total Imports","2780251"
"","Trade Balance","13557195"
"Barbados","Total Exports","13205665"
"","Total Imports","984312"
"","Trade Balance","12221353"
"Lebanon","Total Exports","19834654"
"","Total Imports","7836644"
"","Trade Balance","11998010"
"Syria","Total Exports","14415305"
"","Total Imports","3354615"
"","Trade Balance","11060690"
"Antigua and Barbuda","Total Exports","10647962"
"","Total Imports","259651"
"","Trade Balance","10388311"
"Tanzania","Total Exports","9806643"
"","Total Imports","690047"
"","Trade Balance","9116596"
"Saint Pierre-Miquelon","Total Exports","8747678"
"","Total Imports","3750"
"","Trade Balance","8743928"
"Burkina Faso","Total Exports","8760664"
"","Total Imports","175849"
"","Trade Balance","8584815"
"Slovenia","Total Exports","29869840"
"","Total Imports","21725527"
"","Trade Balance","8144313"
"Bahrain","Total Exports","9119196"
"","Total Imports","1061804"
"","Trade Balance","8057392"
"Sudan","Total Exports","7886796"
"","Total Imports","112942"
"","Trade Balance","7773854"
"Congo (formerly Brazzaville)","Total Exports","7519359"
"","Total Imports","459123"
"","Trade Balance","7060236"
"Korea, North","Total Exports","6202638"
"","Total Imports","3512"
"","Trade Balance","6199126"
"Japan","Total Exports","1097935093"
"","Total Imports","1091829178"
"","Trade Balance","6105915"
"Ethiopia","Total Exports","6528653"
"","Total Imports","1155153"
"","Trade Balance","5373500"
"Haiti","Total Exports","10295270"
"","Total Imports","5309227"
"","Trade Balance","4986043"
"Iceland","Total Exports","10710327"
"","Total Imports","5815173"
"","Trade Balance","4895154"
"Kenya","Total Exports","7851424"
"","Total Imports","3118884"
"","Trade Balance","4732540"
"French Polynesia","Total Exports","6329470"
"","Total Imports","1621567"
"","Trade Balance","4707903"
"Zimbabwe","Total Exports","5915007"
"","Total Imports","1692343"
"","Trade Balance","4222664"
"Greenland","Total Exports","4417614"
"","Total Imports","353480"
"","Trade Balance","4064134"
"Turks and Caicos Islands","Total Exports","3906773"
"","Total Imports","46828"
"","Trade Balance","3859945"
"Afghanistan","Total Exports","3580295"
"","Total Imports","62645"
"","Trade Balance","3517650"
"Saint Lucia","Total Exports","3266152"
"","Total Imports","32327"
"","Trade Balance","3233825"
"Mali","Total Exports","3237104"
"","Total Imports","115319"
"","Trade Balance","3121785"
"Cyprus","Total Exports","3338737"
"","Total Imports","462933"
"","Trade Balance","2875804"
"Benin","Total Exports","2816732"
"","Total Imports","2802"
"","Trade Balance","2813930"
"Iraq","Total Exports","2729715"
"","Total Imports","12820"
"","Trade Balance","2716895"
"Angola","Total Exports","2660258"
"","Total Imports","5556"
"","Trade Balance","2654702"
"Dominica","Total Exports","2115616"
"","Total Imports","96290"
"","Trade Balance","2019326"
