"Title","Canadian trade balances"
"Products","Total for all products"
"Origin","Quebec"
"Destination","All countries (detailed)"
"Period","Specific year(s): 2005"
"Units","Value in  canadian dollars"

"","","2005"
"United States","Total Exports","57435482307"
"","Total Imports","18714822313"
"","Trade Balance","38720659994"
"Netherlands","Total Exports","744985817"
"","Total Imports","559257142"
"","Trade Balance","185728675"
"United Arab Emirates","Total Exports","181537099"
"","Total Imports","30616479"
"","Trade Balance","150920620"
"Hong Kong","Total Exports","164614954"
"","Total Imports","85792680"
"","Trade Balance","78822274"
"Cuba","Total Exports","76714525"
"","Total Imports","1059576"
"","Trade Balance","75654949"
"Japan","Total Exports","1179209726"
"","Total Imports","1110518428"
"","Trade Balance","68691298"
"Saudi Arabia","Total Exports","147431198"
"","Total Imports","89392251"
"","Trade Balance","58038947"
"Qatar","Total Exports","57346654"
"","Total Imports","18843"
"","Trade Balance","57327811"
"Iran","Total Exports","64829849"
"","Total Imports","9549255"
"","Trade Balance","55280594"
"Singapore","Total Exports","202793474"
"","Total Imports","161971659"
"","Trade Balance","40821815"
"Slovenia","Total Exports","58670313"
"","Total Imports","21798964"
"","Trade Balance","36871349"
"Iceland","Total Exports","35400215"
"","Total Imports","5157514"
"","Trade Balance","30242701"
"Iraq","Total Exports","27262658"
"","Total Imports","61"
"","Trade Balance","27262597"
"Dominican Republic","Total Exports","54218156"
"","Total Imports","28909168"
"","Trade Balance","25308988"
"Panama","Total Exports","21672076"
"","Total Imports","1520090"
"","Trade Balance","20151986"
"Jordan","Total Exports","21748082"
"","Total Imports","1741307"
"","Trade Balance","20006775"
"Lebanon","Total Exports","27825449"
"","Total Imports","8025077"
"","Trade Balance","19800372"
"Bahamas","Total Exports","32072403"
"","Total Imports","13919847"
"","Trade Balance","18152556"
"Latvia","Total Exports","21545825"
"","Total Imports","4081694"
"","Trade Balance","17464131"
"Senegal","Total Exports","17504098"
"","Total Imports","499609"
"","Trade Balance","17004489"
"Barbados","Total Exports","17234560"
"","Total Imports","793750"
"","Trade Balance","16440810"
"Syria","Total Exports","19557686"
"","Total Imports","3285676"
"","Trade Balance","16272010"
"Burkina Faso","Total Exports","13499975"
"","Total Imports","205506"
"","Trade Balance","13294469"
"Pakistan","Total Exports","121766332"
"","Total Imports","109804011"
"","Trade Balance","11962321"
"Kenya","Total Exports","15539877"
"","Total Imports","5180361"
"","Trade Balance","10359516"
"Antigua and Barbuda","Total Exports","9970934"
"","Total Imports","14844"
"","Trade Balance","9956090"
"Bahrain","Total Exports","9914386"
"","Total Imports","1510965"
"","Trade Balance","8403421"
"Netherlands Antilles","Total Exports","8383553"
"","Total Imports","233507"
"","Trade Balance","8150046"
"French Polynesia","Total Exports","8481092"
"","Total Imports","946099"
"","Trade Balance","7534993"
"Saint Pierre-Miquelon","Total Exports","7145318"
"","Total Imports","8068"
"","Trade Balance","7137250"
"Korea, North","Total Exports","6495315"
"","Total Imports","9042"
"","Trade Balance","6486273"
"Sudan","Total Exports","5786919"
"","Total Imports","176356"
"","Trade Balance","5610563"
"Yemen","Total Exports","5555799"
"","Total Imports","86507"
"","Trade Balance","5469292"
"Turks and Caicos Islands","Total Exports","3713416"
"","Total Imports",""
"","Trade Balance","3713416"
"Cayman Islands","Total Exports","3360987"
"","Total Imports","51165"
"","Trade Balance","3309822"
"Cyprus","Total Exports","3802602"
"","Total Imports","559006"
"","Trade Balance","3243596"
"Mali","Total Exports","3157269"
"","Total Imports","69599"
"","Trade Balance","3087670"
"Tanzania","Total Exports","3138090"
"","Total Imports","323817"
"","Trade Balance","2814273"
"Congo (formerly Brazzaville)","Total Exports","2998524"
"","Total Imports","309586"
"","Trade Balance","2688938"
"Haiti","Total Exports","8834934"
"","Total Imports","6288908"
"","Trade Balance","2546026"
"Grenada","Total Exports","3050613"
"","Total Imports","555550"
"","Trade Balance","2495063"
"Congo (formerly Zaire)","Total Exports","2750416"
"","Total Imports","290010"
"","Trade Balance","2460406"
"Mozambique","Total Exports","2506664"
"","Total Imports","53400"
"","Trade Balance","2453264"
"Zimbabwe","Total Exports","3045673"
"","Total Imports","636929"
"","Trade Balance","2408744"
"Greenland","Total Exports","2507979"
"","Total Imports","293019"
"","Trade Balance","2214960"
"Saint Vincent and the Grenadines","Total Exports","2107311"
"","Total Imports",""
"","Trade Balance","2107311"
"British Indian Ocean Territories","Total Exports","2072464"
"","Total Imports","91"
"","Trade Balance","2072373"
"Gibraltar","Total Exports","2003931"
"","Total Imports","1982"
"","Trade Balance","2001949"
"Dominica","Total Exports","1984459"
"","Total Imports","70265"
"","Trade Balance","1914194"
"Belize","Total Exports","3872566"
"","Total Imports","2107572"
"","Trade Balance","1764994"
"Afghanistan","Total Exports","1853716"
"","Total Imports","110836"
"","Trade Balance","1742880"
"Benin","Total Exports","1667275"
"","Total Imports","4521"
"","Trade Balance","1662754"
"Saint Lucia","Total Exports","1620261"
"","Total Imports","136550"
"","Trade Balance","1483711"
"Bolivia","Total Exports","3324857"
"","Total Imports","1871319"
"","Trade Balance","1453538"
"Ethiopia","Total Exports","3388257"
"","Total Imports","1988708"
"","Trade Balance","1399549"
"New Caledonia","Total Exports","1298482"
"","Total Imports","16798"
"","Trade Balance","1281684"
"Swaziland","Total Exports","1437133"
"","Total Imports","249094"
"","Trade Balance","1188039"
"Maldives","Total Exports","1470335"
"","Total Imports","305287"
"","Trade Balance","1165048"
"Niger","Total Exports","3290308"
"","Total Imports","2131531"
"","Trade Balance","1158777"
"Azerbaijan","Total Exports","1084881"
"","Total Imports","34925"
"","Trade Balance","1049956"
"North Macedonia","Total Exports","2163996"
"","Total Imports","1132426"
"","Trade Balance","1031570"
"Mauritania","Total Exports","1186383"
"","Total Imports","197387"
"","Trade Balance","988996"
"Togo","Total Exports","1372878"
"","Total Imports","392327"
"","Trade Balance","980551"
"British Virgin Islands","Total Exports","1022299"
"","Total Imports","52941"
"","Trade Balance","969358"
"Kyrgyzstan","Total Exports","901757"
"","Total Imports","8883"
"","Trade Balance","892874"
"Gabon","Total Exports","1435218"
"","Total Imports","621979"
"","Trade Balance","813239"
"Zambia (Zambi)","Total Exports","833919"
"","Total Imports","79004"
"","Trade Balance","754915"
"Papua New Guinea","Total Exports","1539985"
"","Total Imports","844870"
"","Trade Balance","695115"
"Armenia","Total Exports","1233600"
"","Total Imports","619845"
"","Trade Balance","613755"
"Saint Kitts and Nevis","Total Exports","812706"
"","Total Imports","211959"
"","Trade Balance","600747"
"Malta","Total Exports","2044900"
"","Total Imports","1487577"
"","Trade Balance","557323"
"Guam","Total Exports","483607"
"","Total Imports","22811"
"","Trade Balance","460796"
"Brunei Darussalam","Total Exports","556894"
"","Total Imports","172405"
"","Trade Balance","384489"
"Anguilla","Total Exports","371673"
"","Total Imports","4707"
"","Trade Balance","366966"
"Oman (formerly Muscat and Oman)","Total Exports","2806530"
"","Total Imports","2444122"
"","Trade Balance","362408"
"Botswana","Total Exports","424011"
"","Total Imports","104496"
"","Trade Balance","319515"
"Comoros","Total Exports","369365"
"","Total Imports","62571"
"","Trade Balance","306794"
"Seychelles","Total Exports","322555"
"","Total Imports","86463"
"","Trade Balance","236092"
"Cook Islands","Total Exports","291610"
"","Total Imports","64289"
"","Trade Balance","227321"
"Pitcairn Island","Total Exports","220464"
"","Total Imports","7523"
"","Trade Balance","212941"
"Cape Verde","Total Exports","140617"
"","Total Imports","8673"
"","Trade Balance","131944"
"Central African Republic","Total Exports","173557"
"","Total Imports","45042"
"","Trade Balance","128515"
"Mongolia","Total Exports","312444"
"","Total Imports","202924"
"","Trade Balance","109520"
"Uzbekistan","Total Exports","185336"
"","Total Imports","85553"
"","Trade Balance","99783"
"Djibouti","Total Exports","91134"
"","Total Imports","208"
"","Trade Balance","90926"
"Timor-Leste","Total Exports","90170"
"","Total Imports","43"
"","Trade Balance","90127"
"Burundi","Total Exports","127467"
"","Total Imports","61364"
"","Trade Balance","66103"
"Faeroe Islands","Total Exports","69287"
"","Total Imports","3192"
"","Trade Balance","66095"
"French Southern Territories","Total Exports","75200"
"","Total Imports","10251"
"","Trade Balance","64949"
"Gambia","Total Exports","69991"
"","Total Imports","10324"
"","Trade Balance","59667"
"Chad","Total Exports","56791"
"","Total Imports","117"
"","Trade Balance","56674"
"Norfolk Island","Total Exports","49393"
"","Total Imports",""
"","Trade Balance","49393"
"Bhutan","Total Exports","48121"
"","Total Imports","564"
"","Trade Balance","47557"
"Eritrea","Total Exports","48209"
"","Total Imports","1348"
"","Trade Balance","46861"
"Rwanda","Total Exports","202988"
"","Total Imports","157437"
"","Trade Balance","45551"
"Somalia","Total Exports","45881"
"","Total Imports","948"
"","Trade Balance","44933"
"Samoa (Western)","Total Exports","38184"
"","Total Imports",""
"","Trade Balance","38184"
"Antarctica","Total Exports","31192"
"","Total Imports",""
"","Trade Balance","31192"
"Cocos (Keeling) Islands","Total Exports","17564"
"","Total Imports","203"
"","Trade Balance","17361"
"Heard and McDonald Island","Total Exports","12965"
"","Total Imports","1557"
"","Trade Balance","11408"
"Montserrat","Total Exports","17539"
"","Total Imports","7772"
"","Trade Balance","9767"
"Western Sahara","Total Exports","6850"
"","Total Imports",""
"","Trade Balance","6850"
"Christmas Island","Total Exports","11424"
"","Total Imports","6710"
"","Trade Balance","4714"
"Guinea-Bissau","Total Exports","4002"
"","Total Imports",""
"","Trade Balance","4002"
"Wallis and Futuna Islands","Total Exports",""
"","Total Imports","33"
"","Trade Balance","-33"
"Niue","Total Exports",""
"","Total Imports","805"
"","Trade Balance","-805"
"Kiribati","Total Exports",""
"","Total Imports","1889"
"","Trade Balance","-1889"
"Nauru","Total Exports",""
"","Total Imports","2624"
"","Trade Balance","-2624"
"Tonga","Total Exports",""
"","Total Imports","6666"
"","Trade Balance","-6666"
"Tajikistan","Total Exports",""
"","Total Imports","9155"
"","Trade Balance","-9155"
"Solomon Islands","Total Exports","11055"
"","Total Imports","20675"
"","Trade Balance","-9620"
"Vanuatu (New Hebrides)","Total Exports","157023"
"","Total Imports","170596"
"","Trade Balance","-13573"
"Andorra","Total Exports","67381"
"","Total Imports","91742"
"","Trade Balance","-24361"
"Sao Tomé-Principe","Total Exports","39438"
"","Total Imports","82218"
"","Trade Balance","-42780"
"Falkland Islands","Total Exports","8095"
"","Total Imports","52229"
"","Trade Balance","-44134"
"American Samoa","Total Exports","2"
