"Title","Canadian trade balances"
"Products","Total for all products"
"Origin","Quebec"
"Destination","All countries (detailed)"
"Period","Specific year(s): 2007"
"Units","Value in  canadian dollars"

"","","2007"
"United States","Total Exports","52096539707"
"","Total Imports","21054420485"
"","Trade Balance","31042119222"
"Netherlands","Total Exports","1564426866"
"","Total Imports","740759809"
"","Trade Balance","823667057"
"United Arab Emirates","Total Exports","325412117"
"","Total Imports","6947930"
"","Trade Balance","318464187"
"Saudi Arabia","Total Exports","175751270"
"","Total Imports","34768649"
"","Trade Balance","140982621"
"Libya","Total Exports","134162517"
"","Total Imports","247"
"","Trade Balance","134162270"
"Hong Kong","Total Exports","175834973"
"","Total Imports","52646306"
"","Trade Balance","123188667"
"Iran","Total Exports","132176437"
"","Total Imports","10803685"
"","Trade Balance","121372752"
"Türkiye","Total Exports","260228563"
"","Total Imports","156270691"
"","Trade Balance","103957872"
"Cuba","Total Exports","113582345"
"","Total Imports","12099597"
"","Trade Balance","101482748"
"Dominican Republic","Total Exports","104916833"
"","Total Imports","14247827"
"","Trade Balance","90669006"
"Oman (formerly Muscat and Oman)","Total Exports","55900969"
"","Total Imports","964558"
"","Trade Balance","54936411"
"Cayman Islands","Total Exports","43584385"
"","Total Imports","101146"
"","Trade Balance","43483239"
"Iceland","Total Exports","42032466"
"","Total Imports","4616436"
"","Trade Balance","37416030"
"Bahamas","Total Exports","42978913"
"","Total Imports","8137996"
"","Trade Balance","34840917"
"Kuwait","Total Exports","34572414"
"","Total Imports","51"
"","Trade Balance","34572363"
"Egypt","Total Exports","137808243"
"","Total Imports","106611713"
"","Trade Balance","31196530"
"Slovenia","Total Exports","79454471"
"","Total Imports","48297654"
"","Trade Balance","31156817"
"Colombia","Total Exports","117543054"
"","Total Imports","88583095"
"","Trade Balance","28959959"
"Qatar","Total Exports","23501320"
"","Total Imports","6990"
"","Trade Balance","23494330"
"Bahrain","Total Exports","24844129"
"","Total Imports","1437561"
"","Trade Balance","23406568"
"Senegal","Total Exports","22646866"
"","Total Imports","988953"
"","Trade Balance","21657913"
"Lebanon","Total Exports","28754478"
"","Total Imports","12263863"
"","Trade Balance","16490615"
"Gibraltar","Total Exports","15917333"
"","Total Imports","120"
"","Trade Balance","15917213"
"Barbados","Total Exports","16474180"
"","Total Imports","877615"
"","Trade Balance","15596565"
"New Caledonia","Total Exports","15295913"
"","Total Imports","22278"
"","Trade Balance","15273635"
"Kenya","Total Exports","18540119"
"","Total Imports","4696619"
"","Trade Balance","13843500"
"Haiti","Total Exports","14951728"
"","Total Imports","1212140"
"","Trade Balance","13739588"
"Jordan","Total Exports","21083341"
"","Total Imports","8921710"
"","Trade Balance","12161631"
"Antigua and Barbuda","Total Exports","11396627"
"","Total Imports","56565"
"","Trade Balance","11340062"
"Bermuda","Total Exports","12918721"
"","Total Imports","1868048"
"","Trade Balance","11050673"
"Latvia","Total Exports","18052828"
"","Total Imports","7050876"
"","Trade Balance","11001952"
"Sudan","Total Exports","9081651"
"","Total Imports","117852"
"","Trade Balance","8963799"
"Luxembourg","Total Exports","69033990"
"","Total Imports","60771711"
"","Trade Balance","8262279"
"Burkina Faso","Total Exports","7914213"
"","Total Imports","194237"
"","Trade Balance","7719976"
"Saint Pierre-Miquelon","Total Exports","7396641"
"","Total Imports","1060"
"","Trade Balance","7395581"
"Turks and Caicos Islands","Total Exports","7155297"
"","Total Imports","11781"
"","Trade Balance","7143516"
"French Polynesia","Total Exports","8272273"
"","Total Imports","1490292"
"","Trade Balance","6781981"
"Nigeria","Total Exports","104234146"
"","Total Imports","99177812"
"","Trade Balance","5056334"
"Congo (formerly Zaire)","Total Exports","4607285"
"","Total Imports","203353"
"","Trade Balance","4403932"
"Cyprus","Total Exports","4664575"
"","Total Imports","594573"
"","Trade Balance","4070002"
"Benin","Total Exports","4075118"
"","Total Imports","8628"
"","Trade Balance","4066490"
"Congo (formerly Brazzaville)","Total Exports","4990345"
"","Total Imports","1659252"
"","Trade Balance","3331093"
"Korea, North","Total Exports","3260106"
"","Total Imports","2837"
"","Trade Balance","3257269"
"Tunisia","Total Exports","37479079"
"","Total Imports","34316944"
"","Trade Balance","3162135"
"Grenada","Total Exports","3044228"
"","Total Imports","275956"
"","Trade Balance","2768272"
"Armenia","Total Exports","3298855"
"","Total Imports","833549"
"","Trade Balance","2465306"
"Afghanistan","Total Exports","2484426"
"","Total Imports","31728"
"","Trade Balance","2452698"
"Tanzania","Total Exports","2672176"
"","Total Imports","244487"
"","Trade Balance","2427689"
"Dominica","Total Exports","2601951"
"","Total Imports","218879"
