"Title","Canadian trade balances"
"Products","Total for all products"
"Origin","Quebec"
"Destination","All countries (detailed)"
"Period","Specific year(s): 2010"
"Units","Value in  canadian dollars"

"","","2010"
"United States","Total Exports","40206095888"
"","Total Imports","18151892119"
"","Trade Balance","22054203769"
"Netherlands","Total Exports","1030822464"
"","Total Imports","749324655"
"","Trade Balance","281497809"
"Egypt","Total Exports","295017259"
"","Total Imports","69525548"
"","Trade Balance","225491711"
"Saudi Arabia","Total Exports","256347587"
"","Total Imports","55663880"
"","Trade Balance","200683707"
"Hong Kong","Total Exports","196305100"
"","Total Imports","36394342"
"","Trade Balance","159910758"
"Bahamas","Total Exports","130154958"
"","Total Imports","61495"
"","Trade Balance","130093463"
"Libya","Total Exports","142971063"
"","Total Imports","24416972"
"","Trade Balance","118554091"
"Malta","Total Exports","97947144"
"","Total Imports","2856803"
"","Trade Balance","95090341"
"United Arab Emirates","Total Exports","206702149"
"","Total Imports","118681977"
"","Trade Balance","88020172"
"Philippines","Total Exports","158126370"
"","Total Imports","72877440"
"","Trade Balance","85248930"
"Türkiye","Total Exports","261351820"
"","Total Imports","184619803"
"","Trade Balance","76732017"
"Uruguay","Total Exports","80069143"
"","Total Imports","22492386"
"","Trade Balance","57576757"
"Cuba","Total Exports","58867646"
"","Total Imports","1320705"
"","Trade Balance","57546941"
"Colombia","Total Exports","139186620"
"","Total Imports","84643519"
"","Trade Balance","54543101"
"Bahrain","Total Exports","46883693"
"","Total Imports","465022"
"","Trade Balance","46418671"
"Qatar","Total Exports","44976318"
"","Total Imports","17134"
"","Trade Balance","44959184"
"Cyprus","Total Exports","41886139"
"","Total Imports","1072844"
"","Trade Balance","40813295"
"Iceland","Total Exports","42409696"
"","Total Imports","6648258"
"","Trade Balance","35761438"
"Netherlands Antilles","Total Exports","35236721"
"","Total Imports","114185"
"","Trade Balance","35122536"
"Dominican Republic","Total Exports","47031753"
"","Total Imports","19253660"
"","Trade Balance","27778093"
"Iran","Total Exports","40418757"
"","Total Imports","12954625"
"","Trade Balance","27464132"
"Syria","Total Exports","29975236"
"","Total Imports","4897967"
"","Trade Balance","25077269"
"Aruba","Total Exports","24117277"
"","Total Imports","13"
"","Trade Balance","24117264"
"New Caledonia","Total Exports","24072646"
"","Total Imports","24255"
"","Trade Balance","24048391"
"Haiti","Total Exports","25075268"
"","Total Imports","1418131"
"","Trade Balance","23657137"
"Panama","Total Exports","25735095"
"","Total Imports","2689914"
"","Trade Balance","23045181"
"Kenya","Total Exports","28625775"
"","Total Imports","6957381"
"","Trade Balance","21668394"
"Afghanistan","Total Exports","21171152"
"","Total Imports","326118"
"","Trade Balance","20845034"
"British Virgin Islands","Total Exports","20078745"
"","Total Imports","47157"
"","Trade Balance","20031588"
"Jordan","Total Exports","23762594"
"","Total Imports","3742178"
"","Trade Balance","20020416"
"Lebanon","Total Exports","30414827"
"","Total Imports","12878493"
"","Trade Balance","17536334"
"Antigua and Barbuda","Total Exports","15601802"
"","Total Imports","54833"
"","Trade Balance","15546969"
"Senegal","Total Exports","12845339"
"","Total Imports","304648"
"","Trade Balance","12540691"
"Barbados","Total Exports","15483763"
"","Total Imports","2964544"
"","Trade Balance","12519219"
"Nicaragua","Total Exports","20633876"
"","Total Imports","8556336"
"","Trade Balance","12077540"
"Tunisia","Total Exports","33810314"
"","Total Imports","24147086"
"","Trade Balance","9663228"
"Armenia","Total Exports","10094284"
"","Total Imports","583409"
"","Trade Balance","9510875"
"Mongolia","Total Exports","7988280"
"","Total Imports","65676"
"","Trade Balance","7922604"
"Saint Pierre-Miquelon","Total Exports","7582460"
"","Total Imports","1300"
"","Trade Balance","7581160"
"French Polynesia","Total Exports","8166725"
"","Total Imports","733474"
"","Trade Balance","7433251"
"Bermuda","Total Exports","7274267"
"","Total Imports","17554"
"","Trade Balance","7256713"
"Oman (formerly Muscat and Oman)","Total Exports","20770553"
"","Total Imports","13921702"
"","Trade Balance","6848851"
"Benin","Total Exports","5287777"
"","Total Imports","5984"
"","Trade Balance","5281793"
"Ethiopia","Total Exports","7501065"
"","Total Imports","3621551"
"","Trade Balance","3879514"
"Ghana","Total Exports","18728300"
"","Total Imports","15196073"
"","Trade Balance","3532227"
"Georgia","Total Exports","3775484"
"","Total Imports","243811"
"","Trade Balance","3531673"
"Greenland","Total Exports","3363836"
"","Total Imports","101747"
"","Trade Balance","3262089"
"Grenada","Total Exports","3033271"
"","Total Imports","83194"
"","Trade Balance","2950077"
"North Macedonia","Total Exports","5953384"
"","Total Imports","3032643"
"","Trade Balance","2920741"
"Cameroon","Total Exports","5098871"
"","Total Imports","2245196"
"","Trade Balance","2853675"
"Niger","Total Exports","2881553"
"","Total Imports","166258"
"","Trade Balance","2715295"
"Myanmar (Burma)","Total Exports","2663280"
"","Total Imports","6898"
"","Trade Balance","2656382"
"Uzbekistan","Total Exports","2967221"
"","Total Imports","469787"
"","Trade Balance","2497434"
"Dominica","Total Exports","2388656"
"","Total Imports","11836"
"","Trade Balance","2376820"
"Tanzania","Total Exports","2737513"
"","Total Imports","363776"
"","Trade Balance","2373737"
"Albania","Total Exports","4613580"
"","Total Imports","2258315"
"","Trade Balance","2355265"
"Saint Vincent and the Grenadines","Total Exports","2232876"
"","Total Imports","6110"
"","Trade Balance","2226766"
"Sudan","Total Exports","2196689"
"","Total Imports","12883"
"","Trade Balance","2183806"
"Ecuador","Total Exports","35153695"
"","Total Imports","32999949"
"","Trade Balance","2153746"
"Congo (formerly Zaire)","Total Exports","2404599"
"","Total Imports","265947"
"","Trade Balance","2138652"
"Mali","Total Exports","2225712"
"","Total Imports","87159"
"","Trade Balance","2138553"
"Gabon","Total Exports","2117762"
"","Total Imports","72086"
"","Trade Balance","2045676"
"Burkina Faso","Total Exports","24739053"
"","Total Imports","22732396"
"","Trade Balance","2006657"
"Congo (formerly Brazzaville)","Total Exports","2130692"
"","Total Imports","187618"
"","Trade Balance","1943074"
"Turks and Caicos Islands","Total Exports","1895211"
"","Total Imports","21326"
"","Trade Balance","1873885"
"Korea, North","Total Exports","1772977"
"","Total Imports","5352"
"","Trade Balance","1767625"
"Mozambique","Total Exports","1801089"
"","Total Imports","76759"
"","Trade Balance","1724330"
"Latvia","Total Exports","3993505"
"","Total Imports","2377067"
"","Trade Balance","1616438"
"Saint Lucia","Total Exports","1481856"
"","Total Imports","9945"
"","Trade Balance","1471911"
"British Indian Ocean Territories","Total Exports","1394792"
"","Total Imports","185"
"","Trade Balance","1394607"
"Mauritania","Total Exports","1548816"
"","Total Imports","161334"
"","Trade Balance","1387482"
"Togo","Total Exports","4475903"
"","Total Imports","3160442"
"","Trade Balance","1315461"
"Belize","Total Exports","2522014"
"","Total Imports","1411096"
"","Trade Balance","1110918"
"U.S. Minor Outlying Islands","Total Exports","3568371"
"","Total Imports","2484191"
"","Trade Balance","1084180"
"Zambia (Zambi)","Total Exports","1424263"
"","Total Imports","366458"
"","Trade Balance","1057805"
"Yemen","Total Exports","1075411"
"","Total Imports","38736"
"","Trade Balance","1036675"
"Turkmenistan","Total Exports","1177112"
"","Total Imports","190475"
"","Trade Balance","986637"
"Cayman Islands","Total Exports","810426"
"","Total Imports","5192"
"","Trade Balance","805234"
"Brunei Darussalam","Total Exports","734538"
"","Total Imports","21"
"","Trade Balance","734517"
"Vanuatu (New Hebrides)","Total Exports","712864"
"","Total Imports","4215"
"","Trade Balance","708649"
"Chad","Total Exports","661474"
"","Total Imports","13754"
"","Trade Balance","647720"
"Montenegro","Total Exports","571784"
"","Total Imports","118666"
"","Trade Balance","453118"
"Maldives","Total Exports","421732"
"","Total Imports","11100"
"","Trade Balance","410632"
"Papua New Guinea","Total Exports","623339"
"","Total Imports","231003"
"","Trade Balance","392336"
"Sierra Leone","Total Exports","492411"
"","Total Imports","200133"
"","Trade Balance","292278"
"Swaziland","Total Exports","383372"
"","Total Imports","120517"
"","Trade Balance","262855"
"Christmas Island","Total Exports","225458"
"","Total Imports","6098"
"","Trade Balance","219360"
"Anguilla","Total Exports","200999"
"","Total Imports","3761"
"","Trade Balance","197238"
"Seychelles","Total Exports","226436"
"","Total Imports","51373"
"","Trade Balance","175063"
"Guam","Total Exports","178818"
"","Total Imports","19563"
"","Trade Balance","159255"
"Djibouti","Total Exports","152455"
"","Total Imports","4155"
"","Trade Balance","148300"
"Kyrgyzstan","Total Exports","122498"
"","Total Imports","4581"
"","Trade Balance","117917"
"Moldova","Total Exports","616309"
